MemTotal:       32755048 kB
MemFree:         7415132 kB
MemAvailable:   31643728 kB
Buffers:          310656 kB
Cached:         23752664 kB
SwapCached:            0 kB
Active:          7794244 kB
Inactive:       16539968 kB
Active(anon):       1684 kB
Inactive(anon):   319020 kB
Active(file):    7792560 kB
Inactive(file): 16220948 kB
Unevictable:       42492 kB
Mlocked:            5536 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2388 kB
Writeback:             0 kB
AnonPages:        313312 kB
Mapped:           318588 kB
Shmem:             44820 kB
KReclaimable:     678200 kB
Slab:             850036 kB
SReclaimable:     678200 kB
SUnreclaim:       171836 kB
KernelStack:        6720 kB
PageTables:        13108 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16377524 kB
Committed_AS:    2289852 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       27408 kB
VmallocChunk:          0 kB
Percpu:            21600 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      187384 kB
DirectMap2M:    12281856 kB
DirectMap1G:    22020096 kB
