Timestamp,Slave 0,Slave 1,Slave 2,
1695202281538,0,,,,
1695202281545,0,0,,
1695202281547,,,0,
1695202281553,1.5507722845977298E-5,,,,
1695202281564,0.0011701813165155696,,,
1695202281567,,,0.001121573654111615,
1695202281584,,0.0014017312610662995,,
1695202282540,0.0,,,,
1695202282546,0.0,0.0,,
1695202282548,,,0.0,
1695202283540,0.0,,,,
1695202283546,0.0,0.001625,,
1695202283549,,,0.00175,
1695202284540,0.0,,,,
1695202284546,0.0013736263736263737,0.0,,
1695202284552,,,0.0,
1695202285540,0.0,,,,
1695202285546,0.0,0.0,,
1695202285548,,,0.0,
1695202286540,0.0,,,,
1695202286547,,0.0,,
1695202286549,,,0.0,
1695202286553,0.0,,,
1695202287540,0.0,,,,
1695202287546,0.0,0.0,,
1695202287548,,,0.0,
1695202288541,0.0,,,,
1695202288547,0.00249500998003992,0.0026223776223776225,,
1695202288550,,,0.00249500998003992,
1695202289540,0.0,,,,
1695202289547,0.0,0.0,,
1695202289549,,,0.0,
1695202290540,0.0,,,,
1695202290546,0.0,0.0,,
1695202290548,,,0.0,
1695202291540,0.0,,,,
1695202291546,0.0,0.0,,
1695202291549,,,0.0,
1695202292539,0.0,,,,
1695202292546,0.001998001998001998,0.002125,,
1695202292548,,,0.0021271271271271273,
1695202293540,0.0,,,,
1695202293546,0.0,0.001125,,
1695202293548,,,0.0,
1695202294540,0.0,,,,
1695202294546,0.001125,0.0,,
1695202294548,,,0.00125,
1695202295540,0.0,,,,
1695202295546,0.001375,0.001375,,
1695202295548,,,0.0,
1695202296541,0.0,,,,
1695202296548,0.0,0.0,,
1695202296549,,,0.0014970059880239522,
1695202297540,0.0,,,,
1695202297546,0.0,0.0,,
1695202297548,,,0.0,
1695202298539,0.0,,,,
1695202298546,0.0015,0.001625,,
1695202298548,,,0.0015,
1695202299539,0.0,,,,
1695202299546,0.0,0.0,,
1695202299548,,,0.0,
1695202300539,0.0,,,,
1695202300546,0.0,0.0,,
1695202300548,,,0.0,
1695202301539,0.0,,,,
1695202301547,0.0,0.0016233766233766235,,
1695202301548,,,0.0,
1695202302539,0.001,,,,
1695202302546,,0.0,,
1695202302547,0.001625,,,
1695202302548,,,0.001875,
1695202303539,0.0,,,,
1695202303546,0.0,0.0,,
1695202303548,,,0.0,
1695202304539,0.0,,,,
1695202304546,0.0,0.0,,
1695202304548,,,0.0,
1695202305539,0.0,,,,
1695202305546,0.0,0.001875,,
1695202305548,,,0.0,
1695202306539,0.0,,,,
1695202306546,0.002,0.0,,
1695202306548,,,0.001875,
1695202307539,0.0,,,,
1695202307546,0.0,0.0,,
1695202307548,,,0.0,
1695202308539,0.0,,,,
1695202308546,0.0,0.0,,
1695202308548,,,0.0,
1695202309539,0.0,,,,
1695202309546,0.0,0.002125,,
1695202309548,,,0.002,
1695202310539,0.0,,,,
1695202310546,,0.0,,
1695202310547,0.001998001998001998,,,
1695202310548,,,0.0,
1695202311539,0.0,,,,
1695202311546,0.0,0.0,,
1695202311548,,,0.0,
1695202312539,0.0,,,,
1695202312546,0.0,0.0,,
1695202312548,,,0.0,
1695202313539,0.0,,,,
1695202313546,0.0,0.002,,
1695202313548,,,0.002,
1695202314539,0.0,,,,
1695202314546,0.001875,0.0,,
1695202314548,,,0.0,
1695202315539,0.0,,,,
1695202315546,0.0,0.0,,
1695202315548,,,0.0,
1695202316539,0.0,,,,
1695202316546,0.0,0.002,,
1695202316548,,,0.0,
1695202317539,0.0,,,,
1695202317546,0.001875,0.0,,
1695202317548,,,0.002125,
1695202318539,0.0,,,,
1695202318546,0.0,0.0,,
1695202318548,,,0.0,
1695202319539,0.0,,,,
1695202319546,,0.0,,
1695202319548,0.0,,0.0,
1695202320539,0.0,,,,
1695202320546,0.0,0.002125,,
1695202320548,,,0.0,
1695202321539,0.0,,,,
1695202321546,0.001875,0.0,,
1695202321548,,,0.002,
1695202322539,0.0,,,,
1695202322546,0.0,0.0,,
1695202322548,,,0.0,
1695202323539,0.0,,,,
1695202323546,0.0,0.0,,
1695202323548,,,0.0,
1695202324539,0.0,,,,
1695202324546,0.0,0.002,,
1695202324548,,,0.002,
1695202325539,0.0,,,,
1695202325546,0.002,0.0,,
1695202325548,,,0.0,
1695202326539,0.0,,,,
1695202326546,0.0,0.0,,
1695202326548,,,0.0,
1695202327539,0.0,,,,
1695202327546,0.0,0.002,,
1695202327548,,,0.0,
1695202328539,0.0,,,,
1695202328546,0.0,0.0,,
1695202328548,,,0.002,
1695202329539,0.0,,,,
1695202329546,0.001875,0.0,,
1695202329548,,,0.0,
1695202330539,0.0,,,,
1695202330546,0.0,0.0,,
1695202330548,,,0.0,
1695202331539,0.0,,,,
1695202331546,0.0,0.002,,
1695202331548,,,0.0,
1695202332539,0.0,,,,
1695202332546,0.0,0.0,,
1695202332548,,,0.002,
1695202333539,0.0,,,,
1695202333546,0.001875,0.0,,
1695202333548,,,0.0,
1695202334539,0.0,,,,
1695202334546,0.0,0.0,,
1695202334548,,,0.0,
1695202335539,0.0,,,,
1695202335546,0.0,0.002,,
1695202335548,,,0.0,
1695202336539,0.0,,,,
1695202336546,0.001875,0.0,,
1695202336550,,,0.00211864406779661,
1695202337539,0.0,,,,
1695202337546,0.0,0.0,,
1695202337548,,,0.0,
1695202338539,0.0,,,,
1695202338546,0.0,0.0,,
1695202338548,,,0.0,
1695202339539,0.0,,,,
1695202339546,0.0,0.002,,
1695202339548,,,0.002,
1695202340539,0.0,,,,
1695202340546,0.001875,0.0,,
1695202340548,,,0.0,
1695202341539,0.0,,,,
1695202341546,0.0,0.0,,
1695202341548,,,0.0,
1695202342539,0.0,,,,
1695202342546,0.0,0.002125,,
1695202342548,,,0.0,
1695202343539,0.0,,,,
1695202343546,0.0,0.0,,
1695202343548,,,0.002125,
1695202344539,0.0,,,,
1695202344546,,0.0,,
1695202344548,0.0018712574850299401,,0.0,
