Timestamp,Slave 0,Slave 1,Slave 2,
1695206158766,0,,,,
1695206158771,0.017841492425190935,,0,0,
1695206158772,0,,,
1695206158776,,0.1263763763763764,,
1695206158777,,,0.12936642978680812,
1695206158778,0.12424849699398798,,,
1695206159767,0.010040160642570281,,,,
1695206159772,,0.30120481927710846,0.31532663316582915,
1695206159773,0.32663316582914576,,,
1695206160767,0.00125,,,,
1695206160772,0.31406406406406406,0.335,0.305,
1695206161767,0.0,,,,
1695206161771,,,0.3003003003003003,
1695206161772,,0.345,,
1695206161774,0.3156187624750499,,,
1695206162767,0.00125,,,,
1695206162771,,,0.3025,
1695206162772,,0.36,,
1695206162773,0.2977977977977978,,,
1695206163767,0.0,,,,
1695206163772,,,0.260989010989011,
1695206163773,0.3775,,,
1695206163774,,0.32934131736526945,,
1695206164767,0.0012512512512512512,,,,
1695206164771,,,0.21521521521521522,
1695206164772,,0.2592685370741483,,
1695206164773,0.40625,,,
1695206165767,0.00125,,,,
1695206165771,,,0.3475,
1695206165772,0.2464964964964965,0.23875,,
1695206166767,0.0024975024975024975,,,,
1695206166771,,,0.3125,
1695206166773,0.2925,,,
1695206166802,,0.2949029126213592,,
1695206167767,0.0012512512512512512,,,,
1695206167771,,,0.34875,
1695206167772,0.3225,0.3015463917525773,,
1695206168767,0.0,,,,
1695206168771,,,0.30375,
1695206168772,0.285,0.3075,,
1695206169767,0.0025,,,,
1695206169771,,,0.31125,
1695206169772,,0.22375,,
1695206169773,0.28596403596403597,,,
1695206170767,0.0,,,,
1695206170771,,,0.25,
1695206170772,0.3128128128128128,0.24,,
1695206171767,0.0,,,,
1695206171771,,,0.25,
1695206171772,0.29625,0.25,,
1695206172767,0.00125,,,,
1695206172772,0.26,0.26875,0.26625,
1695206173767,0.0012487512487512488,,,,
1695206173772,,0.28625,0.25,
1695206173773,0.26,,,
1695206174767,0.0,,,,
1695206174771,,,0.2625,
1695206174772,0.26125,0.2627627627627628,,
1695206175767,0.00125,,,,
1695206175771,,,0.26625,
1695206175772,0.26875,0.255994005994006,,
1695206176767,0.0,,,,
1695206176771,,,0.2575,
1695206176772,,0.26875,,
1695206176773,0.25724275724275725,,,
1695206177767,0.00125,,,,
1695206177771,,,0.26375,
1695206177772,,0.25875,,
1695206177773,0.26375,,,
1695206178767,0.0,,,,
1695206178771,,,0.26625,
1695206178772,0.2752752752752753,0.25,,
1695206179767,0.00125,,,,
1695206179771,,,0.26,
1695206179772,,0.27,,
1695206179776,0.259222333000997,,,
1695206180767,0.0,,,,
1695206180771,,,0.255,
1695206180772,0.26955867602808425,0.2602602602602603,,
1695206181767,0.00125,,,,
1695206181771,,,0.26875,
1695206181772,0.26625,0.2525,,
1695206182767,0.0,,,,
1695206182771,,,0.26375,
1695206182772,0.27,0.2547452547452547,,
1695206183767,0.00375,,,,
1695206183771,,,0.25625,
1695206183772,0.25625,0.2725,,
1695206184767,0.0,,,,
1695206184771,,,0.26875,
1695206184772,0.265,0.25625,,
1695206185767,0.0012487512487512488,,,,
1695206185773,0.26848151848151847,0.2475,0.26973026973026976,
1695206186767,0.0,,,,
1695206186771,,,0.25900900900900903,
1695206186772,0.2577577577577578,0.2727727727727728,,
1695206187767,0.00125,,,,
1695206187771,,,0.2625,
1695206187772,0.26375,0.2584915084915085,,
1695206188767,0.0,,,,
1695206188771,,,0.2875,
1695206188772,0.25375,0.25125,,
1695206189767,0.0,,,,
1695206189771,,,0.2725,
1695206189772,0.27125,0.24774774774774774,,
1695206190767,0.00125,,,,
1695206190771,,,0.2575,
1695206190772,0.26,0.270979020979021,,
1695206191767,0.0,,,,
1695206191771,,,0.2625,
1695206191772,0.26625,0.25900900900900903,,
1695206192767,0.0,,,,
1695206192771,,,0.26375,
1695206192772,0.265,0.2597402597402597,,
1695206193767,0.00125,,,,
1695206193771,,,0.27,
1695206193772,0.2675,0.2527527527527528,,
1695206194767,0.0,,,,
1695206194771,,,0.25875,
1695206194772,0.2575,0.27375,,
1695206195767,0.00125,,,,
1695206195771,,,0.26625,
1695206195772,0.26375,0.2575,,
1695206196767,0.00125,,,,
1695206196771,,,0.27375,
1695206196772,0.2625,0.25375,,
1695206197767,0.0,,,,
1695206197771,,,0.25875,
1695206197772,0.275,0.2575,,
1695206198767,0.0,,,,
1695206198771,,,0.2575,
1695206198772,0.25875,0.27125,,
1695206199767,0.00125,,,,
1695206199771,,,0.26125,
1695206199772,0.26375,0.26125,,
1695206200767,0.0,,,,
1695206200771,,,0.2725,
1695206200772,,0.250999000999001,,
1695206200773,0.26973026973026976,,,
1695206201767,0.00125,,,,
1695206201771,,,0.25875,
1695206201772,0.2565065065065065,0.27402402402402404,,
1695206202767,0.0,,,,
1695206202771,,,0.26375,
1695206202772,0.26625,0.26,,
1695206203767,0.0,,,,
1695206203771,,,0.2625,
1695206203772,0.2625,0.26125,,
1695206204767,0.0,,,,
1695206204771,,,0.2675,
1695206204772,,0.2547452547452547,,
1695206204773,0.26875,,,
1695206205767,0.0025,,,,
1695206205771,,,0.2575,
1695206205772,0.26,0.27375,,
1695206206767,0.0,,,,
1695206206771,,,0.26375,
1695206206772,0.26375,0.26151151151151153,,
1695206207767,0.0,,,,
1695206207771,,,0.275,
1695206207772,0.25875,0.25724275724275725,,
1695206208767,0.0,,,,
1695206208771,,,0.26125,
1695206208772,0.27375,0.2565065065065065,,
1695206209767,0.00125,,,,
1695206209771,,,0.26375,
1695206209772,0.26,0.26973026973026976,,
1695206210767,0.0,,,,
1695206210771,,,0.2675,
1695206210772,0.2625,0.2602602602602603,,
1695206211767,0.0,,,,
1695206211771,,,0.27375,
1695206211772,0.26,0.2575,,
1695206212767,0.00125,,,,
1695206212771,,,0.265,
1695206212772,0.2725,0.2575,,
1695206213767,0.0,,,,
1695206213771,,,0.2575,
1695206213772,0.26,0.275974025974026,,
1695206214767,0.0,,,,
1695206214771,,,0.26,
1695206214772,0.265,0.2677677677677678,,
1695206215767,0.0,,,,
1695206215771,,,0.27125,
1695206215772,0.27,,,
1695206215773,,0.2532435129740519,,
1695206216767,0.00125,,,,
1695206216771,,,0.25625,
1695206216772,0.265,0.26901901901901903,,
1695206217767,0.00125,,,,
1695206217771,,,0.26375,
1695206217772,0.27,0.25875,,
1695206218767,0.0,,,,
1695206218771,,,0.26625,
1695206218772,0.2625,0.26401401401401403,,
1695206219767,0.0,,,,
1695206219771,,,0.27,
1695206219772,0.27625,0.25125,,
1695206220767,0.0,,,,
1695206220771,,,0.2575,
1695206220772,0.265,0.2725,,
1695206221767,0.00125,,,,
1695206221771,,,0.2625,
1695206221772,0.27125,0.2575,,
1695206222767,0.00125,,,,
1695206222771,,,0.27875,
1695206222772,,0.255,,
1695206222773,0.260989010989011,,,
1695206223767,0.0,,,,
1695206223771,,,0.265,
1695206223772,0.27652652652652654,0.2575,,
1695206224767,0.0,,,,
1695206224771,,,0.265,
1695206224772,0.2575,0.2725,,
1695206225767,0.0,,,,
1695206225771,,,0.26625,
1695206225772,0.265,0.2625,,
1695206226767,0.05375,,,,
1695206226771,,,0.25125,
1695206226772,0.25125,0.26125,,
1695206227767,0.00125,,,,
1695206227771,,,0.2875,
1695206227772,0.2675,0.275,,
1695206228767,0.03,,,,
1695206228771,,,0.2575,
1695206228772,0.26375,0.28,,
1695206229767,0.0,,,,
1695206229771,,,0.27375,
1695206229772,0.28,0.27625,,
1695206230767,0.0,,,,
1695206230771,,,0.2675,
1695206230772,0.27,0.2625,,
1695206231767,0.0,,,,
1695206231771,,,0.26625,
1695206231772,0.2625,0.2575,,
1695206232767,0.00125,,,,
1695206232771,,,0.265,
1695206232772,0.2625,0.26,,
1695206233767,0.0,,,,
1695206233771,,,0.2625,
1695206233772,0.26375,0.2625,,
1695206234767,0.00125,,,,
1695206234771,,,0.26625,
1695206234772,0.26375,0.2625,,
1695206235767,0.00125,,,,
1695206235771,,,0.2575,
1695206235772,0.28375,0.255,,
1695206236767,0.00125,,,,
1695206236771,,,0.265,
1695206236772,0.2625,0.26125,,
1695206237767,0.0,,,,
1695206237771,,,0.2775,
1695206237772,0.2575,0.25625,,
1695206238767,0.0,,,,
1695206238771,,,0.26375,
1695206238772,0.265,0.265,,
1695206239767,0.0,,,,
1695206239771,,,0.2625,
1695206239772,0.26375,0.26375,,
1695206240767,0.00125,,,,
1695206240771,,,0.265,
1695206240772,0.2625,0.2625,,
1695206241767,0.0,,,,
1695206241771,,,0.27,
1695206241772,,0.2634865134865135,,
1695206241773,0.26375,,,
1695206242767,0.0,,,,
1695206242771,,,0.26375,
1695206242772,0.26375,0.26151151151151153,,
1695206243767,0.00125,,,,
1695206243771,,,0.2625,
1695206243772,,0.26125,,
1695206243773,0.26625,,,
1695206244767,0.0,,,,
1695206244771,,,0.26125,
1695206244772,0.26875,0.26,,
1695206245767,0.0,,,,
1695206245771,,,0.26875,
1695206245772,0.26625,0.26375,,
1695206246767,0.00125,,,,
1695206246771,,,0.2625,
1695206246772,0.2675,0.26,,
1695206247767,0.0,,,,
1695206247771,,,0.26375,
1695206247772,0.2675,0.260989010989011,,
1695206248767,0.0,,,,
1695206248771,,,0.2625,
1695206248772,,0.26151151151151153,,
1695206248773,0.27,,,
1695206249767,0.0,,,,
1695206249771,,,0.26375,
