Timestamp,Slave 0,Slave 1,Slave 2,
1695211603136,106072,,,,
1695211603158,,,325652,
1695211603159,327012,,,
1695211603161,,328008,,
1695211604108,106488,,,,
1695211604114,,,372336,
1695211604117,366436,,,
1695211604124,,372884,,
1695211605123,,408420,,
1695211605127,412348,,,
1695211605136,,,418292,
1695211605141,106512,,,,
1695211606116,,429776,,
1695211606117,,,422776,
1695211606118,106512,,,,
1695211606120,454884,,,
1695211607098,106512,,,,
1695211607102,453720,,426748,
1695211607106,,436792,,
1695211608106,106520,,,,
1695211608110,,,447564,
1695211608111,451272,,,
1695211608112,,460400,,
1695211609096,106640,,,,
1695211609101,,621952,,
1695211609103,567224,,,
1695211609104,,,603292,
1695211610097,106692,,,,
1695211610102,,,877692,
1695211610110,804316,,,
1695211610123,,892732,,
1695211611106,106896,,,,
1695211611119,,915056,,
1695211611121,,,889612,
1695211611126,835904,,,
1695211612098,106896,,,,
1695211612103,851824,,910924,
1695211612107,,928548,,
1695211613098,106960,,,,
1695211613102,881088,925252,906808,
1695211614097,106960,,,,
1695211614102,881820,981760,960740,
1695211615096,106972,,,,
1695211615101,,982604,962176,
1695211615103,883836,,,
1695211616095,106972,,,,
1695211616101,883836,982604,962176,
1695211617099,106972,,,,
1695211617103,892392,,,
1695211617104,,,970692,
1695211617105,,999356,,
1695211618099,107248,,,,
1695211618103,,,963252,
1695211618104,888260,,,
1695211618107,,999420,,
1695211619096,107328,,,,
1695211619102,,1000472,,
1695211619103,895896,,982024,
1695211620100,112320,,,,
1695211620102,,1016300,,
1695211620103,982752,,982024,
1695211621097,112320,,,,
1695211621101,982752,1016300,982288,
1695211622097,112320,,,,
1695211622101,,1053252,1084968,
1695211622104,983016,,,
1695211623099,112368,,,,
1695211623102,,1148876,,
1695211623103,1109720,,,
1695211623104,,,1227268,
1695211624096,112368,,,,
1695211624101,,,1227268,
1695211624102,1109720,1148876,,
1695211625095,112368,,,,
1695211625101,1109720,1148876,1227268,
1695211626095,112368,,,,
1695211626101,1113936,1308324,1227792,
1695211627095,112368,,,,
1695211627101,,1308324,,
1695211627102,1263072,,1282968,
1695211628095,112368,,,,
1695211628100,,1308324,1282968,
