02:37:00,680 INFO  [org.radargun.LaunchMaster] (main) Running in directory: /results/.
02:37:00,690 INFO  [org.radargun.LaunchMaster] (main) Configuration file is: //results/config.xml
02:37:00,692 ERROR [org.radargun.config.DomConfigParser] (main) loading: //results/config.xml
02:37:00,696 ERROR [org.radargun.config.DomConfigParser] (main) loaded: /results/config.xml
02:37:00,935 INFO  [org.radargun.RemoteSlaveConnection] (main) Attempting to start Master listening for connection on: results/127.0.0.1:2103
02:37:00,937 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting 5 seconds for server socket to open completely
02:37:05,938 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 3 slaves.
02:37:05,940 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 2 slaves.
02:37:05,941 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 1 slaves.
02:37:05,941 INFO  [org.radargun.RemoteSlaveConnection] (main) Connection established from 3 slaves.
02:37:06,037 INFO  [org.radargun.Master] (main) Started benchmarking configuration 'Infinispan 9.2 - distributed'
02:37:06,038 INFO  [org.radargun.Master] (main) Starting scenario on Cluster[default=3]
02:37:06,129 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 3 reconnecting slaves
02:37:07,119 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 2 reconnecting slaves
02:37:07,149 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 1 reconnecting slaves
02:37:07,245 INFO  [org.radargun.Master] (main) Starting distributed stage ScenarioInit.
02:37:09,108 INFO  [org.radargun.stages.ScenarioInitStage] (main) Received responses from all 3 slaves. Durations [0 = 34 ms, 1 = 31 ms, 2 = 32 ms]
02:37:09,109 INFO  [org.radargun.Master] (main) Finished distributed stage ScenarioInit.
02:37:09,110 INFO  [org.radargun.Master] (main) Starting distributed stage BeforeServiceStart.
02:37:09,118 INFO  [org.radargun.stages.BeforeServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 0 ns, 1 = 0 ns, 2 = 0 ns]
02:37:09,118 INFO  [org.radargun.Master] (main) Finished distributed stage BeforeServiceStart.
02:37:09,133 INFO  [org.radargun.Master] (main) Starting distributed stage ServiceStart.
02:37:16,994 INFO  [org.radargun.stages.lifecycle.ServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 7.24 seconds, 1 = 7.84 seconds, 2 = 7.31 seconds]
02:37:16,996 INFO  [org.radargun.Master] (main) Finished distributed stage ServiceStart.
02:37:16,998 INFO  [org.radargun.Master] (main) Starting distributed stage AfterServiceStart.
02:37:17,004 INFO  [org.radargun.stages.AfterServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 0 ns, 1 = 0 ns, 2 = 0 ns]
02:37:17,004 INFO  [org.radargun.Master] (main) Finished distributed stage AfterServiceStart.
02:37:17,005 INFO  [org.radargun.Master] (main) Starting distributed stage MonitorStart.
02:37:17,069 INFO  [org.radargun.sysmonitor.AbstractMonitors] (main) Gathering statistics every 1000 ms
02:37:17,078 INFO  [org.radargun.stages.monitor.MonitorStartStage] (main) Received responses from all 3 slaves. Durations [0 = 5 ms, 1 = 5 ms, 2 = 4 ms]
02:37:17,078 INFO  [org.radargun.Master] (main) Finished distributed stage MonitorStart.
02:37:17,086 INFO  [org.radargun.Master] (main) Starting distributed stage Load.
02:37:24,231 INFO  [org.radargun.stages.cache.test.LoadStage] (main) Received responses from all 3 slaves. Durations [0 = 7.14 seconds, 1 = 7.04 seconds, 2 = 7.07 seconds]
02:37:24,231 INFO  [org.radargun.Master] (main) Finished distributed stage Load.
02:37:24,238 WARN  [org.radargun.config.InitHelper] (main) Method public void org.radargun.stages.cache.test.BasicOperationsTestStage.init() overrides public void org.radargun.stages.test.TestStage.init() but both are declared with @Init annotation: calling only once
02:37:24,240 INFO  [org.radargun.Master] (main) Starting distributed stage BasicOperationsTest.
02:38:24,275 INFO  [org.radargun.stages.cache.test.BasicOperationsTestStage] (main) Received responses from all 3 slaves. Durations [0 = 60.01 seconds, 1 = 60.01 seconds, 2 = 60.01 seconds]
02:38:24,275 INFO  [org.radargun.stages.cache.test.BasicOperationsTestStage] (main) This test was executed as a warmup
02:38:24,277 INFO  [org.radargun.Master] (main) Finished distributed stage BasicOperationsTest.
02:38:24,278 INFO  [org.radargun.Master] (main) Starting distributed stage Clear.
02:38:24,404 INFO  [org.radargun.stages.cache.ClearStage] (main) Received responses from all 3 slaves. Durations [0 = 114 ms, 1 = 121 ms, 2 = 123 ms]
