Timestamp,Slave 0,Slave 1,Slave 2,
1725006157254,0,,,,
1725006157260,0.01397441970630033,0,0,0,
1725006157266,0.08339972117108146,,,
1725006157268,,0.07747693941203795,,
1725006157270,,,0.07992836296099762,
1725006158255,0.017605633802816902,,,,
1725006158260,,0.29959718026183285,,
1725006158261,0.306841046277666,,0.31281533804238143,
1725006159255,0.00125,,,,
1725006159260,,0.34,,
1725006159261,0.31875,,0.30875,
1725006160255,0.0,,,,
1725006160260,,0.32375,,
1725006160261,0.33125,,0.32625,
1725006161255,0.0025,,,,
1725006161260,,0.315,,
1725006161261,0.3275,,,
1725006161263,,,0.33308383233532934,
1725006162255,0.00125,,,,
1725006162260,,0.295,,
1725006162261,0.35,,0.32439879759519036,
1725006163255,0.0,,,,
1725006163260,,0.1975,,
1725006163261,0.37125,,0.2975,
1725006164255,0.0012487512487512488,,,,
1725006164261,0.28375,0.2675,0.28375,
1725006165255,0.005005005005005005,,,,
1725006165261,0.30125,0.3125,0.30875,
1725006166255,0.00125,,,,
1725006166260,,0.365,,
1725006166262,0.3259240759240759,,,
1725006166278,,,0.28269419862340217,
1725006167255,0.00125,,,,
1725006167261,0.3328328328328328,,0.3013733468972533,
1725006167263,,0.2975,,
1725006168255,0.0,,,,
1725006168260,,0.285,,
1725006168261,0.2925,,0.27875,
1725006169255,0.0,,,,
1725006169260,,0.2725,,
1725006169261,0.2525,,0.2775,
1725006170255,0.00125,,,,
1725006170260,,0.2425,,
1725006170261,0.26625,,0.28875,
1725006171254,0.00125,,,,
1725006171260,0.2575,0.2575,,
1725006171261,,,0.2725,
1725006172255,0.0,,,,
1725006172260,,0.31125,,
1725006172261,0.25,,0.23625,
1725006173255,0.00125,,,,
1725006173260,0.26,0.2625,,
1725006173261,,,0.2675,
1725006174255,0.00125,,,,
1725006174260,0.25875,0.26875,,
1725006174261,,,0.26,
1725006175254,0.00125,,,,
1725006175261,0.26875,0.255,0.26875,
1725006176255,0.0,,,,
1725006176260,0.2575,0.2575,,
1725006176261,,,0.2725,
1725006177254,0.0,,,,
1725006177260,0.25125,0.25625,,
1725006177261,,,0.2825,
1725006178255,0.00125,,,,
1725006178260,0.27375,0.2525,,
1725006178261,,,0.26375,
1725006179255,0.0,,,,
1725006179260,,0.25625,,
1725006179261,0.27375,,0.25875,
1725006180254,0.00125,,,,
1725006180260,0.255,0.2675,,
1725006180261,,,0.265,
1725006181255,0.0,,,,
1725006181260,0.24875,0.27125,,
1725006181261,,,0.27,
1725006182254,0.0,,,,
1725006182260,0.25875,0.26125,,
1725006182261,,,0.265,
1725006183255,0.0025,,,,
1725006183260,,0.255,,
1725006183261,0.27,,0.26375,
1725006184254,0.00125,,,,
1725006184260,0.25375,0.2575,,
1725006184261,,,0.2725,
1725006185255,0.0,,,,
1725006185260,0.2525,0.265,,
1725006185261,,,0.275,
1725006186254,0.00125,,,,
1725006186260,,0.25625,,
1725006186261,0.26875,,0.2625,
1725006187255,0.0,,,,
1725006187260,,0.25875,,
1725006187261,0.26,,0.2675,
1725006188254,0.0,,,,
1725006188260,0.2525,0.26125,,
1725006188261,,,0.2775,
1725006189255,0.00125,,,,
1725006189260,0.25625,0.27,,
1725006189261,,,0.26375,
1725006190254,0.0,,,,
1725006190260,0.2675,0.25375,,
1725006190261,,,0.265,
1725006191254,0.0,,,,
1725006191260,0.25625,0.2575,,
1725006191261,,,0.2725,
1725006192254,0.00125,,,,
1725006192260,0.25125,0.265,,
1725006192261,,,0.27375,
1725006193254,0.0,,,,
1725006193260,0.2625,0.26,,
1725006193261,,,0.2675,
1725006194255,0.0025,,,,
1725006194260,0.27125,0.25375,,
1725006194261,,,0.2625,
1725006195254,0.0,,,,
1725006195260,,0.26,,
1725006195261,0.2625,,0.26625,
1725006196254,0.0,,,,
1725006196260,0.25375,0.26625,,
1725006196261,,,0.27375,
1725006197254,0.00125,,,,
1725006197260,,0.2625,,
1725006197261,0.26125,,0.265,
1725006198254,0.0,,,,
1725006198260,0.27125,0.25625,,
1725006198261,,,0.265,
1725006199254,0.0,,,,
1725006199260,0.2525,0.25625,,
1725006199261,,,0.27875,
1725006200254,0.00125,,,,
1725006200260,0.255,0.27375,,
1725006200261,,,0.2625,
1725006201254,0.0,,,,
1725006201260,,0.265,,
1725006201261,,,0.2675,
1725006201262,0.255994005994006,,,
1725006202254,0.0,,,,
1725006202260,0.27152152152152154,0.25625,,
1725006202261,,,0.2625,
1725006203254,0.00125,,,,
1725006203260,0.255,0.25625,,
1725006203261,,,0.28125,
1725006204254,0.0,,,,
1725006204260,0.25375,0.27125,,
1725006204261,,,0.26375,
1725006205255,0.00125,,,,
1725006205260,0.26,0.26,,
1725006205261,,,0.27,
1725006206254,0.0,,,,
1725006206260,0.27,0.25625,,
1725006206262,,,0.2647352647352647,
1725006207254,0.00125,,,,
1725006207260,0.25625,0.25625,,
1725006207261,,,0.27902902902902904,
1725006208254,0.0,,,,
1725006208260,0.255,0.2725,,
1725006208261,,,0.26625,
1725006209254,0.00125,,,,
1725006209260,,0.26125,,
1725006209261,0.2575,,0.27125,
1725006210255,0.0,,,,
1725006210261,0.27,0.255,,
1725006210274,,,0.27517275419545906,
1725006211254,0.00125,,,,
1725006211260,0.26,0.2575,,
1725006211261,,,0.2672239108409321,
1725006212254,0.0,,,,
1725006212260,0.2575,0.26875,,
1725006212261,,,0.2675,
1725006213254,0.00125,,,,
1725006213260,0.26,0.26125,,
1725006213261,,,0.27125,
1725006214254,0.00125,,,,
1725006214260,0.265,0.25125,,
1725006214261,,,0.2775,
1725006215254,0.0,,,,
1725006215260,0.26,0.26375,,
1725006215261,,,0.27,
1725006216254,0.0,,,,
1725006216260,0.2575,0.27125,,
1725006216262,,,0.26848151848151847,
1725006217254,0.00125,,,,
1725006217260,0.26125,0.26375,0.26901901901901903,
1725006218254,0.0,,,,
1725006218260,0.26875,0.25125,,
1725006218261,,,0.27625,
1725006219254,0.0,,,,
1725006219260,,0.2602602602602603,,
1725006219261,0.26125,,0.27625,
1725006220254,0.0,,,,
1725006220260,0.25875,0.270979020979021,,
1725006220261,,,0.265,
