
===================================
Domain Marker;critical-jOPS;2041.0
Domain Marker;max-jOPS;10654.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;500.0;1600.0;2100.0;2400.0;3200.0;123000.0
277.0;500.0;1900.0;2700.0;3000.0;3700.0;126000.0
415.0;400.0;2100.0;3300.0;3700.0;4684.000000000015;134000.0
553.0;400.0;2300.0;3800.0;4300.0;5300.0;130000.0
692.0;500.0;2600.0;4500.0;5300.0;57000.0;1500000.0
830.0;500.0;2800.0;4900.0;5400.0;6900.0;124000.0
969.0;500.0;2900.0;5400.0;6000.0;8000.0;125000.0
1107.0;500.0;3100.0;5900.0;6700.0;8600.0;134000.0
1245.0;400.0;3300.0;6300.0;7200.0;9500.0;135000.0
1384.0;400.0;3300.0;6700.0;7700.0;10100.0;139000.0
1522.0;400.0;3300.0;7300.0;8800.0;106000.0;1100000.0
1660.0;400.0;3400.0;7200.0;8300.0;10600.0;110000.0
1799.0;400.0;3400.0;7300.0;8700.0;16400.0;1000000.0
1937.0;400.0;3400.0;7100.0;8300.0;10600.0;82000.0
2076.0;400.0;3500.0;7500.0;9100.0;76000.0;1000000.0
2214.0;400.0;3500.0;7600.0;9200.0;148209.99999999185;1100000.0
2352.0;400.0;3400.0;7100.0;8500.0;11100.0;77000.0
2491.0;400.0;3500.0;7400.0;9100.0;126000.0;990000.0
2629.0;400.0;3500.0;7400.0;8900.0;58000.0;1000000.0
2767.0;400.0;3600.0;7400.0;9000.0;67000.0;990000.0
2906.0;400.0;3600.0;7700.0;9700.0;166940.00000000233;980000.0
3044.0;400.0;3700.0;7800.0;10600.0;302000.0;388000.0
3183.0;400.0;3600.0;7000.0;8600.0;13300.0;970000.0
3321.0;400.0;3700.0;7600.0;9900.0;228000.0;980000.0
3459.0;400.0;3600.0;7500.0;9800.0;269000.0;980000.0
3598.0;400.0;3700.0;8000.0;11800.0;195279.99999999884;1100000.0
3736.0;400.0;3800.0;7700.0;9900.0;30000.0;1000000.0
3874.0;400.0;3800.0;7900.0;11200.0;249000.0;1000000.0
4013.0;400.0;3900.0;9000.0;71000.0;448000.0;1100000.0
4151.0;400.0;3800.0;7600.0;10400.0;77000.0;990000.0
4289.0;400.0;4000.0;9200.0;70000.0;660000.0;1500000.0
4428.0;400.0;4000.0;8300.0;14500.0;157000.0;980000.0
4566.0;400.0;4100.0;9000.0;24000.0;233000.0;1100000.0
4705.0;400.0;4100.0;8500.0;16400.0;516250.0;1100000.0
4843.0;400.0;4200.0;9300.0;21000.0;200000.0;1100000.0
4981.0;400.0;4300.0;9000.0;19200.0;270000.0;1000000.0
5120.0;400.0;4300.0;9700.0;25000.0;318000.0;1100000.0
5258.0;400.0;4400.0;11000.0;74000.0;670000.0;1200000.0
5396.0;400.0;4300.0;9600.0;23000.0;610000.0;800000.0
5535.0;400.0;4600.0;10600.0;25000.0;630000.0;800000.0
5673.0;400.0;4700.0;15800.0;76000.0;562000.0;1100000.0
5812.0;400.0;4700.0;15000.0;148000.0;597000.0;1000000.0
5950.0;400.0;5100.0;36000.0;144000.0;610000.0;1900000.0
6088.0;300.0;5100.0;20000.0;94000.0;710000.0;1100000.0
6227.0;400.0;5100.0;17000.0;42000.0;410000.0;1100000.0
6365.0;300.0;5200.0;17000.0;66000.0;720000.0;1100000.0
6503.0;300.0;5700.0;44000.0;176000.0;620000.0;1100000.0
6642.0;300.0;5500.0;26000.0;141000.0;770000.0;1100000.0
6780.0;300.0;5700.0;27000.0;80000.0;510000.0;1100000.0
6918.0;300.0;6100.0;59000.0;323000.0;710000.0;1100000.0
7057.0;300.0;6100.0;39000.0;182000.0;760000.0;1100000.0
7195.0;400.0;6800.0;308000.0;424000.0;680000.0;2400000.0
7334.0;300.0;6600.0;41000.0;143000.0;323000.0;1100000.0
7472.0;300.0;7000.0;99000.0;269000.0;770000.0;1100000.0
7610.0;400.0;7200.0;61000.0;280000.0;860000.0;1100000.0
7749.0;300.0;7600.0;68000.0;196000.0;428000.0;1100000.0
7887.0;400.0;8000.0;166000.0;378000.0;511000.0;1100000.0
8025.0;400.0;8400.0;226000.0;369000.0;930000.0;1200000.0
8164.0;300.0;9400.0;393000.0;593000.0;800000.0;2400000.0
8302.0;300.0;8900.0;250000.0;398000.0;587000.0;1100000.0
8441.0;400.0;9600.0;299000.0;476000.0;700000.0;1300000.0
8579.0;400.0;11800.0;395000.0;620000.0;870000.0;1200000.0
8717.0;400.0;12200.0;305000.0;499000.0;840000.0;1400000.0
8856.0;400.0;13200.0;448000.0;620000.0;920000.0;1300000.0
8994.0;300.0;17000.0;532000.0;730000.0;930000.0;3600000.0
9132.0;400.0;19600.0;417000.0;610000.0;890000.0;1600000.0
9271.0;400.0;31000.0;479000.0;650000.0;830000.0;1600000.0
9409.0;300.0;33000.0;485000.0;650000.0;1100000.0;1500000.0
9548.0;300.0;35000.0;482000.0;630000.0;850000.0;1400000.0
9686.0;400.0;63000.0;630000.0;720000.0;870000.0;1700000.0
9824.0;400.0;75000.0;593000.0;730000.0;890000.0;1600000.0
9963.0;400.0;150000.0;670000.0;790000.0;960000.0;1600000.0
10101.0;400.0;173000.0;690000.0;810000.0;940000.0;1800000.0
10239.0;400.0;295000.0;770000.0;880000.0;1100000.0;2000000.0
10378.0;400.0;630000.0;940000.0;1100000.0;2400000.0;7500000.0
10516.0;7700.0;700000.0;960000.0;1200000.0;1700000.0;3300000.0
10654.0;10800.0;750000.0;1100000.0;1300000.0;2400000.0;6900000.0
10793.0;2500.0;810000.0;1100000.0;1300000.0;2300000.0;3.3E7
10931.0;59000.0;860000.0;1300000.0;1700000.0;3000000.0;4.5E7
11070.0;82000.0;840000.0;1200000.0;1500000.0;2400000.0;5.0E7
11208.0;11200.0;860000.0;1100000.0;1200000.0;1300000.0;5.1E7
