Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;2338.0
Domain Marker;max-jOPS;10516.0
Domain Marker;Last Success for SLAs;4843.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
138;90.9083797486489
277;93.26653544411631
415;93.98148384043319
553;94.58099011321211
692;95.38541101315396
830;95.8010661160237
969;95.57371131999986
1107;95.9732927608361
1245;96.21396321755913
1384;96.8768269782917
1522;97.09550614413197
1660;96.85011910581953
1799;97.5035830782294
1937;97.08597521332419
2076;97.36380066597913
2214;96.37056134940609
2352;96.65764582484323
2491;96.3412003991725
2629;96.50555388963507
2767;97.8905215812176
2906;96.74069305998648
3044;96.41949437891591
3183;97.14215278105516
3321;96.79585422703248
3459;97.06985336781929
3598;96.79014885699326
3736;95.38481801382488
3874;97.00019990569345
4013;97.17399415074925
4151;95.62984296768384
4289;96.27860496002083
4428;96.14441107013555
4566;96.8500008786992
4705;95.60129093754664
4843;96.84223761604028
4981;95.74596418364294
5120;96.24086439036492
5258;97.70754719164749
5396;97.19420578624903
5535;95.47499892911462
5673;95.08353171686139
5812;95.47890345449996
5950;94.19302910195447
6088;95.54646611294716
6227;95.25817719359695
6365;95.21468156059252
6503;94.41686562203198
6642;92.57921288834068
6780;90.36374842167335
6918;88.56341037125927
7057;86.91557040252624
7195;80.35473399609451
7334;83.18295447004759
7472;79.69059975622949
7610;78.57819328147502
7749;77.57777563525545
7887;74.64450984812723
8025;72.30692988474307
8164;70.12413900437782
8302;63.54732917316476
8441;67.82072965501315
8579;66.36122161395944
8717;64.61354940524906
8856;62.76325256732329
8994;61.347663668185476
9132;51.54937646427005
9271;55.88400412615835
9409;54.999358398458355
9548;54.281594823222385
9686;52.319911555560765
9824;42.906727462206355
9963;45.05689507424765
10101;41.055783836015834
10239;34.48546201307152
10378;19.767191990594718
10516;1.8872411593511724
10654;2.1962832557525336
10793;2.0021108837967554
10931;1.298850237209771
11070;1.1959067009602184
