
===================================
Domain Marker;critical-jOPS;2241.0
Domain Marker;max-jOPS;8676.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
96.0;400.0;1600.0;2100.0;2200.0;2800.0;4100.0
193.0;500.0;1800.0;2300.0;2600.0;3300.0;119000.0
289.0;500.0;2000.0;2800.0;3200.0;4000.0;153000.0
386.0;500.0;2200.0;3300.0;3700.0;4800.0;125000.0
482.0;500.0;2400.0;3800.0;4300.0;5600.0;156000.0
578.0;600.0;2500.0;4200.0;4700.0;5700.0;153000.0
675.0;500.0;2600.0;4600.0;5300.0;7400.0;168000.0
771.0;500.0;2800.0;5000.0;5600.0;7000.0;174000.0
868.0;500.0;2900.0;5400.0;6100.0;8300.0;280000.0
964.0;500.0;3100.0;5900.0;6700.0;10900.0;285000.0
1060.0;500.0;3200.0;6200.0;7000.0;19800.0;284000.0
1157.0;500.0;3200.0;6600.0;7600.0;19800.0;312000.0
1253.0;400.0;3200.0;6900.0;8100.0;29559.99999999767;336000.0
1350.0;400.0;3200.0;7000.0;8100.0;18000.0;198000.0
1446.0;500.0;3300.0;7200.0;8400.0;12100.0;269000.0
1542.0;500.0;3300.0;7300.0;8600.0;13100.0;194000.0
1639.0;400.0;3300.0;7400.0;8700.0;14000.0;181000.0
1735.0;400.0;3400.0;7400.0;8800.0;13200.0;287000.0
1832.0;500.0;3400.0;7500.0;9100.0;17700.0;186000.0
1928.0;400.0;3400.0;7400.0;8900.0;14900.0;198000.0
2024.0;400.0;3400.0;7600.0;9300.0;36000.0;303000.0
2121.0;500.0;3500.0;7400.0;9000.0;25000.0;289000.0
2217.0;400.0;3400.0;7500.0;9300.0;21000.0;247000.0
2314.0;500.0;3500.0;7400.0;9100.0;37000.0;341000.0
2410.0;500.0;3500.0;7300.0;9100.0;43000.0;269000.0
2506.0;500.0;3500.0;7400.0;9300.0;46000.0;282000.0
2603.0;400.0;3600.0;7700.0;9800.0;65000.0;254000.0
2699.0;400.0;3600.0;7300.0;9100.0;38000.0;235000.0
2796.0;400.0;3700.0;7600.0;9600.0;53000.0;270000.0
2892.0;400.0;3600.0;7400.0;9800.0;90000.0;377000.0
2988.0;400.0;3700.0;7600.0;9900.0;69000.0;268000.0
3085.0;400.0;3700.0;7600.0;10000.0;111000.0;433000.0
3181.0;400.0;3800.0;7800.0;10800.0;99000.0;509000.0
3278.0;400.0;3800.0;7700.0;10000.0;60000.0;251000.0
3374.0;400.0;3800.0;8000.0;11600.0;79000.0;397000.0
3470.0;400.0;3900.0;8200.0;12100.0;92000.0;386000.0
3567.0;400.0;3900.0;7900.0;10900.0;69000.0;287000.0
3663.0;400.0;3900.0;8300.0;17200.0;128000.0;466000.0
3760.0;400.0;4100.0;8800.0;19200.0;144000.0;500000.0
3856.0;400.0;4100.0;8600.0;17500.0;132000.0;390000.0
3952.0;400.0;4100.0;9000.0;22000.0;118000.0;453000.0
4049.0;400.0;4100.0;9500.0;24000.0;139000.0;542000.0
4145.0;400.0;4200.0;9200.0;18800.0;115000.0;515000.0
4242.0;400.0;4300.0;9900.0;29000.0;145000.0;495000.0
4338.0;400.0;4300.0;10000.0;26000.0;101000.0;455000.0
4434.0;400.0;4400.0;10300.0;23000.0;122000.0;439000.0
4531.0;400.0;4500.0;11300.0;37000.0;152000.0;541000.0
4627.0;400.0;4600.0;12200.0;33000.0;96000.0;400000.0
4724.0;400.0;4700.0;15300.0;44000.0;152000.0;527000.0
4820.0;400.0;4700.0;12100.0;36000.0;138000.0;572000.0
4916.0;400.0;4900.0;14300.0;45000.0;152000.0;710000.0
5013.0;400.0;5000.0;17000.0;51000.0;158000.0;524000.0
5109.0;400.0;4900.0;16800.0;42000.0;114000.0;562000.0
5206.0;400.0;5100.0;17400.0;49000.0;134000.0;640000.0
5302.0;400.0;5300.0;22000.0;55000.0;152000.0;561000.0
5398.0;400.0;5400.0;23000.0;59000.0;143000.0;497000.0
5495.0;400.0;5500.0;27000.0;56000.0;132000.0;470000.0
5591.0;400.0;5600.0;35000.0;76000.0;172000.0;556000.0
5688.0;400.0;5900.0;31000.0;60000.0;128000.0;610000.0
5784.0;400.0;6000.0;36000.0;62000.0;134000.0;670000.0
5880.0;400.0;6100.0;38000.0;78000.0;191000.0;630000.0
5977.0;400.0;6400.0;44000.0;77000.0;166000.0;650000.0
6073.0;400.0;6700.0;53000.0;86000.0;168000.0;790000.0
6170.0;400.0;6800.0;51000.0;79000.0;136000.0;750000.0
6266.0;400.0;7000.0;48000.0;77000.0;155000.0;710000.0
6362.0;400.0;7400.0;56000.0;85000.0;145000.0;770000.0
6459.0;400.0;7800.0;78000.0;106000.0;165000.0;1400000.0
6555.0;400.0;7900.0;71000.0;124000.0;215000.0;1100000.0
6652.0;400.0;8500.0;80000.0;116000.0;183000.0;1500000.0
6748.0;400.0;8500.0;81000.0;120000.0;203000.0;1500000.0
6844.0;400.0;8800.0;83000.0;119000.0;185000.0;2700000.0
6941.0;400.0;9700.0;82000.0;116000.0;183000.0;2500000.0
7037.0;400.0;9300.0;71000.0;109000.0;175000.0;1600000.0
7134.0;400.0;10700.0;87000.0;114000.0;183000.0;1800000.0
7230.0;400.0;14400.0;110000.0;139000.0;193000.0;3400000.0
7326.0;400.0;17300.0;118000.0;149000.0;226000.0;2600000.0
7423.0;400.0;23000.0;146000.0;182000.0;266000.0;3400000.0
7519.0;400.0;24000.0;151000.0;193000.0;270000.0;3000000.0
7616.0;400.0;39000.0;175000.0;220000.0;296000.0;3900000.0
7712.0;400.0;45000.0;182000.0;223000.0;347000.0;3800000.0
7808.0;400.0;52000.0;230000.0;270000.0;324000.0;4300000.0
7905.0;400.0;71000.0;254000.0;325000.0;455000.0;4000000.0
8001.0;400.0;107000.0;284000.0;348000.0;433000.0;4300000.0
8098.0;400.0;104000.0;316000.0;376000.0;482000.0;4600000.0
8194.0;400.0;121000.0;286000.0;330000.0;445000.0;4900000.0
8290.0;400.0;129000.0;354000.0;409000.0;483000.0;4700000.0
8387.0;400.0;150000.0;358000.0;413000.0;548000.0;5200000.0
8483.0;400.0;234000.0;482000.0;560000.0;740000.0;8100000.0
8580.0;700.0;331000.0;610000.0;720000.0;990000.0;1.1E7
8676.0;1000.0;630000.0;960000.0;1100000.0;1900000.0;2.5E7
8772.0;2800.0;700000.0;1400000.0;2000000.0;5400000.0;3.6E7
8869.0;98000.0;780000.0;1600000.0;1900000.0;4700000.0;3.0E7
8965.0;22000.0;770000.0;1600000.0;1900000.0;4000000.0;3.0E7
9062.0;174000.0;1000000.0;2400000.0;8100000.0;1.6E7;3.5E7
