"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",8,30,255.050543,14.731307,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",8,30,700.124310,17.227112,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",8,15,701.756863,9.685035,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",8,15,46.051401,1.531062,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",8,15,2230.065359,39.716495,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",8,15,11263.802110,103.214258,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",8,30,670.214804,7.859116,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",8,15,254.153700,2.326750,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",8,15,64.479127,0.585212,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",8,15,680.477516,11.172141,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,13.307341,0.097612,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",8,15,1002.461697,11.416545,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",8,15,4605.514150,14.185876,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",8,15,59.672345,0.189006,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",8,15,479.333748,0.368404,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",8,15,33.712772,0.297950,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",8,15,320.889821,28.797646,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",8,30,10229.798235,183.623983,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",8,15,143.930903,3.243572,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",8,30,522.952684,13.947338,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",8,30,1037.593814,9.226947,"ops/min"
