Timestamp,Slave 0,Slave 1,Slave 2,
1701816859905,0,,,,
1701816859912,,0,0,
1701816859913,0,,,
1701816859924,55,,,,
1701816859927,,158,,
1701816859928,,,158,
1701816859930,158,,,
1701816860907,55,,,,
1701816860913,,158,,
1701816860914,,,158,
1701816860915,158,,,
1701816861907,55,,,,
1701816861914,,,158,
1701816861915,158,,,
1701816861920,,158,,
1701816862907,55,,,,
1701816862913,,158,158,
1701816862915,158,,,
1701816863907,55,,,,
1701816863914,,158,158,
1701816863917,158,,,
1701816864907,55,,,,
1701816864914,,158,158,
1701816864915,158,,,
1701816865907,55,,,,
1701816865913,,158,,
1701816865914,,,158,
1701816865915,158,,,
1701816866908,55,,,,
1701816866914,,158,158,
1701816866915,158,,,
1701816867907,55,,,,
1701816867913,,158,,
1701816867915,158,,158,
1701816868907,55,,,,
1701816868913,,158,,
1701816868914,,,158,
1701816868915,158,,,
1701816869907,55,,,,
1701816869913,,158,158,
1701816869915,158,,,
1701816870907,55,,,,
1701816870913,,158,,
1701816870914,,,158,
1701816870915,158,,,
1701816871907,55,,,,
1701816871913,,158,,
1701816871914,,,158,
1701816871915,158,,,
1701816872907,55,,,,
1701816872913,,158,,
1701816872914,,,158,
1701816872915,158,,,
1701816873907,55,,,,
1701816873913,,158,158,
1701816873915,158,,,
1701816874909,55,,,,
1701816874915,,158,158,
1701816874917,158,,,
1701816875907,55,,,,
1701816875913,,158,,
1701816875914,,,158,
1701816875915,158,,,
1701816876907,55,,,,
1701816876913,,158,,
1701816876914,,,158,
1701816876915,158,,,
1701816877907,55,,,,
1701816877913,,158,,
1701816877914,,,158,
1701816877915,158,,,
1701816878907,55,,,,
1701816878913,,158,,
1701816878914,,,158,
1701816878915,158,,,
1701816879907,55,,,,
1701816879913,,158,,
1701816879914,,,158,
1701816879915,158,,,
1701816880907,55,,,,
1701816880913,,158,,
1701816880914,,,158,
1701816880915,158,,,
1701816881907,55,,,,
1701816881913,,158,158,
1701816881915,158,,,
1701816882907,55,,,,
1701816882913,,158,158,
1701816882915,158,,,
1701816883907,55,,,,
1701816883913,,158,158,
1701816883914,158,,,
1701816884907,55,,,,
1701816884913,,158,158,
1701816884915,158,,,
1701816885907,55,,,,
1701816885913,,158,158,
1701816885915,158,,,
1701816886907,55,,,,
1701816886913,,158,158,
1701816886914,158,,,
1701816887907,55,,,,
1701816887913,,158,158,
1701816887915,158,,,
1701816888907,55,,,,
1701816888913,,158,,
1701816888914,,,158,
1701816888915,158,,,
1701816889907,55,,,,
1701816889913,,158,158,
1701816889915,158,,,
1701816890907,55,,,,
1701816890913,,158,158,
1701816890914,158,,,
1701816891907,55,,,,
1701816891913,,158,158,
1701816891914,158,,,
1701816892907,55,,,,
1701816892913,,158,158,
1701816892915,158,,,
1701816893907,55,,,,
1701816893913,,158,158,
1701816893915,158,,,
1701816894907,55,,,,
1701816894913,,158,158,
1701816894914,158,,,
1701816895907,55,,,,
1701816895913,,158,158,
1701816895919,158,,,
1701816896907,55,,,,
1701816896913,,158,158,
1701816896914,158,,,
1701816897907,55,,,,
1701816897913,,158,158,
1701816897914,158,,,
1701816898906,55,,,,
1701816898913,,158,158,
1701816898915,158,,,
1701816899906,55,,,,
1701816899913,,158,158,
1701816899914,158,,,
1701816900907,55,,,,
1701816900913,,158,158,
1701816900914,158,,,
1701816901907,55,,,,
1701816901913,,158,158,
1701816901915,158,,,
1701816902907,55,,,,
1701816902913,,158,158,
1701816902915,158,,,
1701816903906,55,,,,
1701816903913,,158,158,
1701816903914,158,,,
1701816904906,55,,,,
1701816904913,,158,158,
1701816904915,158,,,
1701816905907,55,,,,
1701816905913,,158,158,
1701816905914,158,,,
1701816906906,55,,,,
1701816906913,,158,158,
1701816906914,158,,,
1701816907906,55,,,,
1701816907913,,158,158,
1701816907914,158,,,
1701816908907,55,,,,
1701816908913,,158,158,
1701816908914,158,,,
1701816909907,55,,,,
1701816909913,,158,158,
1701816909915,158,,,
1701816910907,55,,,,
1701816910913,,158,158,
1701816910916,158,,,
1701816911907,55,,,,
1701816911913,,158,158,
1701816911914,158,,,
1701816912906,55,,,,
1701816912913,,158,158,
1701816912914,158,,,
1701816913906,55,,,,
1701816913912,,158,,
1701816913913,,,158,
1701816913914,158,,,
1701816914906,55,,,,
1701816914913,,158,158,
1701816914914,158,,,
1701816915906,55,,,,
1701816915913,,158,158,
1701816915914,158,,,
1701816916906,55,,,,
1701816916913,,158,,
1701816916914,158,,158,
1701816917906,55,,,,
1701816917913,,158,158,
1701816917914,158,,,
1701816918906,55,,,,
1701816918913,,158,158,
1701816918914,158,,,
1701816919906,55,,,,
1701816919913,,158,158,
1701816919914,158,,,
1701816920906,55,,,,
1701816920913,,158,158,
1701816920914,158,,,
1701816921906,55,,,,
1701816921913,,158,158,
1701816921914,158,,,
1701816922906,55,,,,
1701816922913,,158,,
1701816922914,158,,,
1701816922915,,,158,
1701816923906,55,,,,
1701816923913,,158,158,
1701816923914,158,,,
1701816924906,55,,,,
1701816924912,,158,,
1701816924913,,,158,
1701816924914,158,,,
1701816925906,55,,,,
1701816925913,,158,158,
1701816925915,158,,,
1701816926906,55,,,,
1701816926913,,158,158,
1701816926914,158,,,
1701816927906,55,,,,
1701816927913,,158,158,
1701816927914,158,,,
1701816928906,55,,,,
1701816928913,,158,158,
1701816928914,158,,,
1701816929906,55,,,,
1701816929913,,158,,
1701816929914,158,,158,
1701816930906,55,,,,
1701816930913,,158,158,
1701816930914,158,,,
1701816931906,55,,,,
1701816931913,,158,158,
1701816931914,158,,,
1701816932906,55,,,,
1701816932912,,158,,
1701816932913,,,158,
1701816932914,158,,,
1701816933906,55,,,,
1701816933913,,158,158,
1701816933914,158,,,
1701816934906,55,,,,
1701816934913,,158,158,
1701816934915,158,,,
1701816935906,55,,,,
1701816935913,,158,158,
1701816935915,158,,,
1701816936906,55,,,,
1701816936913,,158,158,
1701816936914,158,,,
1701816937906,55,,,,
1701816937913,,158,158,
1701816937914,158,,,
1701816938906,55,,,,
1701816938912,,158,,
1701816938913,,,158,
1701816938914,158,,,
1701816939906,55,,,,
1701816939913,,158,158,
1701816939914,158,,,
1701816940906,55,,,,
1701816940912,,158,,
1701816940913,,,158,
1701816940914,158,,,
1701816941906,55,,,,
1701816941913,,158,158,
1701816941914,158,,,
1701816942906,55,,,,
1701816942913,,158,158,
1701816942914,158,,,
1701816943907,55,,,,
1701816943913,,158,158,
1701816943914,158,,,
1701816944906,55,,,,
1701816944913,,158,158,
1701816944914,158,,,
1701816945906,55,,,,
1701816945912,,158,,
1701816945913,,,158,
1701816945914,158,,,
1701816946906,55,,,,
1701816946912,,158,,
1701816946913,,,158,
1701816946914,158,,,
1701816947906,55,,,,
1701816947912,,158,,
1701816947913,,,158,
1701816947914,158,,,
1701816948906,55,,,,
1701816948912,,158,,
1701816948913,,,158,
1701816948914,158,,,
1701816949906,55,,,,
1701816949912,,158,,
1701816949913,,,158,
1701816949914,158,,,
1701816950906,55,,,,
1701816950912,,158,,
1701816950913,,,158,
1701816950914,158,,,
1701816951906,55,,,,
1701816951912,,158,,
1701816951913,,,158,
1701816951914,158,,,
1701816952906,55,,,,
1701816952912,,158,,
1701816952913,,,158,
1701816952914,158,,,
1701816953906,55,,,,
1701816953912,,158,,
1701816953913,,,158,
1701816953914,158,,,
1701816954906,55,,,,
1701816954916,,,158,
1701816954917,158,,,
1701816954924,,158,,
1701816955906,55,,,,
1701816955913,,158,,
1701816955915,158,,,
1701816955921,,,158,
1701816956906,55,,,,
1701816956913,,158,158,
1701816956914,158,,,
1701816957906,55,,,,
1701816957913,,158,158,
1701816957914,158,,,
1701816958906,55,,,,
1701816958912,,158,,
1701816958913,,,158,
1701816958914,158,,,
1701816959906,55,,,,
1701816959913,,158,158,
1701816959914,158,,,
1701816960906,55,,,,
1701816960912,,158,,
1701816960913,,,158,
1701816960914,158,,,
1701816961906,55,,,,
1701816961912,,158,,
1701816961913,,,158,
1701816961915,158,,,
1701816962906,55,,,,
1701816962913,,158,158,
1701816962914,158,,,
1701816963906,55,,,,
1701816963913,,158,158,
1701816963914,158,,,
1701816964906,55,,,,
1701816964913,,158,158,
1701816964915,158,,,
1701816965906,55,,,,
1701816965913,,158,158,
1701816965914,158,,,
1701816966906,55,,,,
1701816966912,,158,,
1701816966913,,,158,
1701816966914,158,,,
1701816967906,55,,,,
1701816967912,,158,,
1701816967913,,,158,
1701816967914,158,,,
1701816968906,55,,,,
1701816968913,,158,158,
1701816968914,158,,,
1701816969906,55,,,,
1701816969913,,158,158,
1701816969914,158,,,
1701816970906,55,,,,
1701816970913,,158,158,
1701816970914,158,,,
1701816971906,55,,,,
1701816971912,,158,,
1701816971913,,,158,
1701816971914,158,,,
1701816972906,55,,,,
1701816972912,,158,,
1701816972913,,,158,
1701816972914,158,,,
1701816973906,55,,,,
1701816973912,,158,,
1701816973913,,,158,
1701816973914,158,,,
1701816974906,55,,,,
1701816974912,,158,,
1701816974913,,,158,
1701816974914,158,,,
1701816975906,55,,,,
1701816975913,,158,158,
1701816975914,158,,,
1701816976906,55,,,,
1701816976912,,158,,
1701816976913,,,158,
1701816976914,158,,,
1701816977906,55,,,,
1701816977913,,158,158,
1701816977914,158,,,
1701816978906,55,,,,
1701816978913,,158,158,
1701816978914,158,,,
1701816979906,55,,,,
1701816979912,,158,,
1701816979913,,,158,
1701816979914,158,,,
