Timestamp,Slave 0,Slave 1,Slave 2,
1701819890710,116072,,,,
1701819890719,649928,,,
1701819890723,,679820,,
1701819890724,,,677980,
1701819891713,116072,,,,
1701819891721,,,685192,
1701819891725,657176,,,
1701819891727,,670068,,
1701819892697,116336,,,,
1701819892702,667840,,,
1701819892707,,684844,,
1701819892713,,,693776,
1701819893701,116336,,,,
1701819893710,687808,,,
1701819893721,,687336,,
1701819893722,,,697984,
1701819894693,116336,,,,
1701819894698,,,699048,
1701819894699,688172,,,
1701819894700,,687804,,
1701819895693,116600,,,,
1701819895702,691320,743116,,
1701819895704,,,711476,
1701819896695,117868,,,,
1701819896701,,745480,752244,
1701819896708,738636,,,
1701819897693,118132,,,,
1701819897698,738636,,,
1701819897699,,745484,752244,
1701819898691,118132,,,,
1701819898696,,,752500,
1701819898698,738636,749428,,
1701819899691,118132,,,,
1701819899698,741468,749428,753020,
1701819900691,118528,,,,
1701819900696,742252,,,
1701819900697,,749844,,
1701819900698,,,753328,
1701819901691,118528,,,,
1701819901697,,,753328,
1701819901698,734392,,,
1701819901699,,750108,,
1701819902692,118564,,,,
1701819902697,,750216,753328,
1701819902699,734392,,,
1701819903691,118564,,,,
1701819903698,,,753328,
1701819903699,,750216,,
1701819903701,734392,,,
1701819904691,118828,,,,
1701819904698,,,753408,
1701819904699,734392,750480,,
1701819905693,119188,,,,
1701819905701,734572,,753504,
1701819905702,,750480,,
1701819906693,119188,,,,
1701819906698,,750480,,
1701819906699,734572,,753768,
1701819907690,119188,,,,
1701819907698,,754688,,
1701819907699,,,753828,
1701819907702,743812,,,
1701819908693,119452,,,,
1701819908700,,779696,,
1701819908702,768892,,,
1701819908715,,,753832,
1701819909697,123676,,,,
1701819909698,,,753832,
1701819909699,,793656,,
1701819909700,768892,,,
1701819910691,123940,,,,
1701819910698,,793656,753832,
1701819910700,783940,,,
1701819911692,123940,,,,
1701819911699,798732,808112,763832,
1701819912694,123940,,,,
1701819912697,,,763848,
1701819912698,,822848,,
1701819912699,812724,,,
1701819913690,124204,,,,
1701819913697,,,788876,
1701819913698,812724,,,
1701819913699,,836268,,
1701819914695,124204,,,,
1701819914697,,,803104,
1701819914699,827244,836272,,
1701819915691,124204,,,,
1701819915698,841880,850744,817876,
1701819916691,124468,,,,
1701819916698,,,817876,
1701819916699,856664,865276,,
1701819917693,124468,,,,
1701819917699,870920,878980,,
1701819917700,,,832380,
1701819918692,124468,,,,
1701819918698,,,846464,
1701819918701,870920,878980,,
1701819919691,124732,,,,
1701819919700,885968,,860696,
1701819919701,,894248,,
1701819920692,124732,,,,
1701819920698,,908728,860696,
1701819920699,900752,,,
1701819921693,124732,,,,
1701819921699,900752,,874136,
1701819921700,,924012,,
1701819922691,124996,,,,
1701819922697,,924012,889156,
1701819922699,915800,,,
1701819923693,124996,,,,
1701819923698,,,889408,
1701819923700,931112,938624,,
1701819924691,124996,,,,
1701819924697,931112,,903364,
1701819924698,,953856,,
1701819925690,124996,,,,
1701819925697,,953856,917860,
1701819925698,946688,,,
1701819926693,125260,,,,
1701819926697,,,917944,
1701819926699,962264,969632,,
1701819927690,125260,,,,
1701819927698,962264,969632,917944,
1701819928693,125260,,,,
1701819928698,977840,985692,917944,
1701819929692,125524,,,,
1701819929697,,,917944,
1701819929699,995000,1001224,,
1701819930690,125524,,,,
1701819930697,,,926908,
1701819930698,,1001224,,
1701819930700,995000,,,
1701819931691,125524,,,,
1701819931697,,,934564,
1701819931699,,1017820,,
1701819931700,1010840,,,
1701819932692,125788,,,,
1701819932698,,,934564,
1701819932700,,1033632,,
1701819932701,1027208,,,
1701819933691,125788,,,,
1701819933697,,,941940,
1701819933698,1027208,,,
1701819933699,,1033632,,
1701819934692,125788,,,,
1701819934697,,,949576,
1701819934702,1044104,1050220,,
1701819935690,126052,,,,
1701819935696,,1050220,949576,
1701819935697,1044104,,,
1701819936691,126052,,,,
1701819936695,,,957752,
1701819936697,,1066032,,
1701819936699,1059944,,,
1701819937690,126052,,,,
1701819937698,,1066032,,
1701819937699,1059944,,965400,
1701819938691,126316,,,,
1701819938697,1077368,,965660,
1701819938698,,1083156,,
1701819939691,126316,,,,
1701819939697,,,972780,
1701819939699,1094000,1099748,,
1701819940691,126316,,,,
1701819940699,1094000,1099748,,
1701819940711,,,974888,
1701819941691,126580,,,,
1701819941698,1111952,1116876,980668,
1701819942691,126580,,,,
1701819942698,1111952,,,
1701819942699,,1116876,999120,
1701819943692,126580,,,,
1701819943698,,1133484,,
1701819943699,,,999120,
1701819943700,1128320,,,
1701819944692,126844,,,,
1701819944699,1128320,,1025980,
1701819944702,,1133484,,
1701819945691,126844,,,,
1701819945697,,1150340,,
1701819945700,,,1041004,
1701819945702,1145744,,,
1701819946690,127548,,,,
1701819946698,,,1041004,
1701819946699,1145744,,,
1701819946700,,1150340,,
1701819947690,127812,,,,
1701819947696,,,1057100,
1701819947698,1162904,1167676,,
1701819948691,127812,,,,
1701819948696,,,1057100,
1701819948698,1180856,1184536,,
1701819949691,127812,,,,
1701819949697,,1184536,1072400,
1701819949699,1180856,,,
1701819950690,127812,,,,
1701819950698,,,1088976,
1701819950699,1198280,,,
1701819950701,,1202312,,
1701819951691,128076,,,,
1701819951696,,,1088976,
1701819951698,1198324,1202344,,
1701819952693,128076,,,,
1701819952697,,1219256,,
1701819952699,1216012,,1104960,
1701819953691,128076,,,,
1701819953697,,1219256,,
1701819953698,1216096,,1104960,
1701819954691,128488,,,,
1701819954698,1233344,,1104960,
1701819954699,,1236608,,
1701819955690,128488,,,,
1701819955696,,,1105044,
1701819955698,,1236684,,
1701819955699,1233568,,,
1701819956690,129348,,,,
1701819956696,,,1127292,
1701819956703,1297656,,,
1701819956712,,1299192,,
1701819957696,,,1127292,
1701819957701,129612,,1299192,,
1701819957703,1297656,,,
1701819958694,129612,,,,
1701819958700,,1299676,1127488,
1701819958701,1298300,,,
1701819959690,147172,,,,
1701819959695,,,1128044,
1701819959696,,1305088,,
1701819959697,1299028,,,
1701819960690,142588,,,,
1701819960697,,,1129200,
1701819960699,1299280,,,
1701819960700,,1305312,,
1701819961691,142588,,,,
1701819961696,,,1129936,
1701819961701,,1299060,,
1701819961703,1299280,,,
1701819962690,142588,,,,
1701819962697,,,1129936,
1701819962702,1299648,1299060,,
1701819963690,142852,,,,
1701819963697,,,1129936,
1701819963701,1299648,,,
1701819963702,,1299060,,
1701819964691,142852,,,,
1701819964697,,1299060,,
1701819964698,,,1129936,
1701819964699,1299648,,,
1701819965690,142852,,,,
1701819965697,,,1129936,
1701819965699,,1299060,,
1701819965701,1299648,,,
1701819966691,143116,,,,
1701819966696,,,1129936,
1701819966699,1299648,1299060,,
1701819967691,143116,,,,
1701819967697,,,1129936,
1701819967699,1299648,1299060,,
1701819968691,143116,,,,
1701819968696,,,1129936,
1701819968697,1299648,1299220,,
1701819969691,143380,,,,
1701819969696,,,1129936,
1701819969697,1299648,1299220,,
1701819970690,143380,,,,
1701819970696,,,1129936,
1701819970698,,1299220,,
1701819970699,1299648,,,
1701819971691,143380,,,,
1701819971696,,,1129936,
1701819971698,,1299220,,
1701819971699,1299648,,,
1701819972691,143644,,,,
1701819972698,,1299220,1129936,
1701819972699,1299648,,,
1701819973691,143644,,,,
1701819973697,1299648,1299220,,
1701819973698,,,1129936,
1701819974690,143644,,,,
1701819974695,,,1129936,
1701819974698,1299648,1299220,,
1701819975690,143908,,,,
1701819975697,1299648,,1129936,
1701819975703,,1299220,,
1701819976689,143908,,,,
1701819976697,1299648,1299220,1129936,
1701819977692,143908,,,,
1701819977698,,,1129936,
1701819977699,1299648,,,
1701819977700,,1299220,,
1701819978689,143908,,,,
1701819978697,,1299220,1129936,
1701819978698,1299648,,,
1701819979691,144172,,,,
1701819979696,,,1129936,
1701819979697,,1299220,,
1701819979699,1299648,,,
1701819980690,144172,,,,
1701819980695,,,1129936,
1701819980697,1299648,,,
1701819980698,,1299220,,
1701819981691,144172,,,,
1701819981696,,,1129936,
1701819981698,1299648,1299220,,
1701819982691,144436,,,,
1701819982696,,,1129936,
1701819982700,1299648,1299220,,
1701819983693,144436,,,,
1701819983697,,1299220,1129936,
1701819983698,1299648,,,
1701819984690,144436,,,,
1701819984697,,,1129936,
1701819984709,1299648,,,
1701819984713,,1299416,,
1701819985690,144876,,,,
1701819985698,,1299416,,
1701819985701,1299648,,,
1701819985702,,,1129936,
1701819986691,144976,,,,
1701819986697,,,1129936,
1701819986698,1299648,,,
1701819986700,,1299416,,
1701819987693,144976,,,,
1701819987697,1299648,,1129936,
1701819987700,,1299416,,
1701819988690,150292,,,,
1701819988697,,1299416,1130052,
1701819988698,1299648,,,
1701819989690,150292,,,,
1701819989698,,1299416,1130052,
1701819989700,1299648,,,
1701819990692,150292,,,,
1701819990696,,,1130052,
1701819990700,1299648,,,
1701819990703,,1299416,,
1701819991690,150556,,,,
1701819991696,,,1130052,
1701819991697,1299648,1299416,,
1701819992689,150556,,,,
1701819992696,,,1130052,
1701819992697,1299648,,,
1701819992699,,1299416,,
1701819993690,150556,,,,
1701819993697,,1299416,1130052,
1701819993698,1299648,,,
1701819994689,150820,,,,
1701819994698,1299648,1299416,1130052,
1701819995691,150820,,,,
1701819995698,1299648,,1130052,
1701819995700,,1299416,,
1701819996690,150820,,,,
1701819996696,,,1130052,
1701819996698,1299648,1299416,,
1701819997690,151084,,,,
1701819997697,,,1130052,
1701819997698,1299648,,,
1701819997700,,1299416,,
1701819998690,151084,,,,
1701819998698,,,1130052,
1701819998704,1299648,1299416,,
1701819999691,151084,,,,
1701819999697,,1299484,,
1701819999701,1299648,,1130052,
1701820000691,145596,,,,
1701820000698,,1299484,1130052,
1701820000700,1299648,,,
1701820001692,145596,,,,
1701820001696,,,1130052,
1701820001698,1299648,1299484,,
1701820002690,145596,,,,
1701820002697,,,1130052,
1701820002698,,1299748,,
1701820002699,1299648,,,
1701820003692,145860,,,,
1701820003697,,1299748,,
1701820003698,1299648,,,
1701820003699,,,1130300,
1701820004690,145860,,,,
1701820004695,,,1130304,
1701820004698,,1299748,,
1701820004699,1299648,,,
1701820005691,145860,,,,
1701820005697,1299648,,1130304,
1701820005698,,1299748,,
1701820006689,145860,,,,
1701820006699,1299648,1299748,,
1701820006700,,,1130304,
1701820007690,146124,,,,
1701820007696,,,1130304,
1701820007698,1299648,1299748,,
1701820008691,146124,,,,
1701820008697,,,1130304,
1701820008698,1299648,,,
1701820008699,,1299748,,
1701820009690,146124,,,,
1701820009698,1299648,1299764,1130304,
1701820010689,146388,,,,
1701820010698,,,1130304,
1701820010699,1299648,1299764,,
1701820011691,146388,,,,
1701820011697,,1299764,1130304,
1701820011698,1299648,,,
1701820012690,146388,,,,
1701820012696,,1299764,1130304,
1701820012697,1299648,,,
1701820013691,146652,,,,
1701820013697,,,1130304,
1701820013698,1299648,1299764,,
1701820014693,146652,,,,
1701820014695,,,1130548,
1701820014698,1299896,1299764,,
1701820015691,146716,,,,
1701820015696,,,1130548,
1701820015698,1299896,1299764,,
1701820016691,146980,,,,
1701820016698,,1299764,1130548,
1701820016700,1300044,,,
1701820017690,146980,,,,
1701820017698,,,1130548,
1701820017701,1300288,1299764,,
1701820018690,146980,,,,
1701820018696,,,1130484,
1701820018697,1300564,,,
1701820018698,,1299848,,
1701820019691,147244,,,,
1701820019697,,,1130612,
1701820019698,,1300028,,
1701820019699,1300596,,,
1701820020690,147244,,,,
1701820020695,,,1130612,
1701820020697,1300596,,,
1701820020698,,1300028,,
1701820021689,147244,,,,
1701820021697,,,1130612,
1701820021698,1300596,1300028,,
1701820022692,147508,,,,
1701820022697,1300596,1300028,1130612,
1701820023690,147508,,,,
1701820023695,,,1130612,
1701820023698,1300596,1300028,,
1701820024689,147508,,,,
1701820024695,,,1130612,
1701820024697,,1311436,,
1701820024698,1311108,,,
1701820025692,147772,,,,
1701820025697,,1311436,1130612,
1701820025699,1311108,,,
1701820026690,147772,,,,
1701820026695,,,1130612,
1701820026697,1328928,1329416,,
1701820027690,147772,,,,
1701820027696,,,1130612,
1701820027697,,1329416,,
1701820027700,1328928,,,
1701820028691,148036,,,,
1701820028697,,,1157516,
1701820028698,1347344,1346880,,
1701820029690,148036,,,,
1701820029696,1347344,1346880,1157516,
1701820030690,148064,,,,
1701820030697,,1364652,1173620,
1701820030698,1364976,,,
1701820031691,148064,,,,
1701820031697,1364976,1364652,,
1701820031698,,,1189724,
1701820032689,148328,,,,
1701820032697,,1381916,1189788,
1701820032698,1383024,,,
1701820033690,148328,,,,
1701820033696,,,1205892,
1701820033699,1383024,1381916,,
1701820034691,148328,,,,
1701820034697,,1399980,,
1701820034698,1400888,,1205892,
1701820035690,148592,,,,
1701820035698,,1399980,1221204,
1701820035699,1400888,,,
1701820036690,148592,,,,
1701820036697,1418716,1417760,1237572,
1701820037690,148592,,,,
1701820037696,,,1237572,
1701820037697,,1417760,,
1701820037699,1418716,,,
1701820038690,148856,,,,
1701820038697,,1435464,1253676,
1701820038698,1436612,,,
1701820039690,148856,,,,
1701820039696,,,1253676,
1701820039697,1436612,,,
1701820039698,,1435464,,
1701820040690,148856,,,,
1701820040696,,,1269516,
1701820040697,1454744,,,
1701820040698,,1452736,,
1701820041691,149120,,,,
1701820041696,,,1269516,
1701820041698,1454744,1452736,,
1701820042690,149120,,,,
1701820042697,,1470520,1285620,
1701820042699,1472364,,,
1701820043690,149120,,,,
1701820043698,1472364,,1301196,
1701820043699,,1470520,,
1701820044689,149384,,,,
1701820044696,,,1301196,
1701820044698,1490252,1487772,,
1701820045690,149384,,,,
1701820045697,,,1301196,
1701820045699,,1487772,,
1701820045700,1490252,,,
1701820046692,149384,,,,
1701820046697,1508384,1505796,1301196,
1701820047690,149648,,,,
1701820047697,,,1301196,
1701820047698,1508384,1505796,,
1701820048689,149648,,,,
1701820048697,,,1301196,
1701820048698,,1523676,,
1701820048699,1526512,,,
1701820049690,149648,,,,
1701820049696,,,1301196,
1701820049697,,1523676,,
1701820049698,1526512,,,
1701820050691,149912,,,,
1701820050698,1544396,1541376,1306740,
1701820051691,149912,,,,
1701820051697,1544396,,1306740,
1701820051700,,1541376,,
1701820052691,149912,,,,
1701820052696,,,1311492,
1701820052698,1562784,1559124,,
1701820053691,150176,,,,
1701820053696,,,1311492,
1701820053697,,1559124,,
1701820053698,1562784,,,
1701820054691,150176,,,,
1701820054695,,,1317036,
1701820054697,1591000,1576320,,
1701820055690,150176,,,,
1701820055697,1591000,1576320,1330764,
1701820056690,150440,,,,
1701820056697,,1605732,1330764,
1701820056699,1591000,,,
1701820057691,150440,,,,
1701820057696,,,1349508,
1701820057698,1591000,1605732,,
1701820058690,150440,,,,
1701820058697,,1605732,1375644,
1701820058698,1591168,,,
1701820059690,150704,,,,
1701820059695,,,1375644,
1701820059696,1591168,1605732,,
1701820060691,150704,,,,
1701820060700,1591168,,,
1701820060701,,1605732,1391484,
1701820061691,150704,,,,
1701820061696,,1605732,1391484,
1701820061697,1591168,,,
1701820062690,150704,,,,
1701820062695,,,1406796,
1701820062697,,1605732,,
1701820062698,1591168,,,
1701820063691,150968,,,,
1701820063696,,1605732,1422636,
1701820063697,1591168,,,
1701820064690,150968,,,,
1701820064696,1591168,,1422636,
1701820064697,,1605732,,
1701820065690,150968,,,,
1701820065696,,,1438212,
1701820065699,1591168,1605732,,
1701820066691,151232,,,,
1701820066695,,,1438212,
1701820066696,1591168,,,
1701820066699,,1605732,,
1701820067692,151232,,,,
1701820067695,,,1454052,
1701820067697,1591168,,,
1701820067698,,1605732,,
1701820068690,151232,,,,
1701820068697,1591168,1605732,1469892,
1701820069690,151496,,,,
1701820069697,,1605732,,
1701820069698,1591168,,1469892,
1701820070690,151496,,,,
1701820070695,,,1485732,
1701820070697,1591168,1605732,,
1701820071692,151496,,,,
1701820071698,,1605732,1485732,
1701820071700,1591168,,,
1701820072690,151760,,,,
1701820072696,1591168,1605732,1501572,
1701820073691,151760,,,,
1701820073697,1591168,1605732,1517412,
1701820074690,151760,,,,
1701820074696,,,1517416,
1701820074697,1591168,,,
1701820074698,,1605732,,
1701820075689,152024,,,,
1701820075697,,,1533520,
1701820075698,,1605732,,
1701820075699,1591168,,,
1701820076690,152024,,,,
1701820076697,,1605732,1533520,
1701820076698,1591168,,,
1701820077691,152024,,,,
1701820077696,,,1533520,
1701820077697,1591168,,,
1701820077698,,1605732,,
1701820078691,152288,,,,
1701820078699,1591168,,,
1701820078710,,,1533520,
1701820078711,,1605732,,
1701820079691,152288,,,,
1701820079696,,1605732,1533784,
1701820079697,1591168,,,
1701820080689,152288,,,,
1701820080697,1591168,,1540912,
1701820080700,,1605732,,
1701820081690,152552,,,,
1701820081698,,1605732,1540912,
1701820081699,1591168,,,
1701820082691,152652,,,,
1701820082696,,,1548568,
1701820082697,1591168,1605732,,
1701820083691,152652,,,,
1701820083697,,,1548568,
1701820083698,,1605644,,
1701820083699,1591168,,,
1701820084691,152916,,,,
1701820084696,,1605644,1556488,
1701820084697,1591168,,,
1701820085691,152916,,,,
1701820085697,1591168,,1564408,
1701820085698,,1605644,,
1701820086688,152916,,,,
1701820086696,,,1564408,
1701820086698,1591168,,,
1701820086699,,1605644,,
1701820087690,153180,,,,
1701820087695,,,1571800,
1701820087700,,1605644,,
1701820087705,1591168,,,
1701820088691,153180,,,,
1701820088696,,1605644,1571800,
1701820088697,1591168,,,
1701820089691,153180,,,,
1701820089697,,,1579720,
1701820089698,,1605644,,
1701820089702,1591168,,,
1701820090689,153180,,,,
1701820090698,,1605644,1622980,
1701820090700,1591168,,,
1701820091689,153444,,,,
1701820091699,,,1615616,
1701820091701,1591168,1605644,,
1701820092692,153444,,,,
1701820092696,,,1615616,
1701820092697,1591168,1605644,,
1701820093693,153444,,,,
1701820093697,,,1615616,
1701820093698,1591168,1605644,,
1701820094689,153708,,,,
1701820094697,,1605644,1615800,
1701820094700,1591168,,,
1701820095689,153708,,,,
1701820095697,,1605644,1615800,
1701820095698,1591168,,,
1701820096689,153708,,,,
1701820096695,,,1615800,
1701820096698,1591168,1605644,,
1701820097691,153972,,,,
1701820097697,1597216,,1615800,
1701820097698,,1613816,,
1701820098690,153972,,,,
1701820098697,1598536,,,
1701820098698,,,1615800,
1701820098699,,1615928,,
1701820099690,153972,,,,
1701820099696,,,1615800,
1701820099697,1598536,,,
1701820099698,,1616056,,
1701820100691,154236,,,,
1701820100697,1598536,,1615800,
1701820100698,,1616056,,
1701820101690,154236,,,,
1701820101697,1598536,,,
1701820101698,,1616056,1615800,
1701820102690,154236,,,,
1701820102695,,,1615800,
1701820102700,1598536,1616056,,
1701820103690,154500,,,,
1701820103697,1598536,1616056,,
1701820103698,,,1615800,
1701820104689,154500,,,,
1701820104696,,,1615800,
1701820104697,,1616056,,
1701820104698,1598536,,,
1701820105690,154544,,,,
1701820105696,,,1615800,
1701820105697,1598536,1616056,,
1701820106690,154808,,,,
1701820106697,,,1615800,
1701820106698,1588924,1616056,,
1701820107691,154808,,,,
1701820107697,,,1615800,
1701820107698,1588924,1616056,,
1701820108690,154808,,,,
1701820108695,,,1615800,
1701820108697,1588924,,,
1701820108698,,1616056,,
1701820109691,155072,,,,
1701820109697,1588924,1616056,1615800,
1701820110690,155072,,,,
1701820110697,,1616056,1615800,
1701820110698,1588924,,,
1701820111690,155072,,,,
1701820111697,,,1615800,
1701820111698,,1605556,,
1701820111699,1588924,,,
1701820112690,155336,,,,
1701820112698,,1605556,1615800,
1701820112699,1588924,,,
1701820113689,155336,,,,
1701820113696,,,1615800,
1701820113698,1588924,1605556,,
1701820114690,155336,,,,
1701820114696,,1605556,1615800,
1701820114698,1588924,,,
1701820115691,155600,,,,
1701820115697,,1605636,1615800,
1701820115698,1588924,,,
1701820116691,155600,,,,
1701820116696,,,1615800,
1701820116697,,1605636,,
1701820116698,1588924,,,
1701820117690,155684,,,,
1701820117697,,1605636,,
1701820117699,1588924,,,
1701820117700,,,1615800,
1701820118689,155948,,,,
1701820118698,,,1615800,
1701820118707,1588924,1605636,,
1701820119691,155948,,,,
1701820119696,,,1615800,
1701820119697,1588924,1605636,,
1701820120691,155948,,,,
1701820120696,,,1615800,
1701820120697,1588924,1605636,,
1701820121690,155948,,,,
1701820121695,,,1615800,
1701820121697,1588924,1605636,,
1701820122691,156212,,,,
1701820122696,,1605636,1615800,
1701820122697,1588924,,,
1701820123692,156212,,,,
1701820123695,,,1615800,
1701820123699,1589076,1605636,,
1701820124691,156212,,,,
1701820124696,,,1615800,
1701820124697,,1605636,,
1701820124698,1589076,,,
1701820125692,156476,,,,
1701820125697,,1605636,1615800,
1701820125698,1589076,,,
1701820126690,156476,,,,
1701820126696,,,1615800,
1701820126697,1589076,,,
1701820126698,,1605636,,
1701820127689,156476,,,,
1701820127695,,,1615800,
1701820127696,,1605636,,
1701820127697,1589076,,,
1701820128691,156740,,,,
1701820128698,1589076,,,
1701820128699,,,1615800,
1701820128700,,1605636,,
1701820129691,156740,,,,
1701820129695,,,1615800,
1701820129698,,1605636,,
1701820129699,1589076,,,
1701820130690,156740,,,,
1701820130696,1589076,1605636,1615800,
1701820131689,157004,,,,
1701820131696,,,1615800,
1701820131698,1589076,1605636,,
1701820132690,157004,,,,
1701820132695,,,1615800,
1701820132696,1589076,1605636,,
1701820133690,157004,,,,
1701820133696,,,1615800,
1701820133699,1589076,1605636,,
1701820134691,157268,,,,
1701820134696,,,1615800,
1701820134698,1589076,1605636,,
1701820135690,157268,,,,
1701820135696,,,1615800,
1701820135698,1589076,1605736,,
1701820136690,157268,,,,
1701820136696,1589076,,1615800,
1701820136697,,1605736,,
1701820137692,157532,,,,
1701820137696,,,1615800,
1701820137697,,1605736,,
1701820137700,1589076,,,
1701820138691,157560,,,,
1701820138697,,,1615800,
1701820138698,1589076,1605736,,
1701820139690,157560,,,,
1701820139696,,,1615800,
1701820139697,1589076,1605736,,
1701820140690,157824,,,,
1701820140696,,,1615800,
1701820140697,1589076,,,
1701820140698,,1605736,,
1701820141690,157824,,,,
1701820141697,1589076,1605736,1615800,
1701820142690,157824,,,,
1701820142699,1589076,,1615800,
1701820142700,,1605736,,
1701820143693,169404,,,,
1701820143697,,1605736,1615800,
1701820143699,1589076,,,
1701820144691,177080,,,,
1701820144696,,,1615800,
1701820144697,,1605940,,
1701820144698,1589076,,,
1701820145691,172940,,,,
1701820145698,1589076,,,
1701820145699,,1605940,,
1701820145700,,,1615800,
1701820146689,173204,,,,
1701820146696,,,1615800,
1701820146697,1589076,1605940,,
1701820147690,173204,,,,
1701820147696,,,1615800,
1701820147697,1589076,1605940,,
