Timestamp,Slave 0,Slave 1,Slave 2,
1706991050764,622792,,,
1706991050765,120868,,,,
1706991050769,,628216,630120,
1706991051747,,651524,,
1706991051750,121008,,,,
1706991051752,,,634884,
1706991051770,636544,,,
1706991052755,649260,,,
1706991052758,,664844,,
1706991052766,,,645040,
1706991052767,125496,,,,
1706991053747,125496,,,,
1706991053749,651444,,,
1706991053752,,,656636,
1706991053754,,680096,,
1706991054743,125760,,,,
1706991054750,,683456,,
1706991054751,680572,,688332,
1706991055743,125760,,,,
1706991055751,683948,,691332,
1706991055753,,693732,,
1706991056753,126692,,,,
1706991056770,741792,,,
1706991056779,,741664,,
1706991056789,,,744136,
1706991057740,126956,,,,
1706991057752,743648,,,
1706991057756,,,744396,
1706991057766,,741816,,
1706991058739,126956,,,,
1706991058746,743648,743608,,
1706991058748,,,744396,
1706991059740,127216,,,,
1706991059745,748296,750172,,
1706991059748,,,747840,
1706991060740,127216,,,,
1706991060746,,750172,,
1706991060747,748296,,,
1706991060748,,,747844,
1706991061739,127340,,,,
1706991061747,,745428,,
1706991061748,749868,,,
1706991061749,,,748368,
1706991062740,127604,,,,
1706991062747,749868,745512,,
1706991062748,,,748636,
1706991063742,127688,,,,
1706991063747,,745512,,
1706991063748,749868,,,
1706991063750,,,748636,
1706991064741,127688,,,,
1706991064748,,745776,,
1706991064749,750132,,748896,
1706991065742,127952,,,,
1706991065747,750140,,,
1706991065748,,745780,,
1706991065749,,,749528,
1706991066740,127952,,,,
1706991066745,750140,745780,,
1706991066747,,,749528,
1706991067741,128216,,,,
1706991067746,,745780,,
1706991067747,750140,,,
1706991067749,,,750348,
1706991068742,128216,,,,
1706991068748,755384,,750584,
1706991068749,,745780,,
1706991069739,128216,,,,
1706991069747,779628,746044,,
1706991069748,,,770648,
1706991070740,128480,,,,
1706991070746,779628,746044,,
1706991070749,,,797312,
1706991071742,128480,,,,
1706991071752,794320,,,
1706991071753,,746048,,
1706991071754,,,812416,
1706991072739,128480,,,,
1706991072745,,746048,,
1706991072747,808760,,,
1706991072748,,,812416,
1706991073739,128744,,,,
1706991073748,822364,746048,827992,
1706991074739,128744,,,,
1706991074745,822364,,,
1706991074746,,746048,,
1706991074749,,,843568,
1706991075739,128744,,,,
1706991075745,,746048,,
1706991075746,837012,,,
1706991075747,,,858880,
1706991076740,129008,,,,
1706991076745,851208,746812,,
1706991076746,,,873688,
1706991077741,129008,,,,
1706991077746,865140,,,
1706991077747,,746812,873688,
1706991078740,129008,,,,
1706991078745,,746812,,
1706991078748,,,888736,
1706991078749,865140,,,
1706991079740,129272,,,,
1706991079746,879624,,,
1706991079747,,747076,,
1706991079748,,,904840,
1706991080739,129272,,,,
1706991080747,893852,,,
1706991080748,,747076,919624,
1706991081741,129272,,,,
1706991081748,908868,747076,,
1706991081752,,,919624,
1706991082739,129536,,,,
1706991082744,908868,747076,,
1706991082748,,,935728,
1706991083750,923864,,,
1706991083751,,,951568,
1706991083752,129536,,,,
1706991083762,,747076,,
1706991084743,129536,,,,
1706991084745,938356,,,
1706991084747,,747076,,
1706991084748,,,951568,
1706991085740,129800,,,,
1706991085744,938356,,,
1706991085745,,747076,,
1706991085747,,,967408,
1706991086741,129800,,,,
1706991086746,,747076,,
1706991086747,953612,,983776,
1706991087740,129800,,,,
1706991087745,,747076,,
1706991087747,968880,,,
1706991087748,,,983776,
1706991088739,130064,,,,
1706991088746,968880,747076,,
1706991088748,,,1000144,
1706991089739,130064,,,,
1706991089746,,747076,,
1706991089747,984668,,1016512,
1706991090741,130064,,,,
1706991090745,984668,747076,,
1706991090750,,,1016512,
1706991091741,130064,,,,
1706991091745,,747076,,
1706991091746,999672,,,
1706991091748,,,1032880,
1706991092741,130328,,,,
1706991092747,1015988,,,
1706991092748,,747076,,
1706991092749,,,1050568,
1706991093739,130328,,,,
1706991093746,1015988,,,
1706991093748,,,1050568,
1706991093750,,747332,,
1706991094743,130328,,,,
1706991094746,1033344,,,
1706991094747,,747332,1067992,
1706991095751,130592,1033344,,,
1706991095754,,747332,,
1706991095755,,,1084624,
1706991096739,130592,,,,
1706991096745,1049116,,,
1706991096748,,747332,1084624,
1706991097740,130592,,,,
1706991097746,1065444,,,
1706991097747,,747332,,
1706991097748,,,1102312,
1706991098739,130856,,,,
1706991098746,,747332,,
1706991098747,1065444,,,
1706991098749,,,1102312,
1706991099740,130856,,,,
1706991099744,1081748,,,
1706991099747,,747332,,
1706991099749,,,1120000,
1706991100739,130856,,,,
1706991100746,1081748,,,
1706991100747,,747332,1120000,
1706991101740,131228,,,,
1706991101745,1097816,,,
1706991101748,,747332,,
1706991101750,,,1137688,
1706991102740,131228,,,,
1706991102746,1097816,747332,,
1706991102747,,,1154848,
1706991103739,131228,,,,
1706991103744,1114648,,,
1706991103745,,747332,,
1706991103747,,,1154848,
1706991104739,131492,,,,
1706991104745,1130972,747332,,
1706991104746,,,1173064,
1706991105740,131492,,,,
1706991105745,1130972,,,
1706991105749,,,1173064,
1706991105751,,747332,,
1706991106740,132328,,,,
1706991106746,1147848,747332,,
1706991106748,,,1190488,
1706991107739,132592,,,,
1706991107745,1147848,,,
1706991107746,,747332,,
1706991107747,,,1190488,
1706991108739,132592,,,,
1706991108744,1164156,747332,,
1706991108748,,,1209232,
1706991109742,132592,,,,
1706991109745,1164156,,,
1706991109748,,747332,1209232,
1706991110739,132856,,,,
1706991110746,1181024,747988,,
1706991110750,,,1228340,
1706991111740,132856,,,,
1706991111745,1181148,747988,,
1706991111748,,,1246264,
1706991112739,132856,,,,
1706991112746,1198844,,,
1706991112747,,747988,,
1706991112750,,,1246264,
1706991113740,133120,,,,
1706991113746,1198844,748360,,
1706991113751,,,1264916,
1706991114738,133120,,,,
1706991114746,,748360,,
1706991114748,1215716,,1264916,
1706991115739,133120,,,,
1706991115744,1215716,,,
1706991115746,,748360,,
1706991115748,,,1283316,
1706991116755,134072,,,,
1706991116921,,,1302452,
1706991116930,1273612,,,
1706991116939,,749440,,
1706991117744,134336,,,,
1706991117750,,749440,,
1706991117759,1273728,,,
1706991117760,,,1302460,
1706991118743,134336,,,,
1706991118748,1273728,749680,,
1706991118754,,,1302972,
1706991119740,144056,,,,
1706991119746,1275632,750560,1303652,
1706991120739,144320,,,,
1706991120744,1275632,750808,,
1706991120748,,,1303856,
1706991121740,144320,,,,
1706991121746,1276088,750808,1303856,
1706991122740,144320,,,,
1706991122746,1276088,751596,,
1706991122749,,,1303856,
1706991123738,144584,,,,
1706991123744,1276348,751860,,
1706991123748,,,1303952,
1706991124740,144584,,,,
1706991124748,,751860,,
1706991124752,,,1303952,
1706991124754,1276348,,,
1706991125738,144584,,,,
1706991125745,1276348,,,
1706991125750,,752388,,
1706991125757,,,1303952,
1706991126740,144932,,,,
1706991126745,1276348,752916,,
1706991126747,,,1303952,
1706991127740,144932,,,,
1706991127746,1276608,752916,,
1706991127747,,,1303952,
1706991128739,144932,,,,
1706991128744,,753692,,
1706991128746,1276752,,,
1706991128748,,,1303952,
1706991129756,1276752,,,
1706991129757,145196,,,,
1706991129758,,,1304216,
1706991129760,,753956,,
1706991130739,145196,,,,
1706991130743,1276752,753956,,
1706991130745,,,1304216,
1706991131739,145196,,,,
1706991131746,1276752,754484,1304216,
1706991132739,145460,,,,
1706991132746,1276752,755012,,
1706991132747,,,1304216,
1706991133739,145460,,,,
1706991133744,1276752,755012,,
1706991133746,,,1304216,
1706991134744,145460,,,,
1706991134747,,755540,,
1706991134749,1276752,,1304216,
1706991135740,145724,,,,
1706991135746,1276752,755540,,
1706991135748,,,1304216,
1706991136740,145724,,,,
1706991136745,1276752,755540,,
1706991136747,,,1304216,
1706991137741,145848,,,,
1706991137746,1276752,755540,,
1706991137747,,,1304216,
1706991138740,146112,,,,
1706991138744,1276752,755540,,
1706991138747,,,1304216,
1706991139739,146112,,,,
1706991139746,1276920,755540,,
1706991139749,,,1304216,
1706991140738,146112,,,,
1706991140744,1276920,755804,,
1706991140750,,,1304376,
1706991141739,146376,,,,
1706991141746,1276920,755804,,
1706991141747,,,1304376,
1706991142740,146376,,,,
1706991142745,1276920,,,
1706991142746,,755804,,
1706991142747,,,1304376,
1706991143741,146376,,,,
1706991143745,1276920,755804,,
1706991143747,,,1304376,
1706991144738,146376,,,,
1706991144744,1276920,755804,,
1706991144747,,,1304376,
1706991145738,146640,,,,
1706991145744,1276920,,,
1706991145745,,755804,,
1706991145750,,,1304376,
1706991146740,146640,,,,
1706991146746,1276920,755804,,
1706991146749,,,1304376,
1706991147740,146640,,,,
1706991147745,,755804,,
1706991147746,1276920,,1304376,
