Timestamp,Slave 0,Slave 1,Slave 2,
1701878307806,0,,,,
1701878307814,,0,0,
1701878307817,0,,,
1701878307820,30,,,,
1701878307826,,132,,
1701878307829,,,111,
1701878307834,99,,,
1701878308807,32,,,,
1701878308814,,,144,
1701878308815,,170,,
1701878308817,31,,,
1701878309807,32,,,,
1701878309814,,,168,
1701878309816,,191,,
1701878309822,55,,,
1701878310807,32,,,,
1701878310814,,,188,
1701878310815,,214,,
1701878310818,79,,,
1701878311807,32,,,,
1701878311814,,,53,
1701878311815,,243,,
1701878311817,111,,,
1701878312807,32,,,,
1701878312815,,327,138,
1701878312817,202,,,
1701878313807,34,,,,
1701878313814,,,319,
1701878313815,,496,,
1701878313817,222,,,
1701878314807,34,,,,
1701878314814,,,208,
1701878314815,,136,,
1701878314817,142,,,
1701878315807,34,,,,
1701878315814,,,240,
1701878315816,,168,,
1701878315817,174,,,
1701878316807,34,,,,
1701878316814,,,266,
1701878316815,,195,,
1701878316817,202,,,
1701878317806,34,,,,
1701878317814,,,355,
1701878317815,,101,,
1701878317817,293,,,
1701878318807,34,,,,
1701878318814,,131,122,
1701878318818,209,,,
1701878319807,34,,,,
1701878319814,,,298,
1701878319816,,304,,
1701878319817,132,,,
1701878320807,34,,,,
1701878320814,,,114,
1701878320815,,209,,
1701878320817,306,,,
1701878321807,34,,,,
1701878321814,,363,270,
1701878321817,464,,,
1701878322808,34,,,,
1701878322816,,236,437,
1701878322818,633,,,
1701878323807,34,,,,
1701878323814,,,235,
1701878323815,,410,,
1701878323818,807,,,
1701878324807,34,,,,
1701878324814,,,410,
1701878324815,,213,,
1701878324817,221,,,
1701878325807,34,,,,
1701878325814,,,192,
1701878325815,,397,,
1701878325817,411,,,
1701878326807,34,,,,
1701878326814,,580,378,
1701878326817,600,,,
1701878327807,34,,,,
1701878327814,,,555,
1701878327815,,224,,
1701878327817,260,,,
1701878328807,34,,,,
1701878328814,,,736,
1701878328815,,404,,
1701878328818,446,,,
1701878329807,34,,,,
1701878329814,,585,289,
1701878329817,632,,,
1701878330807,34,,,,
1701878330814,,773,479,
1701878330817,825,,,
1701878331807,34,,,,
1701878331814,,,654,
1701878331815,,223,,
1701878331818,244,,,
1701878332807,34,,,,
1701878332814,,,842,
1701878332815,,411,,
1701878332817,435,,,
1701878333806,34,,,,
1701878333814,,592,274,
1701878333817,621,,,
1701878334806,34,,,,
1701878334814,,778,466,
1701878334817,815,,,
1701878335807,34,,,,
1701878335814,,204,646,
1701878335817,253,,,
1701878336807,36,,,,
1701878336814,,392,837,
1701878336817,446,,,
1701878337807,36,,,,
1701878337814,,577,275,
1701878337817,632,,,
1701878338806,36,,,,
1701878338814,,,463,
1701878338815,,763,,
1701878338817,826,,,
1701878339807,36,,,,
1701878339814,,,645,
1701878339815,,189,,
1701878339817,263,,,
1701878340807,36,,,,
1701878340814,,,830,
1701878340816,,377,,
1701878340817,455,,,
1701878341806,36,,,,
1701878341814,,558,265,
1701878341817,640,,,
1701878342806,36,,,,
1701878342814,,746,453,
1701878342817,833,,,
1701878343806,36,,,,
1701878343814,,,640,
1701878343818,274,,,
1701878343834,,177,,
1701878344807,36,,,,
1701878344814,,358,827,
1701878344817,464,,,
1701878345807,36,,,,
1701878345814,,542,262,
1701878345817,652,,,
1701878346806,36,,,,
1701878346814,,729,452,
1701878346817,844,,,
1701878347806,36,,,,
1701878347814,,912,639,
1701878347817,286,,,
1701878348807,36,,,,
1701878348814,,344,825,
1701878348817,478,,,
1701878349807,36,,,,
1701878349814,,527,262,
1701878349817,665,,,
1701878350807,36,,,,
1701878350814,,713,450,
1701878350817,857,,,
1701878351806,36,,,,
1701878351814,,893,634,
1701878351817,302,,,
1701878352806,36,,,,
1701878352814,,325,821,
1701878352817,489,,,
1701878353806,36,,,,
1701878353814,,,261,
1701878353815,,511,,
1701878353817,682,,,
1701878354806,36,,,,
1701878354814,,701,454,
1701878354817,876,,,
1701878355806,36,,,,
1701878355814,,886,639,
1701878355818,318,,,
1701878356806,36,,,,
1701878356814,,,828,
1701878356815,,318,,
1701878356817,509,,,
1701878357806,36,,,,
1701878357814,,,266,
1701878357815,,503,,
1701878357817,700,,,
1701878358807,36,,,,
1701878358814,,689,456,
1701878358817,891,,,
1701878359806,36,,,,
1701878359814,,871,641,
1701878359817,333,,,
1701878360806,36,,,,
1701878360814,,300,827,
1701878360817,522,,,
1701878361806,38,,,,
1701878361814,,483,264,
1701878361817,711,,,
1701878362807,38,,,,
1701878362814,,668,452,
1701878362817,901,,,
1701878363807,38,,,,
1701878363814,,852,637,
