Timestamp,Slave 0,Slave 1,Slave 2,
1701830601199,0,,,,
1701830601206,,0,,
1701830601207,,,0,
1701830601208,0,,,
1701830601212,32,,,,
1701830601219,,108,,
1701830601221,104,,,
1701830601222,,,128,
1701830602200,34,,,,
1701830602208,137,,160,
1701830602213,,43,,
1701830603200,34,,,,
1701830603206,,68,,
1701830603209,,,186,
1701830603211,165,,,
1701830604200,34,,,,
1701830604206,,84,,
1701830604208,183,,201,
1701830605200,34,,,,
1701830605206,,121,,
1701830605208,,,235,
1701830605210,218,,,
1701830606201,34,,,,
1701830606207,,217,,
1701830606209,323,,326,
1701830607200,34,,,,
1701830607207,,214,,
1701830607208,496,,483,
1701830608200,34,,,,
1701830608207,,125,,
1701830608208,645,,614,
1701830609200,34,,,,
1701830609207,,163,,
1701830609208,685,,652,
1701830610200,34,,,,
1701830610206,,206,,
1701830610208,731,,694,
1701830611200,34,,,,
1701830611206,,326,,
1701830611208,130,,,
1701830611209,,,809,
1701830612200,34,,,,
1701830612207,,203,,
1701830612208,279,,215,
1701830613200,34,,,,
1701830613206,,357,,
1701830613208,136,,363,
1701830614200,34,,,,
1701830614207,,236,,
1701830614208,260,,175,
1701830615200,34,,,,
1701830615206,,392,,
1701830615208,424,,145,
1701830616202,34,,,,
1701830616208,,162,,
1701830616209,,,312,
1701830616210,295,,,
1701830617200,34,,,,
1701830617206,,340,,
1701830617208,255,,485,
1701830618200,36,,,,
1701830618206,,516,,
1701830618208,437,,241,
1701830619200,36,,,,
1701830619206,,691,,
1701830619208,172,,415,
1701830620200,36,,,,
1701830620206,,318,,
1701830620208,355,,215,
1701830621200,36,,,,
1701830621206,,496,,
1701830621208,539,,391,
1701830622200,36,,,,
1701830622206,,674,,
1701830622208,271,,562,
1701830623200,36,,,,
1701830623206,,854,,
1701830623208,456,,228,
1701830624200,36,,,,
1701830624206,,283,,
1701830624208,644,,404,
1701830625200,36,,,,
1701830625206,,462,,
1701830625208,224,,580,
1701830626200,36,,,,
1701830626206,,646,,
1701830626208,413,,758,
1701830627200,36,,,,
1701830627206,,830,,
1701830627208,,,199,
1701830627209,600,,,
1701830628200,36,,,,
1701830628206,,262,,
1701830628208,789,,378,
1701830629200,36,,,,
1701830629206,,446,,
1701830629208,235,,559,
1701830630200,36,,,,
1701830630206,,635,,
1701830630208,432,,742,
1701830631200,36,,,,
1701830631206,,820,,
1701830631208,622,,169,
1701830632200,36,,,,
1701830632206,,255,,
1701830632208,,,347,
1701830632209,811,,,
1701830633200,36,,,,
1701830633206,,440,,
1701830633208,256,,525,
1701830634200,36,,,,
1701830634206,,627,,
1701830634208,450,,707,
1701830635200,36,,,,
1701830635206,,813,,
1701830635208,641,,889,
1701830636200,36,,,,
1701830636206,,239,,
1701830636208,826,,309,
1701830637200,36,,,,
1701830637206,,424,,
1701830637208,270,,488,
1701830638200,36,,,,
1701830638206,,612,,
1701830638208,,,671,
1701830638209,467,,,
1701830639200,36,,,,
1701830639206,,802,,
1701830639208,663,,854,
1701830640200,36,,,,
1701830640206,,232,,
1701830640208,847,,275,
1701830641200,36,,,,
1701830641206,,416,,
1701830641208,294,,454,
1701830642200,36,,,,
1701830642206,,604,,
1701830642208,488,,635,
1701830643200,38,,,,
1701830643206,,792,,
1701830643208,683,,818,
1701830644200,38,,,,
1701830644206,,219,,
1701830644208,868,,238,
1701830645200,38,,,,
1701830645206,,402,,
1701830645208,312,,413,
1701830646200,38,,,,
1701830646206,,592,,
1701830646208,508,,595,
1701830647200,38,,,,
1701830647206,,782,,
1701830647208,703,,781,
1701830648200,38,,,,
1701830648206,,213,,
1701830648208,889,,199,
1701830649200,38,,,,
1701830649206,,395,,
1701830649208,337,,381,
1701830650200,38,,,,
1701830650206,,583,,
1701830650208,531,,564,
1701830651200,38,,,,
1701830651206,,774,,
1701830651208,727,,746,
1701830652200,38,,,,
1701830652209,922,,,
1701830652214,,,929,
1701830652227,,213,,
1701830653200,38,,,,
