Timestamp,Slave 0,Slave 1,Slave 2,
1701832108590,113052,,,,
1701832108601,341828,,,
1701832108602,,382384,,
1701832108611,,,378756,
1701832109566,113744,,,,
1701832109574,391556,,,
1701832109580,,,413912,
1701832109581,,387800,,
1701832110561,114056,,,,
1701832110575,,,445916,
1701832110576,,405368,,
1701832110579,427940,,,
1701832111570,,,487844,
1701832111572,,412324,,
1701832111575,111576,,,,
1701832111582,468956,,,
1701832112554,111576,,,,
1701832112561,,411008,,
1701832112573,498248,,,
1701832112575,,,511492,
1701832113556,111840,,,,
1701832113561,,460352,,
1701832113566,567072,,586980,
1701832114552,111840,,,,
1701832114561,,604248,,
1701832114563,717572,,733308,
1701832115555,112104,,,,
1701832115564,,770172,,
1701832115567,,,910472,
1701832115573,892524,,,
1701832116561,108856,,,,
1701832116574,975848,777984,,
1701832116576,,,975264,
1701832117569,,802244,,
1701832117571,108856,,,,
1701832117574,,,1011124,
1701832117575,1009320,,,
1701832118551,108856,,,,
1701832118558,,798852,,
1701832118563,1104740,,1109084,
1701832119551,109120,,,,
1701832119559,,843272,,
1701832119562,1245172,,,
1701832119563,,,1222160,
1701832120551,109120,,,,
1701832120561,,,1232040,
1701832120562,,861488,,
1701832120563,1253384,,,
1701832121551,109120,,,,
1701832121560,,861664,,
1701832121561,1302716,,1280640,
1701832122550,109384,,,,
1701832122559,,862000,,
1701832122561,,,1297604,
1701832122562,1321088,,,
1701832123553,109612,,,,
1701832123565,,854432,,
1701832123569,1307260,,,
1701832123571,,,1297960,
1701832124551,109612,,,,
1701832124557,,859600,,
1701832124562,1307328,,,
1701832124563,,,1298128,
1701832125551,109868,,,,
1701832125558,,859668,,
1701832125562,1326864,,1305328,
1701832126555,109868,,,,
1701832126561,,881016,,
1701832126562,1326936,,,
1701832126563,,,1305328,
1701832127552,109868,,,,
1701832127559,,881156,,
1701832127562,1327336,,,
1701832127563,,,1305456,
1701832128552,110132,,,,
1701832128562,1321904,,1299532,
1701832128563,,905644,,
1701832129553,110132,,,,
1701832129560,,1087420,,
1701832129561,1322036,,,
1701832129563,,,1299652,
1701832130551,110132,,,,
1701832130558,,1087420,,
1701832130561,1322564,,,
1701832130565,,,1300300,
1701832131552,110396,,,,
1701832131557,,1087420,,
1701832131565,1333124,,,
1701832131566,,,1307944,
1701832132550,110528,,,,
1701832132559,,1090380,,
1701832132562,1333188,,,
1701832132564,,,1307944,
1701832133551,110528,,,,
1701832133559,,1218412,,
1701832133564,1333188,,,
1701832133565,,,1307944,
1701832134551,110792,,,,
1701832134560,,1279924,,
1701832134562,1334768,,1307944,
1701832135551,110792,,,,
1701832135558,,1279924,,
1701832135561,1339516,,,
1701832135563,,,1310320,
1701832136551,110792,,,,
1701832136560,,1280012,,
1701832136561,1339592,,,
1701832136562,,,1314884,
1701832137554,110872,,,,
1701832137561,,1281920,,
1701832137562,1339592,,,
1701832137566,,,1314884,
1701832138551,111136,,,,
1701832138557,,1287992,,
1701832138563,1339668,,1314952,
1701832139551,111136,,,,
1701832139561,,1287992,,
1701832139563,1350484,,,
1701832139564,,,1314952,
1701832140551,111136,,,,
1701832140558,,1287992,,
1701832140561,1350484,,,
1701832140564,,,1324720,
1701832141551,111400,,,,
1701832141558,,1288080,,
1701832141561,1350564,,,
1701832141562,,,1325064,
1701832142553,111400,,,,
1701832142561,,1296952,,
1701832142564,1350564,,1325064,
1701832143551,111400,,,,
1701832143559,,1297196,,
1701832143562,1357692,,,
1701832143563,,,1325064,
1701832144551,111664,,,,
1701832144559,,1297276,,
1701832144562,1357692,,1332984,
1701832145550,111816,,,,
1701832145557,,1297276,,
1701832145562,1357772,,1333044,
1701832146551,111816,,,,
1701832146559,,1304140,,
1701832146562,1357772,,1333132,
1701832147553,112080,,,,
1701832147562,1365164,1304228,,
1701832147563,,,1333132,
1701832148552,112080,,,,
1701832148558,,1304228,,
1701832148562,1365164,,,
1701832148563,,,1340260,
1701832149551,112080,,,,
1701832149558,,1304228,,
1701832149560,1365164,,,
1701832149561,,,1340260,
1701832150550,112340,,,,
1701832150562,,1310564,,
1701832150563,1365204,,1340260,
1701832151550,112340,,,,
1701832151557,,1310564,,
1701832151563,1365204,,1340260,
1701832152552,112340,,,,
1701832152557,,1310564,,
1701832152562,1372068,,1347652,
1701832153551,112340,,,,
1701832153560,,1310564,,
1701832153562,1372068,,1347652,
1701832154551,112604,,,,
1701832154558,,1310564,,
1701832154561,1372068,,,
1701832154563,,,1347652,
1701832155550,112604,,,,
1701832155558,,1317220,,
1701832155561,1372068,,1347652,
1701832156551,112604,,,,
1701832156559,,1317220,,
1701832156562,1379460,,1355572,
1701832157550,112868,,,,
1701832157557,,1317220,,
1701832157562,1379500,,,
1701832157563,,,1355572,
1701832158550,112868,,,,
1701832158559,,1317304,,
1701832158564,,,1355572,
1701832158565,1379500,,,
1701832159551,112868,,,,
1701832159560,,1324168,,
1701832159561,1379500,,,
1701832159563,,,1355572,
1701832160552,113132,,,,
1701832160560,,1324168,,
1701832160562,1386628,,,
1701832160563,,,1362272,
1701832161551,113132,,,,
1701832161558,,1324168,,
1701832161563,1386628,,1362272,
1701832162552,113132,,,,
1701832162559,,1324168,,
1701832162560,1386628,,,
1701832162563,,,1362272,
1701832163552,113396,,,,
1701832163558,,1330504,,
1701832163561,1386628,,,
1701832163564,,,1362272,
1701832164551,113396,,,,
1701832164559,,1330504,,
1701832164562,1394020,,,
1701832164565,,,1370192,
1701832165550,113396,,,,
1701832165558,,1330504,,
1701832165561,,,1370192,
1701832165562,1394020,,,
1701832166552,113396,,,,
1701832166558,,1330504,,
1701832166561,1394020,,,
1701832166563,,,1370248,
1701832167552,113660,,,,
1701832167558,,1336840,,
1701832167561,1394120,,,
1701832167564,,,1370304,
1701832168550,113660,,,,
1701832168558,,1339908,,
1701832168561,,,1378024,
1701832168563,1401248,,,
1701832169552,113660,,,,
1701832169557,,1339908,,
1701832169561,1401248,,1378112,
1701832170551,113924,,,,
1701832170557,,1339892,,
1701832170561,1401248,,1378112,
1701832171554,113924,,,,
1701832171560,,1346444,,
1701832171562,1402116,,1378112,
1701832172551,113924,,,,
1701832172559,,1346444,,
1701832172562,,,1385764,
1701832172563,1409244,,,
1701832173553,114188,,,,
1701832173558,,1346444,,
1701832173563,1409360,,1385764,
1701832174551,114188,,,,
1701832174557,,1346444,,
1701832174560,1409360,,1385764,
1701832175550,114276,,,,
1701832175560,,1346688,,
1701832175562,1409604,,1386260,
1701832176554,115064,,,,
1701832176560,,1356040,,
1701832176564,,,1392128,
1701832176566,1412420,,,
1701832177558,115064,,,,
1701832177560,,1356040,,
1701832177563,1412428,,,
1701832177565,,,1392176,
1701832178562,,1358120,,
1701832178565,130804,,,,
1701832178574,1412780,,,
1701832178586,,,1393076,
1701832179549,128776,,,,
1701832179558,,1360780,,
1701832179562,1419740,,1393892,
1701832180552,128776,,,,
1701832180558,,1361016,,
1701832180562,1420092,,,
1701832180565,,,1394804,
1701832181550,129040,,,,
1701832181558,,1377120,,
1701832181561,1420092,,1394804,
1701832182552,129040,,,,
1701832182557,,1377120,,
1701832182562,1420092,,,
1701832182563,,,1394804,
1701832183552,129304,,,,
1701832183559,,1377120,,
1701832183562,1420092,,,
1701832183564,,,1394804,
1701832184552,129304,,,,
1701832184557,,1377120,,
1701832184563,1420124,,,
1701832184565,,,1394804,
1701832185550,129304,,,,
1701832185557,,1377120,,
1701832185560,1420124,,,
1701832185561,,,1394804,
1701832186550,129568,,,,
1701832186558,,1377184,,
1701832186563,1420124,,,
1701832186564,,,1394804,
1701832187550,129568,,,,
1701832187560,,1377184,,
1701832187561,,,1394804,
1701832187562,1420124,,,
1701832188555,129568,,,,
1701832188559,,1377184,,
1701832188576,,,1394804,
1701832188578,1420124,,,
1701832189550,129832,,,,
1701832189558,,1377184,,
1701832189563,,,1394804,
1701832189564,1420124,,,
1701832190550,129832,,,,
1701832190559,,1377184,,
1701832190561,1420124,,,
1701832190562,,,1394872,
1701832191551,129832,,,,
1701832191563,1420124,,,
1701832191571,,,1394872,
1701832191573,,1377356,,
1701832192559,,1377356,,
1701832192562,,,1394872,
1701832192563,130204,1420124,,,
1701832193552,130204,,,,
1701832193559,,1377356,,
1701832193563,1420176,,1394940,
1701832194550,130204,,,,
1701832194559,,1377356,,
1701832194560,1420176,,,
1701832194561,,,1394940,
1701832195552,130468,,,,
1701832195558,,1377356,,
1701832195560,1420176,,,
1701832195561,,,1394940,
1701832196551,130468,,,,
1701832196559,,1377356,,
