03:35:52,864 INFO  [org.radargun.LaunchMaster] (main) Running in directory: /results/.
03:35:52,883 INFO  [org.radargun.LaunchMaster] (main) Configuration file is: //results/config.xml
03:35:52,885 ERROR [org.radargun.config.DomConfigParser] (main) loading: //results/config.xml
03:35:52,890 ERROR [org.radargun.config.DomConfigParser] (main) loaded: /results/config.xml
03:35:53,118 INFO  [org.radargun.RemoteSlaveConnection] (main) Attempting to start Master listening for connection on: results/10.88.0.6:2103
03:35:53,120 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting 5 seconds for server socket to open completely
03:35:58,121 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 3 slaves.
03:35:58,124 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 2 slaves.
03:35:58,124 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 1 slaves.
03:35:58,124 INFO  [org.radargun.RemoteSlaveConnection] (main) Connection established from 3 slaves.
03:35:58,181 INFO  [org.radargun.Master] (main) Started benchmarking configuration 'Infinispan 9.2 - distributed'
03:35:58,182 INFO  [org.radargun.Master] (main) Starting scenario on Cluster[default=3]
03:35:58,334 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 3 reconnecting slaves
03:35:59,486 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 2 reconnecting slaves
03:35:59,525 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 1 reconnecting slaves
03:35:59,624 INFO  [org.radargun.Master] (main) Starting distributed stage ScenarioInit.
03:36:01,580 INFO  [org.radargun.stages.ScenarioInitStage] (main) Received responses from all 3 slaves. Durations [0 = 50 ms, 1 = 25 ms, 2 = 32 ms]
03:36:01,581 INFO  [org.radargun.Master] (main) Finished distributed stage ScenarioInit.
03:36:01,582 INFO  [org.radargun.Master] (main) Starting distributed stage BeforeServiceStart.
03:36:01,585 INFO  [org.radargun.stages.BeforeServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 0 ns, 1 = 0 ns, 2 = 0 ns]
03:36:01,585 INFO  [org.radargun.Master] (main) Finished distributed stage BeforeServiceStart.
03:36:01,588 INFO  [org.radargun.Master] (main) Starting distributed stage ServiceStart.
03:36:09,281 INFO  [org.radargun.stages.lifecycle.ServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 7.36 seconds, 1 = 7.21 seconds, 2 = 7.68 seconds]
03:36:09,284 INFO  [org.radargun.Master] (main) Finished distributed stage ServiceStart.
03:36:09,286 INFO  [org.radargun.Master] (main) Starting distributed stage AfterServiceStart.
03:36:09,293 INFO  [org.radargun.stages.AfterServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 0 ns, 1 = 0 ns, 2 = 0 ns]
03:36:09,294 INFO  [org.radargun.Master] (main) Finished distributed stage AfterServiceStart.
03:36:09,295 INFO  [org.radargun.Master] (main) Starting distributed stage MonitorStart.
03:36:09,372 INFO  [org.radargun.sysmonitor.AbstractMonitors] (main) Gathering statistics every 1000 ms
03:36:09,383 INFO  [org.radargun.stages.monitor.MonitorStartStage] (main) Received responses from all 3 slaves. Durations [0 = 5 ms, 1 = 8 ms, 2 = 8 ms]
03:36:09,384 INFO  [org.radargun.Master] (main) Finished distributed stage MonitorStart.
03:36:09,392 INFO  [org.radargun.Master] (main) Starting distributed stage Load.
03:36:16,473 INFO  [org.radargun.stages.cache.test.LoadStage] (main) Received responses from all 3 slaves. Durations [0 = 7.06 seconds, 1 = 7.07 seconds, 2 = 7.07 seconds]
03:36:16,473 INFO  [org.radargun.Master] (main) Finished distributed stage Load.
03:36:16,483 WARN  [org.radargun.config.InitHelper] (main) Method public void org.radargun.stages.cache.test.BasicOperationsTestStage.init() overrides public void org.radargun.stages.test.TestStage.init() but both are declared with @Init annotation: calling only once
03:36:16,484 INFO  [org.radargun.Master] (main) Starting distributed stage BasicOperationsTest.
03:37:16,521 INFO  [org.radargun.stages.cache.test.BasicOperationsTestStage] (main) Received responses from all 3 slaves. Durations [0 = 60.01 seconds, 1 = 60.01 seconds, 2 = 60.01 seconds]
