Timestamp,Slave 0,Slave 1,Slave 2,
1701893015172,0,,,,
1701893015178,,0,,
1701893015179,0,,0,
1701893015188,46,,,,
1701893015201,149,,,
1701893015205,,,149,
1701893015211,,149,,
1701893016174,46,,,,
1701893016180,,149,,
1701893016182,149,,,
1701893016183,,,149,
1701893017174,46,,,,
1701893017180,,149,,
1701893017181,149,,149,
1701893018174,46,,,,
1701893018180,,149,,
1701893018181,,,149,
1701893018182,149,,,
1701893019174,46,,,,
1701893019179,,149,,
1701893019181,,,149,
1701893019182,149,,,
1701893020174,46,,,,
1701893020179,,149,,
1701893020180,,,149,
1701893020182,149,,,
1701893021173,46,,,,
1701893021179,,149,,
1701893021180,,,149,
1701893021181,149,,,
1701893022177,46,,,,
1701893022180,,149,,
1701893022182,149,,,
1701893022186,,,149,
1701893023173,46,,,,
1701893023179,,149,,
1701893023181,149,,149,
1701893024173,46,,,,
1701893024179,,149,,
1701893024180,,,149,
1701893024181,149,,,
1701893025180,,149,,
1701893025183,149,,,
1701893025185,46,,,,
1701893025187,,,149,
1701893026173,46,,,,
1701893026179,,149,,
1701893026181,149,,149,
1701893027173,46,,,,
1701893027179,,149,,
1701893027180,,,149,
1701893027181,149,,,
1701893028173,46,,,,
1701893028179,,149,,
1701893028180,,,149,
1701893028181,149,,,
1701893029173,46,,,,
1701893029179,,149,,
1701893029181,149,,,
1701893029183,,,149,
1701893030175,46,,,,
1701893030181,,149,,
1701893030183,149,,149,
1701893031173,46,,,,
1701893031179,,149,,
1701893031180,,,149,
1701893031181,149,,,
1701893032173,46,,,,
1701893032179,,149,,
1701893032180,,,149,
1701893032181,149,,,
1701893033173,46,,,,
1701893033179,,149,,
1701893033180,,,149,
1701893033181,149,,,
1701893034173,46,,,,
1701893034179,,149,,
1701893034180,,,149,
1701893034181,149,,,
1701893035173,46,,,,
1701893035180,,149,149,
1701893035181,149,,,
1701893036173,46,,,,
1701893036179,,149,,
1701893036181,149,,,
1701893036182,,,149,
1701893037173,46,,,,
1701893037179,,149,,
1701893037180,,,149,
1701893037181,149,,,
1701893038173,46,,,,
1701893038180,,149,149,
1701893038181,149,,,
1701893039173,46,,,,
1701893039179,,149,,
1701893039180,,,149,
1701893039181,149,,,
