Timestamp,Slave 0,Slave 1,Slave 2,
1737116563052,0,,,,
1737116563057,,,0,
1737116563058,0,0,,
1737116563059,0.01853749698577285,,,,
1737116563064,,0.12096009856885603,0.11516587677725118,
1737116563065,0.11182714177407127,,,
1737116564053,0.02012072434607646,,,,
1737116564058,,,0.306841046277666,
1737116564059,,0.2914572864321608,,
1737116564061,0.29743975903614456,,,
1737116565053,0.0,,,,
1737116565059,0.2717935871743487,,0.32875,
1737116565060,,0.3533966033966034,,
1737116566053,0.00125,,,,
1737116566058,,,0.285,
1737116566059,0.4025,,,
1737116566060,,0.28625,,
1737116567053,0.0,,,,
1737116567058,,,0.34,
1737116567060,0.35,,,
1737116567062,,0.2844311377245509,,
1737116568053,0.00125,,,,
1737116568058,,,0.335,
1737116568059,0.36875,0.26078234704112335,,
1737116569053,0.00125,,,,
1737116569058,,,0.23875,
1737116569059,0.43625,0.20625,,
1737116570054,0.00125,,,,
1737116570059,0.285,0.27,0.27472527472527475,
1737116571053,0.00375,,,,
1737116571058,,,0.31656656656656657,
1737116571059,0.33125,0.24625,,
1737116572053,0.00125,,,,
1737116572058,,,0.30625,
1737116572059,0.26,0.33875,,
1737116573053,0.0,,,,
1737116573058,,,0.16,
1737116573059,0.22,,,
1737116573060,,0.49325674325674324,,
1737116574053,0.00125,,,,
1737116574058,,,0.325,
1737116574059,0.235,0.24524524524524524,,
1737116575053,0.00125,,,,
1737116575058,,,0.30125,
1737116575059,,0.24875,,
1737116575062,0.24426719840478564,,,
1737116576053,0.00125,,,,
1737116576058,,,0.26625,
1737116576059,0.2570210631895687,0.25625,,
1737116577053,0.0,,,,
1737116577058,,,0.265,
1737116577059,0.24375,,,
1737116577060,,0.270979020979021,,
1737116578053,0.00125,,,,
1737116578058,,,0.26375,
1737116578059,0.2425,0.248998998998999,,
1737116579053,0.0,,,,
1737116579058,,,0.245,
1737116579059,0.28403403403403404,0.24125,,
1737116580053,0.00125,,,,
1737116580058,,,0.25,
1737116580059,0.2675,0.265,,
1737116581053,0.0,,,,
1737116581058,,,0.255,
1737116581059,0.26848151848151847,0.26125,,
1737116582053,0.0,,,,
1737116582058,,,0.26625,
1737116582059,0.25375,0.26,,
1737116583053,0.00125,,,,
1737116583058,,,0.2575,
1737116583059,0.26125,0.26,,
1737116584053,0.00125,,,,
1737116584058,,,0.25625,
1737116584059,0.26151151151151153,,,
1737116584060,,0.260989010989011,,
1737116585053,0.00125,,,,
1737116585058,,,0.25,
1737116585059,0.2822177822177822,0.2502502502502503,,
1737116586053,0.00125,,,,
1737116586058,,,0.27,
1737116586059,0.24375,0.26375,,
1737116587053,0.0,,,,
1737116587058,,,0.26875,
1737116587059,0.243993993993994,0.25875,,
1737116588053,0.0,,,,
1737116588058,,,0.265,
1737116588059,0.2584915084915085,0.25375,,
1737116589053,0.00125,,,,
1737116589058,,,0.2575,
1737116589059,0.26625,0.25375,,
1737116590053,0.0,,,,
1737116590058,,,0.27125,
1737116590059,0.2525,0.24875,,
1737116591053,0.00125,,,,
1737116591058,,,0.25875,
1737116591059,0.25375,0.26625,,
1737116592053,0.0,,,,
1737116592058,,,0.26375,
1737116592059,0.2577577577577578,0.255,,
1737116593053,0.00125,,,,
1737116593058,,,0.2575,
1737116593059,0.26723276723276723,0.25375,,
1737116594053,0.0,,,,
1737116594058,,,0.27625,
1737116594059,0.2527527527527528,0.24875,,
1737116595053,0.00125,,,,
1737116595058,,,0.25875,
1737116595059,0.25375,0.26625,,
1737116596053,0.0,,,,
1737116596058,,,0.26625,
1737116596059,0.25625,0.25625,,
1737116597053,0.0,,,,
1737116597058,,,0.26375,
1737116597059,0.26848151848151847,0.2475,,
1737116598053,0.0025,,,,
1737116598058,,,0.27375,
1737116598059,0.25125,0.25,,
1737116599053,0.0,,,,
1737116599058,,,0.26375,
1737116599059,0.2502502502502503,0.2625,,
1737116600053,0.0,,,,
1737116600058,,,0.265,
1737116600059,0.2597402597402597,0.25375,,
1737116601053,0.00125,,,,
1737116601058,,,0.26,
1737116601059,0.26901901901901903,0.25,,
1737116602053,0.0,,,,
1737116602058,,,0.275,
1737116602059,0.25224775224775225,0.24875,,
1737116603053,0.00125,,,,
1737116603058,,,0.25625,
1737116603059,0.254004004004004,0.26901901901901903,,
1737116604053,0.0,,,,
1737116604058,,,0.2625,
1737116604059,0.25724275724275725,0.255994005994006,,
1737116605053,0.0,,,,
1737116605058,,,0.25875,
1737116605059,0.26875,0.25125,,
1737116606053,0.00125,,,,
1737116606058,,,0.27375,
1737116606059,0.2527527527527528,0.2502502502502503,,
1737116607053,0.0,,,,
1737116607058,,,0.25875,
1737116607059,0.25375,0.2634865134865135,,
1737116608053,0.0,,,,
1737116608058,,,0.2625,
