
===================================
Domain Marker;critical-jOPS;2259.0
Domain Marker;max-jOPS;10793.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;400.0;1600.0;2200.0;2500.0;3200.0;4100.0
277.0;400.0;1900.0;2800.0;3200.0;3900.0;127000.0
415.0;400.0;2200.0;3400.0;3800.0;4600.0;130000.0
553.0;400.0;2400.0;3900.0;4400.0;5500.0;129000.0
692.0;400.0;2700.0;4700.0;5400.0;21000.0;1500000.0
830.0;500.0;2900.0;5000.0;5600.0;6900.0;119000.0
969.0;400.0;3200.0;5500.0;6100.0;7500.0;120000.0
1107.0;500.0;3300.0;6000.0;6800.0;8700.0;133000.0
1245.0;500.0;3400.0;6600.0;7500.0;10200.0;138000.0
1384.0;400.0;3500.0;7000.0;7900.0;10900.0;133000.0
1522.0;400.0;3600.0;7300.0;8400.0;11600.0;125000.0
1660.0;400.0;3600.0;7400.0;8500.0;11700.0;1100000.0
1799.0;400.0;3600.0;7400.0;8700.0;11400.0;108000.0
1937.0;400.0;3700.0;7700.0;9300.0;50000.0;970000.0
2076.0;400.0;3600.0;7500.0;8700.0;11500.0;88000.0
2214.0;400.0;3800.0;7800.0;9300.0;25000.0;940000.0
2352.0;400.0;3700.0;7500.0;9000.0;17979.000000000815;970000.0
2491.0;400.0;3700.0;7600.0;9200.0;77000.0;950000.0
2629.0;400.0;3800.0;7900.0;9700.0;174000.0;960000.0
2767.0;400.0;3700.0;7400.0;9000.0;67000.0;980000.0
2906.0;400.0;3800.0;7800.0;9800.0;204000.0;980000.0
3044.0;400.0;3800.0;7700.0;9600.0;159000.0;970000.0
3183.0;400.0;3900.0;7800.0;9800.0;206000.0;970000.0
3321.0;400.0;3900.0;7800.0;9900.0;161000.0;310000.0
3459.0;400.0;3800.0;7700.0;9800.0;104000.0;980000.0
3598.0;400.0;3900.0;7700.0;9600.0;77000.0;980000.0
3736.0;400.0;4000.0;8300.0;13500.0;288000.0;980000.0
3874.0;400.0;3900.0;7800.0;10200.0;153000.0;970000.0
4013.0;400.0;3900.0;8000.0;11900.0;321000.0;980000.0
4151.0;400.0;4100.0;8000.0;11200.0;149000.0;970000.0
4289.0;400.0;4100.0;8400.0;13000.0;110000.0;1400000.0
4428.0;400.0;4100.0;8300.0;14100.0;425000.0;970000.0
4566.0;400.0;4100.0;8500.0;19100.0;277000.0;980000.0
4705.0;400.0;4200.0;9000.0;23000.0;451000.0;980000.0
4843.0;400.0;4300.0;8500.0;13300.0;59000.0;960000.0
4981.0;400.0;4300.0;9000.0;21000.0;251000.0;1000000.0
5120.0;400.0;4500.0;9700.0;19954.999999998836;304000.0;1000000.0
5258.0;400.0;4400.0;8900.0;15600.0;36000.0;970000.0
5396.0;400.0;4500.0;10900.0;70099.99999997672;444000.0;1100000.0
5535.0;300.0;4600.0;10800.0;68000.0;640000.0;980000.0
5673.0;400.0;4700.0;11900.0;55000.0;269000.0;1200000.0
5812.0;400.0;4800.0;14000.0;22000.0;70000.0;1100000.0
5950.0;400.0;4900.0;17400.0;264000.0;560000.0;1500000.0
6088.0;400.0;5000.0;18100.0;131000.0;598000.0;760000.0
6227.0;400.0;5100.0;17000.0;114000.0;449000.0;1100000.0
6365.0;400.0;5300.0;23000.0;100000.0;527000.0;1100000.0
6503.0;400.0;5300.0;21000.0;136000.0;660000.0;980000.0
6642.0;300.0;5500.0;28000.0;162000.0;760000.0;1100000.0
6780.0;300.0;5700.0;40000.0;215000.0;670000.0;1100000.0
6918.0;300.0;5700.0;30000.0;172000.0;800000.0;1100000.0
7057.0;300.0;6100.0;63000.0;252000.0;565000.0;1100000.0
7195.0;400.0;6400.0;147000.0;366000.0;690000.0;2300000.0
7334.0;300.0;6400.0;75000.0;359000.0;710000.0;1200000.0
7472.0;400.0;6400.0;42000.0;236000.0;730000.0;1100000.0
7610.0;300.0;6900.0;79000.0;262000.0;660000.0;1100000.0
7749.0;300.0;7100.0;83000.0;242000.0;760000.0;1100000.0
7887.0;400.0;7400.0;65000.0;268000.0;457000.0;1000000.0
8025.0;400.0;7800.0;132000.0;316000.0;586000.0;1600000.0
8164.0;300.0;8600.0;217000.0;386000.0;850000.0;1100000.0
8302.0;400.0;8800.0;332000.0;620000.0;760000.0;2400000.0
8441.0;300.0;9400.0;304000.0;521000.0;750000.0;1100000.0
8579.0;400.0;9500.0;244000.0;341000.0;660000.0;1200000.0
8717.0;400.0;10500.0;260000.0;457000.0;860000.0;1100000.0
8856.0;400.0;11400.0;250000.0;504150.0000000233;790000.0;1500000.0
8994.0;300.0;13100.0;311000.0;490000.0;750000.0;1800000.0
9132.0;400.0;17500.0;462000.0;650000.0;840000.0;3000000.0
9271.0;400.0;17600.0;457000.0;650000.0;830000.0;1500000.0
9409.0;400.0;25000.0;463000.0;620000.0;960000.0;1500000.0
9548.0;400.0;33000.0;510000.0;680000.0;890000.0;1500000.0
9686.0;400.0;26000.0;564000.0;760000.0;970000.0;1700000.0
9824.0;400.0;79000.0;810000.0;900000.0;1300000.0;3900000.0
9963.0;400.0;56000.0;650000.0;830000.0;1100000.0;1600000.0
10101.0;400.0;83000.0;640000.0;810000.0;1100000.0;1700000.0
10239.0;400.0;71000.0;567000.0;700000.0;890000.0;1500000.0
10378.0;400.0;205000.0;710000.0;830000.0;970000.0;1800000.0
10516.0;400.0;457000.0;1000000.0;1100000.0;1300000.0;5300000.0
10654.0;1900.0;594000.0;1100000.0;1100000.0;1400000.0;2500000.0
10793.0;400.0;650000.0;1100000.0;1200000.0;2900000.0;3100000.0
10931.0;45000.0;1200000.0;2400000.0;3300000.0;6300000.0;3.2E7
11070.0;118000.0;1100000.0;1800000.0;3000000.0;1.5E7;3.6E7
11208.0;172000.0;1200000.0;2400000.0;3200000.0;8800000.0;3.6E7
11346.0;143000.0;1100000.0;1900000.0;3300000.0;5600000.0;2.9E7
