
===================================
Domain Marker;critical-jOPS;2213.0
Domain Marker;max-jOPS;8711.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
99.0;400.0;1700.0;2200.0;2300.0;2900.0;4100.0
198.0;400.0;1900.0;2500.0;2700.0;3600.0;154000.0
297.0;500.0;2100.0;3000.0;3400.0;4200.0;151000.0
396.0;500.0;2300.0;3500.0;3900.0;4800.0;150000.0
495.0;500.0;2500.0;4000.0;4500.0;5600.0;152000.0
594.0;500.0;2600.0;4400.0;5000.0;6800.0;291000.0
693.0;500.0;2800.0;4900.0;5600.0;7600.0;274000.0
792.0;400.0;2900.0;5300.0;6000.0;7900.0;283000.0
891.0;500.0;3100.0;5700.0;6500.0;8500.0;163000.0
990.0;500.0;3300.0;6200.0;7000.0;10000.0;231000.0
1089.0;500.0;3300.0;6500.0;7400.0;14800.0;180000.0
1188.0;500.0;3200.0;6900.0;7900.0;28000.0;300000.0
1287.0;400.0;3400.0;7200.0;8400.0;28000.0;282000.0
1386.0;500.0;3300.0;7400.0;8700.0;48000.0;280000.0
1485.0;500.0;3400.0;7600.0;9000.0;37000.0;347000.0
1584.0;500.0;3400.0;7700.0;9100.0;21000.0;257000.0
1683.0;500.0;3500.0;7600.0;9000.0;15800.0;166000.0
1782.0;500.0;3500.0;7500.0;9000.0;14053.99999999936;175000.0
1881.0;500.0;3500.0;7600.0;9100.0;26000.0;192000.0
1980.0;400.0;3500.0;7400.0;9000.0;18500.0;226000.0
2079.0;500.0;3600.0;7700.0;9400.0;31000.0;246000.0
2178.0;400.0;3500.0;7500.0;9300.0;31000.0;237000.0
2277.0;400.0;3700.0;7800.0;9600.0;41000.0;260000.0
2376.0;400.0;3600.0;7600.0;9300.0;24000.0;267000.0
2475.0;400.0;3600.0;7500.0;9500.0;54000.0;232000.0
2574.0;400.0;3600.0;7500.0;9300.0;40000.0;225000.0
2673.0;400.0;3700.0;7600.0;9400.0;59000.0;234000.0
2772.0;500.0;3700.0;7600.0;9700.0;66000.0;361000.0
2871.0;400.0;3800.0;7600.0;9700.0;51000.0;357000.0
2970.0;500.0;3800.0;7500.0;9500.0;65000.0;272000.0
3069.0;400.0;3800.0;7600.0;10000.0;102000.0;370000.0
3168.0;400.0;3900.0;7800.0;10000.0;90000.0;360000.0
3267.0;400.0;3900.0;8000.0;11000.0;77000.0;289000.0
3366.0;400.0;3900.0;7800.0;10600.0;73000.0;313000.0
3465.0;400.0;4100.0;8400.0;14000.0;109000.0;372000.0
3564.0;400.0;4000.0;8200.0;12200.0;85000.0;381000.0
3663.0;400.0;4000.0;8200.0;11600.0;79000.0;285000.0
3762.0;400.0;4100.0;8400.0;13200.0;77000.0;261000.0
3861.0;400.0;4200.0;8900.0;21000.0;137000.0;515000.0
3960.0;400.0;4200.0;8600.0;13700.0;84000.0;361000.0
4059.0;400.0;4300.0;9200.0;27000.0;142000.0;410000.0
4158.0;400.0;4300.0;8900.0;17800.0;99000.0;406000.0
4257.0;400.0;4400.0;9600.0;23000.0;127000.0;375000.0
4356.0;400.0;4400.0;9400.0;19600.0;110000.0;379000.0
4455.0;400.0;4500.0;10700.0;30000.0;123000.0;443000.0
4554.0;400.0;4500.0;10600.0;32000.0;143000.0;542000.0
4653.0;400.0;4700.0;11600.0;39000.0;158000.0;533000.0
4752.0;400.0;4600.0;11300.0;36000.0;127000.0;516000.0
4851.0;400.0;4800.0;13500.0;46000.0;146000.0;515000.0
4949.0;400.0;5000.0;14300.0;46000.0;156000.0;670000.0
5048.0;400.0;5000.0;13200.0;36000.0;138000.0;468000.0
5147.0;400.0;5100.0;15700.0;38000.0;97000.0;469000.0
5246.0;300.0;5200.0;17500.0;48000.0;136000.0;453000.0
5345.0;400.0;5300.0;19700.0;51000.0;134000.0;630000.0
5444.0;400.0;5500.0;25000.0;53000.0;136000.0;529000.0
5543.0;400.0;5500.0;24000.0;57000.0;131000.0;555000.0
5642.0;400.0;5700.0;33000.0;61000.0;151000.0;700000.0
5741.0;400.0;6000.0;34000.0;66000.0;155000.0;640000.0
5840.0;400.0;6000.0;31000.0;66000.0;159000.0;533000.0
5939.0;400.0;6200.0;41000.0;71000.0;146000.0;620000.0
6038.0;400.0;6500.0;38000.0;73000.0;138000.0;574000.0
6137.0;400.0;6600.0;39000.0;68000.0;155000.0;568000.0
6236.0;400.0;6800.0;43000.0;73000.0;147000.0;630000.0
6335.0;400.0;7000.0;53000.0;93000.0;192000.0;900000.0
6434.0;400.0;7500.0;56000.0;82000.0;174000.0;970000.0
6533.0;400.0;7300.0;50000.0;86000.0;178000.0;870000.0
6632.0;400.0;7500.0;58000.0;85000.0;157000.0;930000.0
6731.0;400.0;8100.0;67000.0;95000.0;159000.0;1200000.0
6830.0;400.0;8400.0;77000.0;109000.0;167000.0;1800000.0
6929.0;300.0;8800.0;86000.0;123000.0;248000.0;1100000.0
7028.0;400.0;9300.0;87000.0;122000.0;198000.0;1600000.0
7127.0;400.0;9900.0;78000.0;107000.0;206000.0;1300000.0
7226.0;400.0;10600.0;91000.0;128000.0;184000.0;1300000.0
7325.0;400.0;11200.0;112000.0;150000.0;217000.0;2000000.0
7424.0;400.0;17000.0;131000.0;158000.0;237000.0;3400000.0
7523.0;400.0;16000.0;127000.0;162000.0;251000.0;2700000.0
7622.0;400.0;27000.0;136000.0;162000.0;224000.0;3100000.0
7721.0;400.0;32000.0;162000.0;205000.0;288000.0;3800000.0
7820.0;400.0;38000.0;184000.0;222000.0;322000.0;3800000.0
7919.0;400.0;37000.0;202000.0;266000.0;360000.0;3300000.0
8018.0;400.0;58000.0;222000.0;278000.0;359000.0;4000000.0
8117.0;400.0;77000.0;242000.0;287000.0;371000.0;3900000.0
8216.0;400.0;90000.0;264000.0;317000.0;401000.0;5100000.0
8315.0;300.0;89000.0;286000.0;354000.0;474000.0;4000000.0
8414.0;400.0;112000.0;317000.0;363000.0;519000.0;5100000.0
8513.0;400.0;125000.0;323000.0;376000.0;490000.0;4500000.0
8612.0;400.0;153000.0;351000.0;423000.0;563000.0;6000000.0
8711.0;500.0;241000.0;459000.0;535000.0;700000.0;9400000.0
8810.0;500.0;373000.0;670000.0;760000.0;1100000.0;1.5E7
8909.0;700.0;514000.0;890000.0;1200000.0;2600000.0;1.8E7
9008.0;49000.0;630000.0;1200000.0;1800000.0;1.2E7;2.6E7
9107.0;112000.0;920000.0;3200000.0;5100000.0;1.3E7;2.7E7
