Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;2459.0
Domain Marker;max-jOPS;9206.0
Domain Marker;Last Success for SLAs;4554.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
99;90.63864801196146
198;92.65475156446172
297;93.49363727094172
396;94.72544599048999
495;95.31766342655807
594;95.65402547795226
693;95.81772322367794
792;95.55415652139456
891;95.85286787990933
990;96.36611160078431
1089;96.53711397258633
1188;96.21765343884354
1287;96.84636120468429
1386;96.64442892976828
1485;97.14705374454282
1584;97.03461350100756
1683;97.35617455668516
1782;97.26020671926764
1881;97.28398841802831
1980;97.63606531220756
2079;97.28499727891692
2178;97.40264811690815
2277;97.56226564349792
2376;97.45445293515266
2475;97.45431673045253
2574;97.41744270924477
2673;97.74223118152564
2772;97.8833115388213
2871;96.99650419791863
2970;97.54393793643445
3069;97.77595315577335
3168;97.71409485131542
3267;97.46123952541376
3366;97.9942466554217
3465;97.59279762625604
3564;97.69536167727267
3663;97.36047712468135
3762;97.99218989033228
3861;98.10804032537146
3960;98.0506192211249
4059;98.04485560314663
4158;97.8420865487996
4257;97.6324877910743
4356;97.6590650155884
4455;98.31522530710626
4554;97.64596062968381
4653;97.49823934698622
4752;97.58452720752365
4851;97.76137854641672
4949;98.11551211261282
5048;98.13664719631524
5147;97.9180901575493
5246;97.97113956310504
5345;97.98607101644518
5444;98.24252548114613
5543;98.3759866687728
5642;98.42264537458718
5741;97.58355957026461
5840;97.6491015848955
5939;97.9428606393664
6038;97.71683851550011
6137;97.37236601571291
6236;98.14853206801727
6335;97.79278196899027
6434;97.89051451063247
6533;96.06830120837903
6632;94.68876625088986
6731;93.29636263380398
6830;91.39892615710595
6929;90.19345126682659
7028;89.2534315742219
7127;87.57803853834938
7226;86.3755893674854
7325;85.12621959425458
7424;84.16667218486671
7523;82.8774160738769
7622;80.85610031190677
7721;79.37322973086756
7820;78.44928708203437
7919;77.28512066890889
8018;74.92367014230886
8117;74.90416664326371
8216;70.90189758991853
8315;68.46922690622188
8414;67.22843225664454
8513;65.83085591163803
8612;63.75890885388572
8711;62.42630912474095
8810;59.31463480211044
8909;58.49926702141071
9008;52.692053882875136
9107;41.960686227809745
9206;30.610311584384547
9305;16.546102262059545
9404;18.151769855185556
9503;13.387507376505845
9602;6.070341490978112
