
===================================
Domain Marker;critical-jOPS;3374.0
Domain Marker;max-jOPS;9641.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
107.0;500.0;1600.0;2000.0;2100.0;2700.0;78000.0
214.0;400.0;1800.0;2300.0;2600.0;3300.0;122000.0
321.0;500.0;2000.0;2900.0;3200.0;3900.0;131000.0
428.0;400.0;2200.0;3300.0;3700.0;4400.0;122000.0
536.0;400.0;2400.0;3800.0;4300.0;5200.0;199000.0
643.0;400.0;2500.0;4200.0;4700.0;5900.0;136000.0
750.0;400.0;2700.0;4700.0;5200.0;6400.0;195000.0
857.0;400.0;2900.0;5100.0;5600.0;6800.0;206000.0
964.0;500.0;3000.0;5500.0;6200.0;8000.0;216000.0
1071.0;400.0;3100.0;5900.0;6600.0;8200.0;122000.0
1178.0;400.0;3100.0;6200.0;7000.0;9000.0;221000.0
1285.0;400.0;3100.0;6300.0;7200.0;9000.0;122000.0
1393.0;400.0;3300.0;6800.0;7800.0;9800.0;125000.0
1500.0;500.0;3400.0;7000.0;8000.0;10100.0;127000.0
1607.0;400.0;3300.0;7100.0;8300.0;10800.0;138000.0
1714.0;400.0;3400.0;7400.0;8500.0;11200.0;251000.0
1821.0;400.0;3400.0;7400.0;8700.0;11400.0;125000.0
1928.0;400.0;3400.0;7300.0;8600.0;11500.0;118000.0
2035.0;400.0;3400.0;7300.0;8800.0;12200.0;140000.0
2142.0;400.0;3500.0;7400.0;8800.0;13500.0;134000.0
2250.0;400.0;3500.0;7400.0;8900.0;15400.0;169000.0
2357.0;400.0;3400.0;7000.0;8500.0;13000.0;157000.0
2464.0;400.0;3500.0;7100.0;8600.0;17800.0;138000.0
2571.0;400.0;3500.0;7000.0;8400.0;13000.0;141000.0
2678.0;400.0;3500.0;7100.0;8700.0;23000.0;164000.0
2785.0;400.0;3500.0;7000.0;8400.0;21000.0;182000.0
2892.0;400.0;3600.0;7100.0;8800.0;29000.0;283000.0
2999.0;400.0;3600.0;7100.0;8700.0;31000.0;186000.0
3106.0;400.0;3600.0;7000.0;8600.0;36000.0;218000.0
3214.0;400.0;3600.0;7100.0;8800.0;41000.0;215000.0
3321.0;400.0;3700.0;7100.0;8800.0;30000.0;200000.0
3428.0;400.0;3700.0;7300.0;9100.0;48000.0;201000.0
