MemTotal:       16380096 kB
MemFree:         6529380 kB
MemAvailable:   15364292 kB
Buffers:           90352 kB
Cached:          8785460 kB
SwapCached:            0 kB
Active:           915580 kB
Inactive:        8402972 kB
Active(anon):       1892 kB
Inactive(anon):   458644 kB
Active(file):     913688 kB
Inactive(file):  7944328 kB
Unevictable:        5540 kB
Mlocked:            5540 kB
SwapTotal:       8388604 kB
SwapFree:        8388348 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:            337588 kB
Writeback:             0 kB
AnonPages:        448272 kB
Mapped:           238804 kB
Shmem:             12792 kB
KReclaimable:     314376 kB
Slab:             413844 kB
SReclaimable:     314376 kB
SUnreclaim:        99468 kB
KernelStack:        7552 kB
PageTables:        13900 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16578652 kB
Committed_AS:    3207112 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       54684 kB
VmallocChunk:          0 kB
Percpu:             7136 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      190316 kB
DirectMap2M:     9246720 kB
DirectMap1G:     9437184 kB
