MemTotal:       16380088 kB
MemFree:         7078252 kB
MemAvailable:   15359048 kB
Buffers:           58852 kB
Cached:          8332296 kB
SwapCached:            0 kB
Active:           689440 kB
Inactive:        8146012 kB
Active(anon):       1872 kB
Inactive(anon):   460160 kB
Active(file):     687568 kB
Inactive(file):  7685852 kB
Unevictable:        5548 kB
Mlocked:            5548 kB
SwapTotal:       8388604 kB
SwapFree:        8388348 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             85968 kB
Writeback:             0 kB
AnonPages:        449872 kB
Mapped:           238584 kB
Shmem:             12724 kB
KReclaimable:     245040 kB
Slab:             335076 kB
SReclaimable:     245040 kB
SUnreclaim:        90036 kB
KernelStack:        7552 kB
PageTables:        13880 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16578648 kB
Committed_AS:    3239688 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       54692 kB
VmallocChunk:          0 kB
Percpu:             6912 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      175980 kB
DirectMap2M:     8212480 kB
DirectMap1G:    10485760 kB
