"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",6,30,232.574176,14.598389,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",6,30,503.619679,29.968356,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",6,15,548.420655,87.381712,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",6,15,37.052277,5.691058,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",6,15,1713.242334,113.842326,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",6,15,8166.151426,437.556534,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",6,30,566.443422,11.093093,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",6,15,210.211867,23.430009,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",6,15,63.337912,2.681655,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",6,15,473.146847,80.290125,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,12.091007,0.458602,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",6,15,810.972113,123.531519,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",6,15,3378.627227,446.947654,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",6,15,58.284991,1.423774,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",6,15,345.013563,14.637133,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",6,15,34.447069,1.626259,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",6,15,251.382849,45.522814,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",6,30,6892.601396,415.605035,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",6,15,96.030796,7.475062,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",6,30,382.854148,23.716238,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",6,30,714.885990,40.446972,"ops/min"
