"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",6,30,255.852400,16.060335,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",6,30,635.986414,13.200445,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",6,15,603.559470,5.012744,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",6,15,47.940914,2.265350,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",6,15,2264.236525,23.625478,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",6,15,11807.817844,291.228993,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",6,30,618.650539,11.238442,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",6,15,237.791058,5.080823,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",6,15,56.442991,1.408742,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",6,15,522.542517,9.073597,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,11.832190,0.173853,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",6,15,827.374277,13.583428,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",6,15,4277.103941,197.925278,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",6,15,55.988982,0.496415,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",6,15,354.986700,1.205202,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",6,15,32.967848,1.354096,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",6,15,293.890334,6.264275,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",6,30,10011.177598,168.009957,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",6,15,135.149940,3.080109,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",6,30,428.883463,18.730145,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",6,30,1060.835406,10.729010,"ops/min"
