MemTotal:       16380096 kB
MemFree:         5978164 kB
MemAvailable:   15361696 kB
Buffers:          157076 kB
Cached:          9292300 kB
SwapCached:            0 kB
Active:           855592 kB
Inactive:        9035932 kB
Active(anon):       1872 kB
Inactive(anon):   457932 kB
Active(file):     853720 kB
Inactive(file):  8578000 kB
Unevictable:        5500 kB
Mlocked:            5500 kB
SwapTotal:       8388604 kB
SwapFree:        8388348 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:            423520 kB
Writeback:             0 kB
AnonPages:        447732 kB
Mapped:           238492 kB
Shmem:             12696 kB
KReclaimable:     289292 kB
Slab:             382580 kB
SReclaimable:     289292 kB
SUnreclaim:        93288 kB
KernelStack:        7504 kB
PageTables:        13792 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16578652 kB
Committed_AS:    3182820 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       54648 kB
VmallocChunk:          0 kB
Percpu:             7104 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      196460 kB
DirectMap2M:    11337728 kB
DirectMap1G:     7340032 kB
