MemTotal:       16380096 kB
MemFree:         6123852 kB
MemAvailable:   15349680 kB
Buffers:           59108 kB
Cached:          9261340 kB
SwapCached:            0 kB
Active:           763748 kB
Inactive:        9001836 kB
Active(anon):       1860 kB
Inactive(anon):   460936 kB
Active(file):     761888 kB
Inactive(file):  8540900 kB
Unevictable:        5484 kB
Mlocked:            5484 kB
SwapTotal:       8388604 kB
SwapFree:        8388092 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:            389784 kB
Writeback:             0 kB
AnonPages:        450708 kB
Mapped:           239148 kB
Shmem:             12716 kB
KReclaimable:     260520 kB
Slab:             351664 kB
SReclaimable:     260520 kB
SUnreclaim:        91144 kB
KernelStack:        7556 kB
PageTables:        13776 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16578652 kB
Committed_AS:    3215500 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       54672 kB
VmallocChunk:          0 kB
Percpu:             6976 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      180076 kB
DirectMap2M:    11354112 kB
DirectMap1G:     7340032 kB
