Timestamp,Slave 0,Slave 1,Slave 2,
1698072295069,0,,,,
1698072295075,0,,,
1698072295078,,0,,
1698072295085,,,0,
1698072295086,0.003326923633366908,,,
1698072295091,0.0,,,,
1698072295092,,0.00421728930300539,,
1698072295105,,,0.004560795402718234,
1698072296071,0.0,,,,
1698072296077,0.0,,,
1698072296078,,0.0,,
1698072296094,,,0.0,
1698072297069,0.0,,,,
1698072297077,0.0,,,
1698072297078,,0.0,,
1698072297087,,,0.0,
1698072298069,0.0,,,,
1698072298077,0.0,,,
1698072298078,,0.002833333,,
1698072298087,,,0.0,
1698072299070,0.0,,,,
1698072299077,0.0,,,
1698072299078,,0.0,,
1698072299087,,,0.0,
1698072300070,0.0,,,,
1698072300077,0.003330002997002997,,,
1698072300078,,0.0,,
1698072300088,,,0.004324683632734531,
1698072301070,0.0,,,,
1698072301077,0.0,,,
1698072301078,,0.0,,
1698072301087,,,0.0,
1698072302072,0.0,,,,
1698072302078,0.0,,,
1698072302080,,0.0,,
1698072302088,,,0.0,
1698072303070,0.0,,,,
1698072303076,0.0,,,
1698072303079,,0.0033366696696696696,,
1698072303086,,,0.0,
1698072304069,0.0,,,,
1698072304076,0.0,,,
1698072304078,,0.0,,
1698072304087,,,0.004333333,
1698072305070,0.0,,,,
1698072305077,0.006666666,,,
1698072305078,,0.0,,
1698072305086,,,0.0,
1698072306069,0.0,,,,
1698072306076,0.0,,,
1698072306079,,0.0,,
1698072306086,,,0.0,
1698072307070,0.0,,,,
1698072307077,0.0,,,
1698072307079,,0.0,,
1698072307086,,,0.0,
1698072308070,0.0,,,,
1698072308077,0.0,,,
1698072308078,,0.0,,
1698072308086,,,0.0,
1698072309070,0.0,,,,
1698072309077,0.0,,,
1698072309078,,0.0,,
1698072309086,,,0.0,
1698072310071,0.0,,,,
1698072310079,0.0,,,
1698072310080,,0.002997002997002997,,
1698072310088,,,0.0028305024975024975,
1698072311069,0.0,,,,
1698072311077,0.002839011022044088,,,
1698072311079,,0.0,,
1698072311086,,,0.0,
1698072312070,0.0,,,,
1698072312076,0.0,,,
1698072312080,,0.002664001998001998,,
1698072312087,,,0.002666666,
1698072313070,0.0,,,,
1698072313076,0.0025,,,
1698072313078,,0.0,,
1698072313086,,,0.0,
1698072314070,0.0,,,,
1698072314076,0.0,,,
1698072314078,,0.002833333,,
1698072314086,,,0.0,
1698072315069,0.0,,,,
1698072315076,0.0,,,
1698072315078,,0.0,,
1698072315087,,,0.002833333,
1698072316069,0.0,,,,
1698072316076,0.003,,,
1698072316078,,0.0,,
1698072316086,,,0.0,
1698072317070,0.0,,,,
1698072317076,0.0,,,
1698072317078,,0.003,,
1698072317087,,,0.002833333,
1698072318069,0.0,,,,
1698072318076,0.0,,,
1698072318078,,0.0,,
1698072318086,,,0.0,
1698072319069,0.0,,,,
1698072319077,0.002833333,,,
1698072319078,,0.002333333,,
1698072319086,,,0.0,
1698072320069,0.0,,,,
1698072320076,0.0,,,
1698072320078,,0.0,,
1698072320086,,,0.002333333,
1698072321070,0.0,,,,
1698072321076,0.0,,,
1698072321078,,0.0,,
1698072321089,,,0.0,
1698072322069,0.0,,,,
1698072322076,0.002333333,,,
1698072322079,,0.002333333,,
1698072322086,,,0.0,
1698072323069,0.0,,,,
1698072323076,0.0,,,
1698072323078,,0.0,,
1698072323086,,,0.002333333,
1698072324070,0.0,,,,
1698072324076,0.0,,,
1698072324078,,0.0,,
1698072324086,,,0.0,
1698072325069,0.0,,,,
1698072325076,0.003,,,
1698072325078,,0.002333333,,
1698072325086,,,0.002166666,
1698072326069,0.0,,,,
1698072326076,0.0,,,
1698072326078,,0.0,,
1698072326086,,,0.0,
1698072327069,0.0,,,,
1698072327076,0.002,,,
1698072327079,,0.0,,
1698072327086,,,0.0,
1698072328069,0.0,,,,
1698072328076,0.0,,,
1698072328078,,0.001835168168168168,,
1698072328086,,,0.002,
1698072329069,0.0,,,,
1698072329076,0.0,,,
1698072329078,,0.0,,
1698072329086,,,0.0,
1698072330069,0.0,,,,
1698072330076,0.001666666,,,
1698072330079,,0.001666666,,
1698072330086,,,0.0,
1698072331069,0.0,,,,
1698072331076,0.0,,,
1698072331078,,0.0,,
1698072331086,,,0.0015,
1698072332069,0.0,,,,
1698072332076,0.0,,,
1698072332078,,0.0,,
1698072332086,,,0.0,
1698072333069,0.0,,,,
1698072333076,0.002,,,
1698072333078,,0.001833333,,
1698072333086,,,0.0,
1698072334069,0.0,,,,
1698072334076,0.0,,,
1698072334078,,0.0,,
1698072334086,,,0.001666666,
1698072335069,0.0,,,,
1698072335076,0.0,,,
1698072335078,,0.0,,
1698072335086,,,0.0,
1698072336069,0.0,,,,
1698072336076,0.0,,,
1698072336078,,0.0015,,
1698072336086,,,0.0,
1698072337069,0.0,,,,
1698072337076,0.0015,,,
1698072337078,,0.0,,
1698072337086,,,0.001833333,
1698072338069,0.0,,,,
1698072338076,0.0,,,
1698072338078,,0.0,,
1698072338086,,,0.0,
1698072339069,0.0,,,,
1698072339076,0.0,,,
1698072339078,,0.001666666,,
1698072339086,,,0.002166666,
1698072340069,0.0,,,,
1698072340076,0.002,,,
1698072340078,,0.0,,
1698072340086,,,0.0,
1698072341069,0.0,,,,
1698072341076,0.0,,,
1698072341078,,0.0,,
1698072341086,,,0.0,
1698072342069,0.0,,,,
1698072342076,0.0,,,
1698072342078,,0.001666666,,
1698072342086,,,0.002666666,
1698072343069,0.0,,,,
1698072343076,0.001666666,,,
1698072343078,,0.0,,
1698072343086,,,0.0,
1698072344069,0.0,,,,
1698072344076,0.0,,,
1698072344078,,0.0,,
1698072344086,,,0.0,
1698072345069,0.0,,,,
1698072345076,0.0,,,
1698072345078,,0.001835168168168168,,
1698072345086,,,0.002666666,
1698072346069,0.0,,,,
1698072346076,0.002,,,
1698072346078,,0.0,,
1698072346086,,,0.0,
1698072347070,0.0,,,,
1698072347076,0.0,,,
1698072347078,,0.0,,
1698072347086,,,0.0,
1698072348069,0.0,,,,
1698072348076,0.0,,,
