Timestamp,Slave 0,Slave 1,Slave 2,
1698081324131,0,,,,
1698081324140,0,0,0,
1698081324150,55,,,,
1698081324158,,237,,
1698081324159,,,237,
1698081324165,197,,,
1698081325132,58,,,,
1698081325140,259,,293,
1698081325141,,302,,
1698081326132,58,,,,
1698081326140,291,,320,
1698081326141,,333,,
1698081327132,58,,,,
1698081327140,325,,,
1698081327141,,75,357,
1698081328132,58,,,,
1698081328140,68,,,
1698081328141,,,99,
1698081328142,,118,,
1698081329132,58,,,,
1698081329140,108,,,
1698081329141,,,138,
1698081329142,,156,,
1698081330132,58,,,,
1698081330140,156,,,
1698081330141,,206,183,
1698081331132,58,,,,
1698081331140,237,,,
1698081331141,,287,267,
1698081332132,58,,,,
1698081332140,324,,,
1698081332141,,375,351,
1698081333132,59,,,,
1698081333140,127,,149,
1698081333141,,180,,
1698081334132,59,,,,
1698081334140,175,,,
1698081334141,,241,206,
1698081335132,59,,,,
1698081335140,222,,,
1698081335141,,286,251,
1698081336132,59,,,,
1698081336140,281,,,
1698081336141,,346,308,
1698081337132,59,,,,
1698081337140,355,,,
1698081337141,,423,,
1698081337142,,,381,
1698081338132,59,,,,
1698081338140,429,,,
1698081338141,,181,,
1698081338143,,,134,
1698081339134,59,,,,
1698081339144,186,266,216,
1698081340132,59,,,,
1698081340141,268,,104,
1698081340142,,169,,
1698081341132,59,,,,
1698081341140,164,,,
1698081341141,,259,,
1698081341142,,,196,
1698081342132,59,,,,
1698081342141,,165,283,
1698081342142,252,,,
1698081343132,59,,,,
1698081343140,143,,179,
1698081343142,,256,,
1698081344132,59,,,,
1698081344140,235,,270,
1698081344141,,150,,
1698081345132,59,,,,
1698081345140,324,,,
1698081345141,,,151,
1698081345142,,241,,
1698081346132,59,,,,
1698081346140,204,,243,
1698081346142,,139,,
1698081347132,60,,,,
1698081347140,291,,,
1698081347141,,228,126,
1698081348132,60,,,,
1698081348140,172,,,
1698081348141,,321,,
1698081348142,,,215,
1698081349132,60,,,,
1698081349140,265,,,
1698081349141,,207,310,
1698081350132,60,,,,
1698081350140,136,,181,
1698081350141,,300,,
1698081351132,60,,,,
1698081351140,225,,267,
1698081351141,,180,,
1698081352132,60,,,,
1698081352140,321,,141,
1698081352141,,280,,
1698081353132,60,,,,
1698081353140,189,,228,
1698081353142,,372,,
1698081354132,60,,,,
1698081354140,283,,319,
1698081354141,,249,,
1698081355132,60,,,,
1698081355140,370,,166,
1698081355141,,339,,
1698081356132,60,,,,
1698081356140,235,,255,
1698081356141,,212,,
1698081357132,60,,,,
1698081357140,318,,341,
1698081357141,,300,,
1698081358132,60,,,,
1698081358140,184,,188,
1698081358141,,392,,
1698081359132,60,,,,
1698081359140,272,,275,
1698081359141,,261,,
1698081360132,60,,,,
1698081360140,363,,367,
1698081360141,,352,,
1698081361132,60,,,,
1698081361140,223,,194,
1698081361141,,221,,
1698081362132,60,,,,
1698081362140,314,,288,
1698081362141,,312,,
1698081363132,62,,,,
1698081363140,405,,382,
1698081363141,,411,,
1698081364132,62,,,,
1698081364140,267,,204,
1698081364141,,267,,
1698081365132,62,,,,
1698081365140,361,,299,
1698081365141,,365,,
1698081366132,62,,,,
1698081366140,215,,391,
1698081366141,,459,,
1698081367132,62,,,,
1698081367140,303,,212,
1698081367141,,310,,
1698081368132,62,,,,
1698081368140,392,,,
1698081368141,,402,304,
1698081369132,62,,,,
1698081369140,244,,394,
1698081369141,,236,,
1698081370132,62,,,,
1698081370140,329,,,
1698081370142,,322,210,
1698081371132,62,,,,
1698081371140,415,,298,
1698081371141,,410,,
1698081372132,62,,,,
1698081372140,247,,387,
1698081372141,,244,,
1698081373132,62,,,,
1698081373140,335,,205,
1698081373143,,333,,
1698081374132,62,,,,
1698081374140,427,,297,
1698081374142,,427,,
1698081375132,62,,,,
1698081375140,267,,386,
1698081375141,,253,,
1698081376132,62,,,,
1698081376140,355,,205,
1698081376141,,342,,
1698081377132,62,,,,
1698081377140,451,,303,
1698081377141,,439,,
1698081378132,63,,,,
1698081378140,268,,390,
1698081378141,,269,,
1698081379132,63,,,,
1698081379140,358,,209,
1698081379141,,363,,
1698081380132,63,,,,
1698081380140,452,,304,
1698081380141,,459,,
1698081381132,63,,,,
1698081381140,268,,393,
1698081381141,,294,,
1698081382132,63,,,,
1698081382140,364,,214,
1698081382142,,392,,
1698081383132,63,,,,
1698081383140,456,,307,
1698081383142,,486,,
1698081384132,63,,,,
1698081384140,542,,399,
1698081384142,,322,,
1698081385132,63,,,,
1698081385140,332,,211,
1698081385141,,411,,
1698081386132,63,,,,
1698081386140,422,,300,
1698081386141,,504,,
1698081387132,63,,,,
1698081387140,,,397,
1698081387141,,351,,
1698081387144,518,,,
1698081388132,18,,,,
1698081388140,313,,213,
1698081388141,,443,,
1698081389132,18,,,,
1698081389140,400,,298,
1698081389141,,281,,
1698081390132,18,,,,
1698081390140,487,,385,
1698081390141,,369,,
1698081391132,18,,,,
1698081391140,580,,202,
1698081391141,,465,,
1698081392132,18,,,,
1698081392140,360,,291,
1698081392141,,303,,
1698081393132,18,,,,
1698081393140,450,,381,
1698081393141,,394,,
1698081394132,19,,,,
1698081394140,35,,,
1698081394141,,34,34,
1698081395132,19,,,,
1698081395140,126,,124,
1698081395141,,129,,
1698081396132,19,,,,
1698081396140,220,,218,
1698081396142,,226,,
1698081397132,20,,,,
1698081397140,310,,,
1698081397142,,,72,
1698081397143,,111,,
1698081398132,20,,,,
1698081398140,128,,,
1698081398141,,204,,
1698081398142,,,161,
1698081399132,20,,,,
1698081399140,,,253,
1698081399141,221,300,,
1698081400132,30,,,,
1698081400140,286,,,
1698081400141,,154,325,
1698081401132,30,,,,
1698081401140,374,,168,
1698081401141,,240,,
1698081402132,30,,,,
1698081402140,173,,258,
1698081402141,,332,,
1698081403132,30,,,,
1698081403140,262,,346,
1698081403141,,189,,
1698081404132,30,,,,
1698081404140,353,,153,
1698081404141,,283,,
1698081405132,31,,,,
1698081405140,150,,240,
1698081405141,,119,,
1698081406132,31,,,,
1698081406140,239,,330,
1698081406141,,211,,
1698081407132,31,,,,
1698081407140,329,,153,
1698081407141,,298,,
1698081408132,31,,,,
1698081408140,130,,241,
1698081408141,,166,,
1698081409132,31,,,,
1698081409140,219,,331,
1698081409141,,261,,
1698081410132,31,,,,
