Timestamp,Slave 0,Slave 1,Slave 2,
1698086861955,0,,,,
1698086861964,,0,0,
1698086861966,0,,,
1698086861977,61,,,,
1698086861988,,157,,
1698086862001,,,157,
1698086862004,157,,,
1698086862957,61,,,,
1698086862965,,,157,
1698086862966,,157,,
1698086862968,157,,,
1698086863960,61,,,,
1698086863965,,,157,
1698086863966,,157,,
1698086863968,157,,,
1698086864957,61,,,,
1698086864966,,157,157,
1698086864969,157,,,
1698086865957,61,,,,
1698086865965,,,157,
1698086865966,,157,,
1698086865969,157,,,
1698086866958,61,,,,
1698086866966,,157,157,
1698086866968,157,,,
1698086867956,61,,,,
1698086867965,,,157,
1698086867966,,157,,
1698086867968,157,,,
1698086868958,61,,,,
1698086868966,,,157,
1698086868967,,157,,
1698086868971,157,,,
1698086869956,61,,,,
1698086869965,,157,,
1698086869966,,,157,
1698086869968,157,,,
1698086870957,61,,,,
1698086870966,,157,157,
1698086870968,157,,,
1698086871957,61,,,,
1698086871966,,157,157,
1698086871968,157,,,
1698086872956,61,,,,
1698086872965,,157,,
1698086872966,,,157,
1698086872968,157,,,
1698086873956,61,,,,
1698086873965,,157,157,
1698086873967,157,,,
1698086874956,61,,,,
1698086874965,,,157,
1698086874966,,157,,
1698086874968,157,,,
1698086875957,61,,,,
1698086875965,,157,157,
1698086875967,157,,,
1698086876958,61,,,,
1698086876967,,,157,
1698086876969,157,,,
1698086876970,,157,,
1698086877956,61,,,,
1698086877965,,157,157,
1698086877967,157,,,
1698086878956,61,,,,
1698086878965,,157,,
1698086878966,,,157,
1698086878968,157,,,
1698086879956,61,,,,
1698086879966,,157,157,
1698086879969,157,,,
1698086880963,61,,,,
1698086880966,,157,157,
1698086880968,157,,,
1698086881956,61,,,,
1698086881965,,157,157,
1698086881967,157,,,
1698086882956,61,,,,
1698086882965,,157,157,
1698086882967,157,,,
1698086883956,61,,,,
1698086883965,,157,157,
1698086883968,157,,,
1698086884956,61,,,,
1698086884965,,157,157,
1698086884967,157,,,
1698086885956,61,,,,
1698086885965,,157,157,
1698086885968,157,,,
1698086886956,61,,,,
1698086886965,,157,,
1698086886966,,,157,
1698086886968,157,,,
1698086887956,61,,,,
1698086887965,,157,157,
1698086887967,157,,,
1698086888956,61,,,,
1698086888965,,157,157,
1698086888968,157,,,
1698086889956,61,,,,
1698086889965,,157,,
1698086889966,,,157,
1698086889967,157,,,
1698086890955,61,,,,
1698086890965,,157,157,
1698086890967,157,,,
1698086891956,61,,,,
1698086891965,,,157,
1698086891967,157,,,
1698086891968,,157,,
1698086892956,61,,,,
1698086892965,,157,157,
1698086892968,157,,,
1698086893956,61,,,,
1698086893965,,157,157,
1698086893969,157,,,
1698086894956,61,,,,
1698086894965,,157,157,
1698086894967,157,,,
1698086895956,61,,,,
1698086895965,,157,,
1698086895966,,,157,
1698086895967,157,,,
1698086896956,61,,,,
1698086896965,,157,157,
1698086896967,157,,,
1698086897956,61,,,,
1698086897965,,157,157,
1698086897967,157,,,
1698086898957,61,,,,
1698086898965,,157,157,
1698086898967,157,,,
1698086899956,61,,,,
1698086899965,,157,157,
1698086899967,157,,,
1698086900956,61,,,,
1698086900965,,157,157,
1698086900967,157,,,
1698086901956,61,,,,
1698086901965,,157,157,
1698086901967,157,,,
1698086902956,61,,,,
1698086902965,,157,157,
1698086902967,157,,,
1698086903956,61,,,,
1698086903965,,157,157,
1698086903968,157,,,
1698086904956,61,,,,
1698086904965,,157,157,
1698086904967,157,,,
1698086905956,61,,,,
1698086905965,,157,157,
1698086905968,157,,,
1698086906956,61,,,,
1698086906965,,157,157,
1698086906967,157,,,
1698086907956,61,,,,
1698086907965,,157,157,
1698086907967,157,,,
1698086908956,61,,,,
1698086908965,,157,157,
1698086908988,157,,,
1698086909956,61,,,,
1698086909965,,157,157,
1698086909967,157,,,
1698086910956,61,,,,
1698086910965,,157,157,
1698086910967,157,,,
1698086911956,61,,,,
1698086911965,,157,,
1698086911966,,,157,
1698086911967,157,,,
1698086912956,61,,,,
1698086912965,,157,157,
1698086912967,157,,,
1698086913956,61,,,,
1698086913965,,157,157,
1698086913967,157,,,
1698086914956,61,,,,
1698086914965,,157,157,
1698086914967,157,,,
1698086915956,61,,,,
1698086915965,,157,157,
1698086915969,157,,,
1698086916956,61,,,,
1698086916965,,157,157,
1698086916967,157,,,
1698086917956,61,,,,
1698086917965,,157,,
1698086917966,,,157,
1698086917967,157,,,
1698086918956,61,,,,
1698086918965,,157,157,
1698086918967,157,,,
1698086919956,61,,,,
1698086919965,,157,,
1698086919966,,,157,
1698086919967,157,,,
1698086920955,61,,,,
1698086920965,,157,,
1698086920966,,,157,
1698086920967,157,,,
1698086921955,61,,,,
1698086921965,,157,,
1698086921966,,,157,
1698086921968,157,,,
1698086922955,61,,,,
1698086922965,,157,,
1698086922967,157,,157,
1698086923955,61,,,,
1698086923966,,,157,
1698086923967,157,157,,
1698086924955,61,,,,
1698086924965,,157,,
1698086924966,,,157,
1698086924967,157,,,
1698086925956,61,,,,
1698086925965,,157,,
1698086925966,,,157,
1698086925967,157,,,
1698086926956,61,,,,
1698086926965,,157,157,
1698086926967,157,,,
1698086927956,61,,,,
1698086927965,,157,157,
1698086927967,157,,,
1698086928956,61,,,,
1698086928965,,157,157,
1698086928967,157,,,
1698086929956,61,,,,
1698086929965,,157,157,
1698086929967,157,,,
1698086930956,61,,,,
1698086930965,,157,157,
1698086930967,157,,,
1698086931956,61,,,,
1698086931965,,157,,
1698086931967,,,157,
1698086931968,157,,,
1698086932955,61,,,,
1698086932965,,157,157,
1698086932967,157,,,
1698086933956,61,,,,
1698086933965,,157,157,
1698086933967,157,,,
1698086934956,61,,,,
1698086934965,,157,157,
1698086934967,157,,,
1698086935955,61,,,,
1698086935965,,157,157,
1698086935967,157,,,
1698086936955,61,,,,
1698086936965,,157,157,
1698086936967,157,,,
1698086937956,61,,,,
1698086937965,,157,157,
1698086937968,157,,,
1698086938956,61,,,,
1698086938965,,157,157,
1698086938967,157,,,
1698086939956,61,,,,
1698086939965,,157,157,
1698086939967,157,,,
1698086940956,61,,,,
1698086940965,,157,157,
1698086940967,157,,,
1698086941955,61,,,,
1698086941965,,157,157,
1698086941968,157,,,
1698086942955,61,,,,
1698086942965,,157,,
1698086942966,,,157,
1698086942967,157,,,
1698086943955,61,,,,
1698086943965,,157,157,
1698086943967,157,,,
1698086944955,61,,,,
1698086944965,,157,157,
1698086944967,157,,,
1698086945956,61,,,,
1698086945965,,157,157,
1698086945967,157,,,
1698086946956,61,,,,
1698086946965,,157,,
1698086946967,157,,,
1698086946970,,,157,
1698086947956,61,,,,
1698086947965,,157,157,
1698086947967,157,,,
1698086948956,61,,,,
1698086948965,,157,157,
1698086948967,157,,,
1698086949955,61,,,,
1698086949965,,157,157,
1698086949967,157,,,
1698086950956,61,,,,
1698086950965,,157,157,
1698086950967,157,,,
1698086951956,61,,,,
1698086951965,,157,157,
1698086951967,157,,,
1698086952956,61,,,,
1698086952965,,157,157,
1698086952968,157,,,
1698086953956,61,,,,
1698086953965,,157,157,
1698086953967,157,,,
1698086954955,61,,,,
1698086954965,,157,157,
1698086954967,157,,,
1698086955956,61,,,,
1698086955965,,157,157,
1698086955967,157,,,
1698086956955,61,,,,
1698086956965,,157,157,
1698086956969,157,,,
1698086957956,61,,,,
1698086957965,,157,157,
1698086957968,157,,,
1698086958956,61,,,,
1698086958965,,157,157,
1698086958971,157,,,
1698086959956,61,,,,
1698086959965,,157,157,
1698086959967,157,,,
1698086960955,61,,,,
1698086960965,,157,157,
1698086960967,157,,,
1698086961956,61,,,,
1698086961965,,157,157,
1698086961967,157,,,
1698086962955,61,,,,
1698086962965,,157,157,
1698086962967,157,,,
1698086963956,61,,,,
1698086963965,,157,157,
1698086963967,157,,,
1698086964955,61,,,,
1698086964965,,157,157,
1698086964967,157,,,
1698086965956,61,,,,
1698086965965,,157,157,
1698086965967,157,,,
1698086966955,61,,,,
1698086966965,,157,157,
1698086966967,157,,,
1698086967956,61,,,,
1698086967965,,157,157,
1698086967967,157,,,
1698086968956,61,,,,
1698086968965,,157,157,
1698086968967,157,,,
1698086969956,61,,,,
1698086969965,,157,157,
1698086969967,157,,,
1698086970955,61,,,,
1698086970965,,157,157,
1698086970967,157,,,
1698086971956,61,,,,
1698086971965,,157,157,
1698086971967,157,,,
1698086972955,61,,,,
1698086972965,,157,157,
1698086972967,157,,,
1698086973955,61,,,,
1698086973965,,157,157,
1698086973967,157,,,
1698086974955,61,,,,
1698086974965,,157,157,
1698086974967,157,,,
1698086975955,61,,,,
1698086975965,,157,157,
1698086975967,157,,,
1698086976955,61,,,,
1698086976965,,157,157,
1698086976968,157,,,
1698086977955,61,,,,
1698086977965,,157,157,
1698086977967,157,,,
1698086978955,61,,,,
1698086978965,,157,157,
1698086978967,157,,,
1698086979955,61,,,,
1698086979965,,157,157,
1698086979967,157,,,
1698086980956,61,,,,
1698086980965,,157,157,
1698086980967,157,,,
1698086981956,61,,,,
1698086981965,,157,157,
1698086981967,157,,,
1698086982956,61,,,,
1698086982965,,157,157,
1698086982970,157,,,
1698086983956,61,,,,
1698086983965,,157,157,
1698086983967,157,,,
1698086984956,61,,,,
1698086984965,,157,157,
1698086984967,157,,,
1698086985956,61,,,,
1698086985965,,157,157,
1698086985967,157,,,
1698086986955,61,,,,
1698086986965,,157,157,
1698086986967,157,,,
1698086987956,61,,,,
1698086987965,,157,157,
1698086987967,157,,,
1698086988956,61,,,,
1698086988965,,157,157,
1698086988967,157,,,
1698086989956,61,,,,
1698086989968,157,,157,
1698086989978,,157,,
1698086990956,61,,,,
1698086990965,,157,157,
1698086990967,157,,,
1698086991956,61,,,,
1698086991965,,157,157,
1698086991967,157,,,
1698086992956,61,,,,
1698086992965,,157,157,
1698086992967,157,,,
1698086993956,61,,,,
1698086993965,,157,,
1698086993966,,,157,
1698086993967,157,,,
1698086994956,61,,,,
1698086994965,,157,,
1698086994966,,,157,
1698086994967,157,,,
1698086995956,61,,,,
1698086995965,,157,,
1698086995966,,,157,
1698086995967,157,,,
1698086996956,61,,,,
1698086996965,,157,157,
1698086996967,157,,,
1698086997956,61,,,,
1698086997965,,157,157,
