Timestamp,Slave 0,Slave 1,Slave 2,
1698150519207,0,,,,
1698150519213,,0,,
1698150519226,0,,,
1698150519239,150,,,
1698150519244,56,,,,
1698150519254,,,0,
1698150519255,,150,,
1698150519299,,,150,
1698150520208,56,,,,
1698150520214,,150,,
1698150520228,150,,,
1698150520257,,,150,
1698150521208,56,,,,
1698150521214,,150,,
1698150521228,150,,,
1698150521257,,,150,
1698150522208,56,,,,
1698150522215,,150,,
1698150522228,150,,,
1698150522257,,,150,
1698150523208,56,,,,
1698150523214,,150,,
1698150523228,150,,,
1698150523257,,,150,
1698150524208,56,,,,
1698150524215,,150,,
1698150524228,150,,,
1698150524257,,,150,
1698150525208,56,,,,
1698150525214,,150,,
1698150525228,150,,,
1698150525257,,,150,
1698150526210,56,,,,
1698150526217,,150,,
1698150526230,150,,,
1698150526259,,,150,
1698150527208,56,,,,
1698150527215,,150,,
1698150527228,150,,,
1698150527257,,,150,
1698150528209,56,,,,
1698150528214,,150,,
1698150528228,150,,,
1698150528257,,,150,
1698150529208,56,,,,
1698150529214,,150,,
1698150529227,150,,,
1698150529256,,,150,
1698150530209,56,,,,
1698150530216,,150,,
1698150530228,150,,,
1698150530257,,,150,
1698150531208,56,,,,
1698150531215,,150,,
1698150531229,150,,,
1698150531258,,,150,
1698150532209,56,,,,
1698150532214,,150,,
1698150532228,150,,,
1698150532257,,,150,
1698150533208,56,,,,
1698150533214,,150,,
1698150533228,150,,,
1698150533257,,,150,
1698150534213,56,,,,
1698150534219,,150,,
1698150534230,150,,,
1698150534258,,,150,
1698150535208,56,,,,
1698150535214,,150,,
1698150535228,150,,,
1698150535256,,,150,
1698150536208,56,,,,
1698150536214,,150,,
1698150536227,150,,,
1698150536256,,,150,
1698150537208,56,,,,
1698150537214,,150,,
1698150537227,150,,,
1698150537256,,,150,
1698150538208,56,,,,
1698150538214,,150,,
1698150538227,150,,,
1698150538256,,,150,
1698150539208,56,,,,
1698150539214,,150,,
1698150539227,150,,,
1698150539256,,,150,
1698150540208,56,,,,
1698150540214,,150,,
1698150540228,150,,,
1698150540256,,,150,
1698150541208,56,,,,
1698150541214,,150,,
1698150541227,150,,,
1698150541257,,,150,
1698150542208,56,,,,
1698150542215,,150,,
1698150542228,150,,,
1698150542256,,,150,
1698150543208,56,,,,
1698150543214,,150,,
1698150543227,150,,,
1698150543256,,,150,
1698150544208,56,,,,
1698150544214,,150,,
1698150544227,150,,,
1698150544256,,,150,
