17:04:08,462 INFO  [org.radargun.LaunchMaster] (main) Running in directory: /results/.
17:04:08,486 INFO  [org.radargun.LaunchMaster] (main) Configuration file is: //results/config.xml
17:04:08,488 ERROR [org.radargun.config.DomConfigParser] (main) loading: //results/config.xml
17:04:08,495 ERROR [org.radargun.config.DomConfigParser] (main) loaded: /results/config.xml
17:04:08,871 INFO  [org.radargun.RemoteSlaveConnection] (main) Attempting to start Master listening for connection on: results/10.0.2.100:2103
17:04:08,873 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting 5 seconds for server socket to open completely
17:04:13,879 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 3 slaves.
17:04:13,891 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 2 slaves.
17:04:13,892 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 1 slaves.
17:04:13,893 INFO  [org.radargun.RemoteSlaveConnection] (main) Connection established from 3 slaves.
17:04:14,013 INFO  [org.radargun.Master] (main) Started benchmarking configuration 'Infinispan 9.2 - distributed'
17:04:14,013 INFO  [org.radargun.Master] (main) Starting scenario on Cluster[default=3]
17:04:14,149 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 3 reconnecting slaves
17:04:15,307 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 2 reconnecting slaves
17:04:15,516 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 1 reconnecting slaves
17:04:15,710 INFO  [org.radargun.Master] (main) Starting distributed stage ScenarioInit.
17:04:17,915 INFO  [org.radargun.stages.ScenarioInitStage] (main) Received responses from all 3 slaves. Durations [0 = 13 ms, 1 = 33 ms, 2 = 11 ms]
17:04:17,915 INFO  [org.radargun.Master] (main) Finished distributed stage ScenarioInit.
17:04:17,916 INFO  [org.radargun.Master] (main) Starting distributed stage BeforeServiceStart.
17:04:17,919 INFO  [org.radargun.stages.BeforeServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 0 ns, 1 = 0 ns, 2 = 0 ns]
17:04:17,919 INFO  [org.radargun.Master] (main) Finished distributed stage BeforeServiceStart.
17:04:17,921 INFO  [org.radargun.Master] (main) Starting distributed stage ServiceStart.
17:04:27,958 INFO  [org.radargun.stages.lifecycle.ServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 10.02 seconds, 1 = 10.02 seconds, 2 = 9.89 seconds]
17:04:27,960 INFO  [org.radargun.Master] (main) Finished distributed stage ServiceStart.
17:04:27,961 INFO  [org.radargun.Master] (main) Starting distributed stage AfterServiceStart.
17:04:27,972 INFO  [org.radargun.stages.AfterServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 0 ns, 1 = 0 ns, 2 = 0 ns]
17:04:27,973 INFO  [org.radargun.Master] (main) Finished distributed stage AfterServiceStart.
17:04:27,975 INFO  [org.radargun.Master] (main) Starting distributed stage MonitorStart.
17:04:28,059 INFO  [org.radargun.sysmonitor.AbstractMonitors] (main) Gathering statistics every 1000 ms
17:04:28,089 INFO  [org.radargun.stages.monitor.MonitorStartStage] (main) Received responses from all 3 slaves. Durations [0 = 27 ms, 1 = 7 ms, 2 = 10 ms]
17:04:28,089 INFO  [org.radargun.Master] (main) Finished distributed stage MonitorStart.
17:04:28,098 INFO  [org.radargun.Master] (main) Starting distributed stage Load.
17:04:39,945 INFO  [org.radargun.stages.cache.test.LoadStage] (main) Received responses from all 3 slaves. Durations [0 = 11.65 seconds, 1 = 11.83 seconds, 2 = 11.83 seconds]
17:04:39,945 INFO  [org.radargun.Master] (main) Finished distributed stage Load.
17:04:39,953 WARN  [org.radargun.config.InitHelper] (main) Method public void org.radargun.stages.cache.test.BasicOperationsTestStage.init() overrides public void org.radargun.stages.test.TestStage.init() but both are declared with @Init annotation: calling only once
17:04:39,955 INFO  [org.radargun.Master] (main) Starting distributed stage BasicOperationsTest.
17:05:40,022 INFO  [org.radargun.stages.cache.test.BasicOperationsTestStage] (main) Received responses from all 3 slaves. Durations [0 = 60.02 seconds, 1 = 60.03 seconds, 2 = 60.04 seconds]
17:05:40,023 INFO  [org.radargun.stages.cache.test.BasicOperationsTestStage] (main) This test was executed as a warmup
17:05:40,024 INFO  [org.radargun.Master] (main) Finished distributed stage BasicOperationsTest.
17:05:40,025 INFO  [org.radargun.Master] (main) Starting distributed stage Clear.
17:05:40,211 INFO  [org.radargun.stages.cache.ClearStage] (main) Received responses from all 3 slaves. Durations [0 = 180 ms, 1 = 142 ms, 2 = 121 ms]
17:05:40,211 INFO  [org.radargun.Master] (main) Finished distributed stage Clear.
17:05:40,212 INFO  [org.radargun.Master] (main) Starting distributed stage Load.
17:05:45,674 INFO  [org.radargun.stages.cache.test.LoadStage] (main) Received responses from all 3 slaves. Durations [0 = 5.46 seconds, 1 = 5.36 seconds, 2 = 5.35 seconds]
17:05:45,674 INFO  [org.radargun.Master] (main) Finished distributed stage Load.
17:05:45,735 WARN  [org.radargun.config.InitHelper] (main) Method public void org.radargun.stages.cache.test.BasicOperationsTestStage.init() overrides public void org.radargun.stages.test.TestStage.init() but both are declared with @Init annotation: calling only once
17:05:45,735 INFO  [org.radargun.Master] (main) Starting distributed stage BasicOperationsTest.
