Timestamp,Slave 0,Slave 1,Slave 2,
1698187446317,0,,,,
1698187446324,0,0,,
1698187446337,,,0,
1698187446338,,107,,
1698187446343,81,,,
1698187446347,14,,,,
1698187446354,,,85,
1698187447317,14,,,,
1698187447325,104,136,,
1698187447337,,,101,
1698187448317,14,,,,
1698187448324,126,,,
1698187448326,,154,,
1698187448338,,,125,
1698187449318,15,,,,
1698187449326,,177,,
1698187449338,,,45,
1698187449340,147,,,
1698187450318,15,,,,
1698187450324,170,,,
1698187450329,,205,,
1698187450337,,,71,
1698187451319,15,,,,
1698187451324,196,,,
1698187451326,,230,,
1698187451339,,,100,
1698187452318,15,,,,
1698187452324,226,,,
1698187452325,,262,,
1698187452337,,,133,
1698187453319,15,,,,
1698187453324,262,,,
1698187453326,,297,,
1698187453337,,,167,
1698187454318,15,,,,
1698187454324,286,,,
1698187454325,,324,,
1698187454337,,,195,
1698187455318,15,,,,
1698187455324,321,,,
1698187455326,,362,,
1698187455338,,,234,
1698187456318,15,,,,
1698187456324,353,,,
1698187456326,,390,,
1698187456339,,,265,
1698187457317,16,,,,
1698187457324,381,,,
1698187457325,,417,,
1698187457337,,,292,
1698187458317,16,,,,
1698187458324,424,,,
1698187458325,,461,,
1698187458337,,,80,
1698187459318,16,,,,
1698187459324,488,,,
1698187459325,,528,,
1698187459337,,,147,
1698187460318,16,,,,
1698187460324,538,,,
1698187460325,,581,,
1698187460337,,,200,
1698187461322,16,,,,
1698187461328,,629,,
1698187461340,,,244,
1698187461341,588,,,
1698187462318,17,,,,
1698187462324,611,,,
1698187462325,,649,,
1698187462337,,,268,
1698187463319,17,,,,
1698187463324,640,,,
1698187463325,,681,,
1698187463337,,,300,
1698187464317,17,,,,
1698187464324,672,,,
1698187464325,,713,,
1698187464338,,,334,
1698187465317,17,,,,
1698187465324,705,,,
1698187465326,,747,,
1698187465337,,,127,
1698187466318,17,,,,
1698187466324,740,,,
1698187466325,,783,,
1698187466337,,,160,
1698187467317,17,,,,
1698187467324,782,,,
1698187467337,,,202,
1698187467339,,91,,
1698187468318,17,,,,
1698187468324,94,,,
1698187468325,,141,,
1698187468337,,,250,
1698187469317,17,,,,
1698187469324,152,,,
1698187469325,,199,,
1698187469337,,,117,
1698187470317,17,,,,
1698187470324,215,,,
1698187470325,,263,,
1698187470337,,,181,
1698187471317,17,,,,
1698187471324,286,,,
1698187471325,,335,,
1698187471337,,,253,
1698187472318,17,,,,
1698187472331,360,,,
1698187472337,,,328,
1698187472357,,95,,
1698187473317,17,,,,
1698187473324,425,,,
1698187473325,,159,,
1698187473337,,,132,
1698187474317,17,,,,
1698187474324,149,,,
1698187474326,,224,,
1698187474337,,,199,
1698187475317,18,,,,
1698187475324,221,,,
1698187475325,,115,,
1698187475337,,,271,
1698187476317,18,,,,
1698187476324,116,,,
1698187476325,,188,,
1698187476337,,,346,
1698187477317,18,,,,
1698187477324,190,,,
1698187477326,,264,,
1698187477337,,,139,
1698187478317,18,,,,
1698187478324,258,,,
1698187478326,,335,,
1698187478337,,,209,
1698187479317,18,,,,
1698187479324,332,,,
1698187479326,,407,,
1698187479337,,,282,
1698187480317,18,,,,
1698187480324,403,,,
1698187480325,,481,,
1698187480337,,,359,
1698187481317,18,,,,
1698187481324,145,,,
1698187481325,,196,,
1698187481337,,,440,
1698187482317,18,,,,
1698187482324,219,,,
1698187482325,,269,,
1698187482337,,,156,
1698187483317,18,,,,
1698187483324,294,,,
1698187483325,,346,,
1698187483337,,,232,
1698187484317,18,,,,
1698187484324,365,,,
1698187484325,,418,,
1698187484337,,,304,
1698187485318,18,,,,
1698187485324,437,,,
1698187485325,,492,,
1698187485337,,,378,
1698187486317,18,,,,
1698187486324,156,,,
1698187486325,,206,,
1698187486337,,,451,
1698187487317,19,,,,
1698187487324,230,,,
1698187487325,,279,,
1698187487337,,,524,
1698187488317,19,,,,
1698187488324,295,,,
1698187488325,,346,,
1698187488337,,,593,
1698187489317,19,,,,
1698187489324,359,,,
1698187489325,,410,,
1698187489338,,,657,
1698187490317,19,,,,
1698187490324,431,,,
1698187490325,,481,,
1698187490337,,,181,
1698187491317,19,,,,
1698187491324,503,,,
1698187491325,,555,,
1698187491337,,,258,
1698187492317,19,,,,
1698187492324,581,,,
1698187492325,,632,,
1698187492337,,,337,
1698187493317,19,,,,
1698187493324,154,,,
1698187493325,,701,,
1698187493337,,,411,
1698187494317,19,,,,
1698187494324,234,,,
1698187494325,,216,,
1698187494337,,,492,
1698187495317,19,,,,
1698187495324,316,,,
1698187495325,,298,,
1698187495337,,,574,
1698187496318,19,,,,
1698187496324,393,,,
1698187496325,,376,,
1698187496337,,,654,
1698187497317,19,,,,
1698187497324,469,,,
1698187497325,,455,,
1698187497337,,,733,
1698187498317,19,,,,
1698187498324,547,,,
1698187498325,,533,,
1698187498337,,,813,
1698187499317,20,,,,
1698187499324,624,,,
1698187499325,,610,,
1698187499337,,,890,
1698187500317,20,,,,
1698187500324,700,,,
1698187500325,,688,,
1698187500337,,,217,
1698187501317,20,,,,
1698187501324,781,,,
1698187501325,,770,,
1698187501337,,,300,
1698187502317,20,,,,
1698187502324,861,,,
1698187502325,,850,,
1698187502337,,,381,
1698187503317,20,,,,
1698187503324,226,,,
1698187503325,,220,,
1698187503337,,,460,
1698187504317,20,,,,
1698187504324,312,,,
1698187504325,,307,,
1698187504337,,,550,
1698187505317,20,,,,
1698187505324,397,,,
1698187505325,,391,,
1698187505337,,,634,
1698187506317,20,,,,
1698187506324,472,,,
1698187506325,,470,,
1698187506337,,,719,
1698187507317,20,,,,
1698187507324,556,,,
1698187507325,,552,,
1698187507337,,,801,
1698187508317,20,,,,
1698187508324,635,,,
1698187508325,,633,,
1698187508337,,,883,
1698187509317,20,,,,
1698187509324,715,,,
1698187509325,,713,,
1698187509337,,,214,
1698187510317,20,,,,
1698187510324,796,,,
1698187510325,,796,,
1698187510337,,,301,
1698187511317,20,,,,
1698187511324,886,,,
1698187511325,,880,,
1698187511337,,,387,
1698187512317,21,,,,
1698187512324,207,,,
1698187512325,,212,,
1698187512337,,,468,
1698187513317,21,,,,
1698187513324,290,,,
1698187513325,,293,,
1698187513337,,,551,
1698187514317,21,,,,
1698187514324,371,,,
1698187514325,,375,,
1698187514337,,,635,
1698187515317,21,,,,
1698187515324,449,,,
1698187515325,,455,,
1698187515337,,,714,
1698187516317,21,,,,
1698187516324,532,,,
1698187516325,,537,,
1698187516337,,,798,
1698187517317,21,,,,
1698187517324,614,,,
1698187517325,,619,,
1698187517337,,,880,
1698187518317,21,,,,
1698187518324,692,,,
1698187518325,,698,,
1698187518337,,,211,
1698187519317,21,,,,
1698187519324,773,,,
1698187519325,,780,,
1698187519337,,,292,
1698187520317,21,,,,
1698187520324,850,,,
1698187520325,,860,,
1698187520337,,,372,
1698187521317,22,,,,
1698187521325,,184,,
1698187521328,171,,,
1698187521337,,,450,
1698187522317,22,,,,
1698187522324,101,,,
1698187522325,,103,,
1698187522337,,,109,
1698187523317,22,,,,
1698187523324,185,,,
1698187523325,,190,,
1698187523337,,,195,
1698187524317,22,,,,
1698187524324,276,,,
1698187524325,,282,,
1698187524337,,,290,
1698187525317,22,,,,
1698187525324,365,,,
1698187525325,,372,,
1698187525337,,,383,
1698187526317,22,,,,
1698187526324,451,,,
1698187526325,,458,,
1698187526337,,,469,
1698187527317,30,,,,
1698187527324,528,,,
1698187527325,,540,,
1698187527337,,,555,
1698187528317,31,,,,
1698187528324,595,,,
1698187528325,,607,,
1698187528337,,,621,
1698187529317,31,,,,
1698187529324,671,,,
1698187529325,,686,,
1698187529337,,,699,
1698187530317,31,,,,
1698187530324,753,,,
1698187530325,,765,,
1698187530337,,,784,
1698187531317,31,,,,
1698187531324,831,,,
1698187531325,,105,,
1698187531337,,,128,
1698187532317,31,,,,
1698187532324,173,,,
1698187532325,,188,,
1698187532337,,,211,
1698187533317,31,,,,
1698187533324,254,,,
1698187533325,,271,,
1698187533337,,,295,
1698187534317,31,,,,
1698187534324,338,,,
1698187534325,,353,,
1698187534337,,,379,
1698187535317,31,,,,
1698187535324,423,,,
1698187535326,,439,,
1698187535337,,,465,
1698187536317,31,,,,
1698187536324,508,,,
1698187536326,,525,,
1698187536337,,,552,
1698187537317,31,,,,
1698187537324,592,,,
1698187537325,,611,,
1698187537337,,,637,
1698187538317,31,,,,
1698187538324,677,,,
1698187538325,,695,,
1698187538337,,,722,
1698187539317,31,,,,
1698187539324,760,,,
1698187539325,,780,,
1698187539337,,,809,
1698187540317,32,,,,
1698187540324,98,,,
1698187540325,,121,,
1698187540337,,,154,
1698187541317,32,,,,
1698187541324,178,,,
1698187541325,,201,,
1698187541337,,,234,
1698187542317,32,,,,
1698187542324,259,,,
1698187542325,,282,,
1698187542337,,,319,
1698187543317,32,,,,
1698187543324,346,,,
1698187543325,,367,,
1698187543337,,,404,
1698187544317,32,,,,
1698187544324,430,,,
1698187544325,,451,,
1698187544337,,,489,
1698187545317,32,,,,
1698187545324,508,,,
1698187545325,,532,,
1698187545337,,,570,
1698187546317,32,,,,
1698187546324,590,,,
1698187546325,,614,,
1698187546337,,,652,
1698187547317,32,,,,
1698187547324,676,,,
1698187547325,,698,,
1698187547337,,,740,
1698187548317,32,,,,
1698187548324,762,,,
1698187548325,,782,,
1698187548337,,,827,
1698187549317,32,,,,
1698187549324,843,,,
1698187549325,,866,,
1698187549337,,,157,
1698187550317,32,,,,
1698187550324,165,,,
1698187550325,,191,,
1698187550337,,,241,
1698187551317,32,,,,
1698187551324,248,,,
1698187551325,,275,,
1698187551337,,,327,
1698187552317,32,,,,
1698187552324,331,,,
1698187552325,,361,,
1698187552337,,,413,
1698187553317,33,,,,
1698187553324,414,,,
1698187553325,,443,,
1698187553337,,,495,
1698187554317,33,,,,
1698187554324,493,,,
1698187554325,,523,,
1698187554337,,,579,
1698187555317,33,,,,
1698187555324,574,,,
1698187555325,,602,,
1698187555337,,,661,
1698187556317,33,,,,
1698187556324,654,,,
1698187556325,,685,,
1698187556337,,,744,
1698187557317,33,,,,
1698187557324,740,,,
1698187557325,,768,,
1698187557337,,,830,
1698187558317,33,,,,
1698187558324,819,,,
1698187558325,,848,,
1698187558337,,,162,
1698187559317,33,,,,
1698187559324,146,,,
1698187559325,,179,,
1698187559337,,,245,
1698187560317,33,,,,
1698187560324,235,,,
1698187560325,,264,,
1698187560337,,,331,
1698187561317,33,,,,
1698187561324,317,,,
1698187561325,,348,,
1698187561337,,,418,
1698187562317,33,,,,
1698187562324,401,,,
1698187562325,,434,,
1698187562337,,,506,
1698187563317,33,,,,
1698187563324,484,,,
1698187563325,,519,,
1698187563337,,,593,
1698187564317,33,,,,
1698187564324,566,,,
1698187564325,,599,,
1698187564337,,,676,
1698187565317,34,,,,
1698187565324,651,,,
1698187565325,,687,,
1698187565337,,,764,
1698187566317,34,,,,
1698187566324,737,,,
1698187566325,,775,,
1698187566337,,,851,
1698187567317,34,,,,
1698187567324,815,,,
1698187567325,,855,,
1698187567337,,,187,
1698187568317,34,,,,
1698187568324,147,,,
1698187568325,,189,,
1698187568337,,,271,
1698187569317,34,,,,
1698187569324,228,,,
1698187569325,,275,,
1698187569337,,,358,
1698187570317,34,,,,
1698187570324,316,,,
1698187570325,,361,,
1698187570337,,,446,
1698187571317,34,,,,
1698187571324,399,,,
1698187571325,,450,,
1698187571337,,,534,
1698187572317,34,,,,
1698187572324,482,,,
1698187572325,,534,,
1698187572337,,,618,
1698187573317,34,,,,
1698187573324,571,,,
1698187573325,,620,,
1698187573337,,,706,
1698187574317,34,,,,
