Timestamp,Slave 0,Slave 1,Slave 2,
1698115785732,0,,,,
1698115785740,,0,,
1698115785742,0,,0,
1698115785752,0.12726483419014326,,,
1698115785754,,0.12361728812863497,,
1698115785756,,,0.11999179543279093,
1698115785792,0.022642577480069814,,,,
1698115786733,0.021231422505307854,,,,
1698115786741,,0.27524484903748736,,
1698115786743,0.28086108274470234,,0.3090172239108409,
1698115787733,0.001666666,,,,
1698115787741,,0.315,,
1698115787742,,,0.303333333,
1698115787743,0.313333333,,,
1698115788734,0.0,,,,
1698115788741,,0.295,,
1698115788742,,,0.355,
1698115788743,0.286666666,,,
1698115789733,0.001666666,,,,
1698115789741,,0.27,,
1698115789742,,,0.35,
1698115789743,0.336666666,,,
1698115790734,0.0,,,,
1698115790741,,0.31,,
1698115790743,0.321666666,,,
1698115790744,,,0.3143712574850299,
1698115791734,0.001665000999000999,,,,
1698115791741,,0.285,,
1698115791743,0.293333333,,0.3456913827655311,
1698115792733,0.0016683343343343344,,,,
1698115792741,,0.283333333,,
1698115792742,,,0.315,
1698115792743,0.298333333,,,
1698115793733,0.001666666,,,,
1698115793741,,0.203333333,,
1698115793742,,,0.261666666,
1698115793743,0.235,,,
1698115794733,0.001666666,,,,
1698115794741,,0.306666666,,
1698115794742,,,0.19,
1698115794744,0.2081252077922078,,,
1698115795733,0.001666666,,,,
1698115795741,,0.205,,
1698115795742,,,0.203333333,
1698115795743,0.22022022022022023,,,
1698115796733,0.003333333,,,,
1698115796741,,0.233333333,,
1698115796742,,,0.271666666,
1698115796743,0.248333333,,,
1698115797733,0.001666666,,,,
1698115797741,,0.286666666,,
1698115797742,,,0.323333333,
1698115797743,0.32,,,
1698115798733,0.0,,,,
1698115798741,,0.326666666,,
1698115798742,,,0.27,
1698115798743,0.295,,,
1698115799733,0.001666666,,,,
1698115799741,,0.305,,
1698115799742,,,0.236666666,
1698115799743,0.243333333,,,
1698115800733,0.001666666,,,,
1698115800741,,0.305,,
1698115800743,,,0.228333333,
1698115800744,0.23143523076923078,,,
1698115801733,0.001666666,,,,
1698115801741,,0.195,,
1698115801742,,,0.208333333,
1698115801743,0.2669335995995996,,,
1698115802733,0.001666666,,,,
1698115802741,,0.196666666,,
1698115802743,0.225,,0.205,
1698115803733,0.0,,,,
1698115803741,,0.258333333,,
1698115803743,0.233333333,,0.19,
1698115804733,0.001666666,,,,
1698115804741,,0.23,,
1698115804742,,,0.196666666,
1698115804743,0.213333333,,,
1698115805733,0.0,,,,
1698115805741,,0.216666666,,
1698115805742,,,0.201666666,
1698115805743,0.203333333,,,
1698115806733,0.001666666,,,,
1698115806741,,0.215,,
1698115806743,0.196666666,,0.201666666,
1698115807733,0.001666666,,,,
1698115807741,,0.198333333,,
1698115807742,,,0.208333333,
1698115807743,0.196666666,,,
1698115808733,0.0,,,,
1698115808741,,0.195,,
1698115808742,,,0.21,
1698115808743,0.195,,,
1698115809733,0.001666666,,,,
1698115809741,,0.211666666,,
1698115809742,,,0.218333333,
1698115809743,0.2,,,
1698115810733,0.0,,,,
1698115810740,,0.208333333,,
1698115810742,,,0.211666666,
1698115810743,0.198333333,,,
1698115811733,0.0,,,,
1698115811741,,0.196666666,,
1698115811742,,,0.196666666,
1698115811743,0.2,,,
1698115812733,0.003333333,,,,
1698115812741,,0.196666666,,
1698115812742,,,0.215,
1698115812743,0.208333333,,,
1698115813733,0.0,,,,
1698115813741,,0.2,,
1698115813742,,,0.21,
1698115813743,0.193333333,,,
1698115814733,0.001666666,,,,
1698115814741,,0.211666666,,
1698115814742,,,0.198333333,
1698115814743,0.201666666,,,
1698115815733,0.0,,,,
1698115815740,,0.2,,
1698115815742,,,0.191666666,
1698115815743,0.215,,,
1698115816733,0.001666666,,,,
1698115816741,,0.198333333,,
1698115816743,0.21,,,
1698115816744,,,0.2064602057942058,
1698115817733,0.0,,,,
1698115817740,,0.191666666,,
1698115817742,,,0.2135468798798799,
1698115817745,0.21623419760479043,,,
1698115818733,0.0,,,,
1698115818740,,0.208333333,,
1698115818742,,,0.22,
1698115818743,0.1937207745490982,,,
1698115819733,0.001666666,,,,
1698115819741,,0.2,,
1698115819742,,,0.233333333,
1698115819743,0.198333333,,,
1698115820733,0.0,,,,
1698115820741,,0.216666666,,
1698115820742,,,0.181666666,
1698115820743,0.193333333,,,
1698115821733,0.0,,,,
1698115821740,,0.213333333,,
1698115821742,,,0.205,
1698115821743,0.185,,,
1698115822733,0.001666666,,,,
1698115822740,,0.19686352952952954,,
1698115822743,0.213333333,,0.196666666,
1698115823733,0.0,,,,
1698115823740,,0.2014652007992008,,
1698115823742,,,0.211666666,
1698115823743,0.211666666,,,
1698115824733,0.001666666,,,,
1698115824741,,0.195,,
1698115824743,0.195,,,
1698115824745,,,0.20958083832335328,
1698115825733,0.0,,,,
1698115825740,,0.19519519519519518,,
1698115825742,,,0.21209084769539077,
1698115825743,0.198333333,,,
1698115826733,0.001666666,,,,
1698115826740,,0.20313020279720279,,
1698115826742,,,0.215,
1698115826743,0.191666666,,,
1698115827733,0.001666666,,,,
1698115827741,,0.215,,
1698115827742,,,0.191666666,
1698115827743,0.196666666,,,
1698115828733,0.0,,,,
1698115828740,,0.20520520520520522,,
1698115828742,,,0.201666666,
1698115828744,0.2014652007992008,,,
1698115829733,0.001666666,,,,
1698115829740,,0.2047952047952048,,
1698115829742,,,0.196666666,
1698115829744,0.201666666,,,
1698115830733,0.0,,,,
1698115830740,,0.196666666,,
1698115830744,,,0.20958083832335328,
1698115830745,0.2081252077922078,,,
1698115831733,0.0,,,,
1698115831741,,0.215,,
1698115831742,,,0.21209084769539077,
1698115831743,0.19205076753507014,,,
1698115832733,0.0,,,,
1698115832740,,0.19853186486486488,,
1698115832743,0.185,,0.21,
1698115833733,0.001666666,,,,
1698115833740,,0.2064602057942058,,
1698115833742,,,0.216666666,
1698115833743,0.183333333,,,
1698115834733,0.0,,,,
1698115834740,,0.19185852452452454,,
1698115834742,,,0.236666666,
