Timestamp,Slave 0,Slave 1,Slave 2,
1698121303380,0,,,,
1698121303386,0,,,
1698121303389,,,0,
1698121303391,,0,,
1698121303405,0.0021752859448459757,,,
1698121303415,7.982881502059585E-5,,,,
1698121303426,,0.0019489764722358377,,
1698121303429,,,0.002551912186254632,
1698121304381,0.0,,,,
1698121304390,,,0.0017343038501560874,
1698121304395,,0.0,,
1698121304402,0.0023403540621865595,,,
1698121305382,0.0,,,,
1698121305388,0.0,,,
1698121305390,,,0.0,
1698121305392,,0.0,,
1698121306382,0.0,,,,
1698121306388,0.0,,,
1698121306390,,,0.0,
1698121306392,,0.0,,
1698121307382,0.0,,,,
1698121307388,0.0,,,
1698121307390,,,0.0,
1698121307392,,0.0,,
1698121308382,0.0,,,,
1698121308388,0.0,,,
1698121308391,,,0.0,
1698121308392,,0.0,,
1698121309381,0.0,,,,
1698121309388,0.0,,,
1698121309390,,,0.0,
1698121309392,,0.0,,
1698121310384,0.0,,,,
1698121310389,0.0,,,
1698121310393,,0.0,,
1698121310399,,,0.0,
1698121311381,0.0,,,,
1698121311387,0.006179024048096193,,,
1698121311390,,,0.0,
1698121311392,,0.0,,
1698121312381,0.0,,,,
1698121312387,0.0,,,
1698121312390,,,0.0,
1698121312392,,0.0,,
1698121313381,0.0,,,,
1698121313387,0.0,,,
1698121313390,,,0.003330002997002997,
1698121313392,,0.0,,
1698121314381,0.0,,,,
1698121314387,0.0,,,
1698121314390,,,0.0,
1698121314392,,0.0,,
1698121315382,0.0,,,,
1698121315387,0.0,,,
1698121315392,,0.0,,
1698121315397,,,0.0,
1698121316381,0.0,,,,
1698121316387,0.007666666,,,
1698121316390,,,0.0,
1698121316392,,0.0,,
1698121317380,0.0,,,,
1698121317387,0.0,,,
1698121317390,,,0.0,
1698121317392,,0.0,,
1698121318383,0.0,,,,
1698121318390,0.0,,,
1698121318391,,,0.0,
1698121318394,,0.0,,
1698121319381,0.0,,,,
1698121319387,0.0,,,
1698121319390,,,0.003670336336336336,
