Timestamp,Slave 0,Slave 1,Slave 2,
1698239845350,101504,,,,
1698239845389,318920,,,
1698239845404,,,317460,
1698239845433,,328440,,
1698239846313,101624,,,,
1698239846319,338840,,,
1698239846321,,345160,,
1698239846331,,,336920,
1698239847322,346660,,,
1698239847331,,362716,,
1698239847332,,,392992,
1698239847334,101632,,,,
1698239848317,101632,,,,
1698239848332,,371424,,
1698239848333,,,398288,
1698239848340,359068,,,
1698239849310,101748,,,,
1698239849324,,382852,,
1698239849330,376316,,404140,
1698239850318,101756,,,,
1698239850325,,401800,,
1698239850336,397048,,417004,
1698239851308,101788,,,,
1698239851316,430636,,,
1698239851329,,441784,456180,
1698239852333,477020,,,
1698239852339,101804,,,,
1698239852343,,495804,506800,
1698239853322,101804,,,,
1698239853327,511492,,,
1698239853341,,533000,,
1698239853343,,,543048,
1698239854306,101804,,,,
1698239854319,551692,,,
1698239854324,,,585132,
1698239854326,,576416,,
1698239855301,101884,,,,
1698239855309,,643104,,
1698239855315,613972,,,
1698239855327,,,673168,
1698239856302,101884,,,,
1698239856309,,769604,,
1698239856313,671376,,,
1698239856318,,,673240,
1698239857315,,770508,,
1698239857324,674260,,,
1698239857331,,,676256,
1698239857350,102100,,,,
1698239858329,,765000,727812,
1698239858339,679224,,,
1698239858387,102176,,,,
1698239859310,102196,,,,
1698239859322,719584,,,
1698239859341,,,728444,
1698239859345,,773128,,
1698239860323,102232,,,,
1698239860326,,819584,,
1698239860349,728004,,,
1698239860359,,,727792,
1698239861302,102232,,,,
1698239861310,,819920,,
1698239861314,725544,,,
1698239861325,,,732200,
1698239862308,,819960,,
1698239862311,102232,,,,
1698239862318,728472,,,
1698239862320,,,757196,
1698239863310,102232,,,,
1698239863318,,812936,,
1698239863326,737248,,752492,
1698239864305,102324,,,,
1698239864310,,829584,,
1698239864320,737568,,,
1698239864324,,,753320,
1698239865304,102324,,,,
1698239865311,,829648,,
1698239865318,737568,,,
1698239865319,,,757112,
1698239866305,102324,,,,
1698239866316,,829912,,
1698239866321,738160,,789876,
1698239867305,102324,,,,
1698239867313,,831232,,
1698239867318,744464,,,
1698239867324,,,845700,
1698239868305,102324,,,,
1698239868315,781160,,,
1698239868317,,836776,,
1698239868324,,,845700,
1698239869301,102416,,,,
1698239869315,,836776,,
1698239869317,781160,,,
1698239869319,,,846008,
1698239870304,102416,,,,
1698239870311,,836776,,
1698239870318,781160,,,
1698239870322,,,870560,
1698239871303,102416,,,,
1698239871310,,837036,,
1698239871315,781160,,,
1698239871322,,,870560,
1698239872301,102416,,,,
1698239872309,,860268,,
1698239872315,817592,,,
1698239872317,,,870560,
1698239873300,102416,,,,
1698239873311,,860268,,
1698239873323,817592,,,
1698239873325,,,870560,
1698239874308,102496,,,,
1698239874312,,860268,,
1698239874313,817592,,,
1698239874318,,,870560,
1698239875303,102496,,,,
1698239875313,817592,860268,,
1698239875320,,,905708,
1698239876311,102500,,,,
1698239876315,,862904,,
1698239876316,817592,,,
1698239876325,,,1003724,
1698239877303,102500,,,,
1698239877314,838324,,,
1698239877315,,904664,,
1698239877320,,,1095144,
1698239878312,102500,,,,
1698239878318,,,1161192,
1698239878319,,1012376,,
1698239878320,967196,,,
1698239879306,102588,,,,
1698239879311,,1012376,,
1698239879318,967196,,,
1698239879320,,,1161192,
1698239880300,102588,,,,
1698239880314,,1012460,,
1698239880324,967196,,,
1698239880325,,,1161192,
1698239881302,102588,,,,
1698239881313,,1012460,,
1698239881316,967196,,,
1698239881320,,,1161192,
1698239882305,102588,,,,
1698239882312,,1012460,,
1698239882315,967196,,,
1698239882323,,,1161348,
1698239883304,102588,,,,
1698239883311,,1012460,,
1698239883320,967196,,1161348,
1698239884306,102588,,,,
1698239884309,,1013516,,
1698239884314,970088,,,
1698239884321,,,1161860,
1698239885304,102588,,,,
1698239885315,,1076868,,
1698239885318,1027648,,,
1698239885337,,,1182968,
1698239886304,102588,,,,
1698239886313,,1166448,,
1698239886318,1113268,,,
1698239886319,,,1243180,
1698239887303,102684,,,,
1698239887309,,1231972,,
1698239887320,1190672,,,
1698239887325,,,1243180,
1698239888301,102684,,,,
1698239888311,,1231972,,
1698239888316,1190672,,,
1698239888319,,,1243180,
1698239889305,102684,,,,
1698239889310,,1231972,,
1698239889312,1190672,,,
1698239889321,,,1243180,
1698239890305,102684,,,,
1698239890313,,1231972,,
1698239890319,1190672,,,
1698239890321,,,1243180,
1698239891305,102684,,,,
1698239891316,1190672,,,
1698239891317,,1231972,,
1698239891325,,,1243180,
1698239892302,102684,,,,
1698239892310,,1231972,,
1698239892319,1190672,,,
1698239892325,,,1243180,
1698239893301,102684,,,,
1698239893313,1190936,,,
1698239893315,,1233020,,
1698239893324,,,1275124,
1698239894302,102684,,,,
1698239894311,,1233812,,
1698239894325,1193036,,,
1698239894332,,,1275124,
1698239895310,102684,,,,
1698239895314,1227884,,,
1698239895315,,1241732,,
1698239895326,,,1275124,
1698239896307,102732,,,,
1698239896309,,1241732,,
1698239896318,1227884,,1275124,
1698239897304,102732,,,,
1698239897311,,1241732,,
1698239897318,,,1275124,
1698239897322,1227884,,,
1698239898302,102732,,,,
1698239898314,1227884,,,
1698239898318,,1241732,,
1698239898320,,,1275124,
1698239899301,102772,,,,
1698239899310,,1241732,,
1698239899314,1227884,,,
1698239899319,,,1275124,
1698239900303,102772,,,,
1698239900315,1227884,1241732,,
1698239900322,,,1275124,
1698239901305,102772,,,,
1698239901312,,1241732,,
1698239901316,1227884,,,
1698239901322,,,1283572,
1698239902302,102772,,,,
1698239902311,,1252292,,
1698239902316,1227884,,,
1698239902317,,,1283572,
1698239903303,102772,,,,
1698239903313,1234156,1252292,,
1698239903321,,,1283572,
1698239904302,102772,,,,
1698239904311,,1253064,,
1698239904315,1234156,,,
1698239904320,,,1283588,
1698239905312,102772,,,,
1698239905315,1234920,1253064,,
1698239905322,,,1283588,
1698239906306,102872,,,,
1698239906314,,1253064,,
1698239906318,1234920,,,
1698239906323,,,1283588,
1698239907301,102872,,,,
1698239907311,,1253064,,
1698239907318,1234852,,,
1698239907330,,,1283996,
1698239908306,102872,,,,
1698239908312,1234852,1253064,,
1698239908317,,,1283996,
1698239909306,102872,,,,
1698239909312,1234972,1253064,,
1698239909318,,,1291916,
1698239910302,102872,,,,
1698239910313,1235108,1260720,,
1698239910318,,,1291916,
1698239911312,1235108,1260720,,
1698239911316,102872,,,,
1698239911319,,,1291860,
1698239912301,102872,,,,
1698239912310,,1260720,,
1698239912314,1238276,,,
1698239912319,,,1291860,
1698239913309,102872,,,,
1698239913314,,1260720,,
1698239913320,1238476,,1291860,
1698239914304,102872,,,,
1698239914313,,1260720,,
1698239914317,1238476,,,
1698239914319,,,1291860,
1698239915302,102872,,,,
1698239915312,1238808,,,
1698239915314,,1260720,,
1698239915320,,,1292128,
1698239916305,102872,,,,
1698239916318,1239208,,,
1698239916320,,1261144,,
1698239916324,,,1292772,
1698239917302,103312,,,,
1698239917309,,1262644,,
1698239917312,1240884,,,
1698239917319,,,1300876,
1698239918310,103312,,,,
1698239918315,,1262892,,
1698239918317,1246160,,,
1698239918320,,,1301308,
1698239919306,103312,,,,
1698239919310,,1262892,,
1698239919314,1246288,,,
1698239919317,,,1301308,
1698239920302,103312,,,,
1698239920314,,1262892,,
1698239920318,1246288,,,
1698239920323,,,1301308,
1698239921306,103312,,,,
1698239921313,1246288,1262892,,
1698239921327,,,1301308,
1698239922315,1247736,,,
1698239922326,115852,,,,
1698239922327,,1263516,,
1698239922331,,,1302432,
1698239923302,126420,,,,
1698239923313,,1264804,,
1698239923318,,,1307844,
1698239923319,1252728,,,
1698239924301,126636,,,,
1698239924312,,1264812,,
1698239924314,1252728,,,
1698239924325,,,1307844,
1698239925304,126636,,,,
1698239925310,,1264812,,
1698239925315,1252728,,,
1698239925320,,,1333188,
1698239926302,115864,,,,
1698239926310,,1283820,,
1698239926324,,,1333188,
1698239926327,1267776,,,
1698239927302,115864,,,,
1698239927310,,1283824,,
1698239927315,1267776,,,
1698239927320,,,1333188,
1698239928302,115864,,,,
1698239928310,,1283824,,
1698239928316,1267776,,,
1698239928317,,,1328068,
1698239929306,115864,,,,
1698239929311,,1283824,,
1698239929318,1267776,,,
1698239929334,,,1328068,
1698239930305,115984,,,,
1698239930310,,1283824,,
1698239930315,1268028,,,
1698239930320,,,1328068,
1698239931303,115984,,,,
1698239931313,,1283824,,
1698239931317,1268028,,,
1698239931319,,,1328068,
1698239932308,115984,,,,
1698239932322,1268028,,,
1698239932328,,,1328068,
1698239932331,,1283824,,
1698239933301,115984,,,,
1698239933310,,1283824,,
1698239933314,1268028,,,
1698239933324,,,1328068,
1698239934302,115984,,,,
1698239934310,,1283824,,
1698239934315,1268028,,,
1698239934320,,,1328068,
1698239935305,115984,,,,
1698239935308,,1283856,,
1698239935311,1268028,,,
1698239935318,,,1328068,
1698239936303,115984,,,,
1698239936312,1268292,1283856,,
1698239936317,,,1328068,
1698239937301,115984,,,,
1698239937317,1268292,1283856,,
1698239937322,,,1328068,
1698239938306,115984,,,,
1698239938313,,1283856,,
1698239938321,1268292,,,
1698239938327,,,1328068,
1698239939309,115984,,,,
1698239939331,,1283856,,
1698239939334,1268292,,,
1698239939336,,,1328068,
1698239940302,116052,,,,
1698239940310,,1283856,,
1698239940319,,,1328068,
1698239940320,1268292,,,
1698239941305,116052,,,,
1698239941311,,1283856,,
