Timestamp,Slave 0,Slave 1,Slave 2,
1730790073693,0,,,,
1730790073701,0,,,
1730790073706,,0,,
1730790073708,,,0,
1730790073719,53,,,,
1730790073748,,149,,
1730790073750,,,149,
1730790073755,149,,,
1730790074696,53,,,,
1730790074703,149,,,
1730790074709,,149,,
1730790074710,,,149,
1730790075696,53,,,,
1730790075703,149,,,
1730790075708,,149,,
1730790075710,,,149,
1730790076697,53,,,,
1730790076703,149,,,
1730790076709,,149,,
1730790076710,,,149,
1730790077696,53,,,,
1730790077703,149,,,
1730790077708,,149,,
1730790077710,,,149,
1730790078696,53,,,,
1730790078703,149,,,
1730790078708,,149,,
1730790078710,,,149,
1730790079695,53,,,,
1730790079703,149,,,
1730790079708,,149,,
1730790079711,,,149,
1730790080703,53,,,,
1730790080707,149,,,
1730790080709,,149,,
1730790080711,,,149,
1730790081695,53,,,,
1730790081704,149,,,
1730790081707,,149,,
1730790081710,,,149,
1730790082695,53,,,,
1730790082703,149,,,
1730790082707,,149,,
1730790082710,,,149,
1730790083695,53,,,,
1730790083703,149,,,
1730790083708,,149,,
1730790083710,,,149,
1730790084695,53,,,,
1730790084703,149,,,
1730790084709,,149,,
1730790084710,,,149,
1730790085695,53,,,,
1730790085703,149,,,
1730790085708,,149,,
1730790085710,,,149,
1730790086695,53,,,,
1730790086703,149,,,
1730790086708,,149,,
1730790086711,,,149,
1730790087695,53,,,,
1730790087703,149,,,
1730790087707,,149,,
1730790087709,,,149,
1730790088700,53,,,,
1730790088706,149,,,
1730790088709,,149,,
1730790088743,,,149,
1730790089696,53,,,,
1730790089703,149,,,
1730790089708,,149,,
1730790089710,,,149,
1730790090695,53,,,,
1730790090703,149,,,
1730790090707,,149,,
1730790090710,,,149,
1730790091695,53,,,,
1730790091703,149,,,
1730790091708,,149,,
1730790091710,,,149,
1730790092694,53,,,,
1730790092702,149,,,
1730790092707,,149,,
1730790092709,,,149,
1730790093695,53,,,,
1730790093702,149,,,
1730790093708,,149,,
1730790093709,,,149,
1730790094695,53,,,,
1730790094702,149,,,
1730790094708,,149,,
1730790094709,,,149,
1730790095695,53,,,,
1730790095702,149,,,
1730790095708,,149,,
1730790095709,,,149,
1730790096695,53,,,,
1730790096702,149,,,
1730790096708,,149,,
1730790096711,,,149,
1730790097694,53,,,,
1730790097702,149,,,
1730790097708,,149,,
1730790097710,,,149,
1730790098695,53,,,,
1730790098703,149,,,
1730790098708,,149,,
1730790098710,,,149,
1730790099694,53,,,,
1730790099702,149,,,
1730790099708,,149,,
1730790099709,,,149,
1730790100698,53,,,,
1730790100703,149,,,
1730790100708,,149,,
1730790100709,,,149,
1730790101695,53,,,,
1730790101702,149,,,
1730790101708,,149,,
1730790101712,,,149,
1730790102694,53,,,,
1730790102702,149,,,
1730790102708,,149,,
1730790102710,,,149,
1730790103695,53,,,,
1730790103702,149,,,
1730790103708,,149,,
1730790103709,,,149,
1730790104695,53,,,,
1730790104702,149,,,
1730790104708,,149,,
1730790104709,,,149,
1730790105694,53,,,,
1730790105702,149,,,
1730790105708,,149,,
1730790105709,,,149,
1730790106694,53,,,,
1730790106702,149,,,
1730790106708,,149,,
1730790106710,,,149,
1730790107695,53,,,,
1730790107702,149,,,
1730790107707,,149,,
1730790107709,,,149,
1730790108694,53,,,,
1730790108702,149,,,
1730790108708,,149,,
1730790108709,,,149,
1730790109694,53,,,,
1730790109702,149,,,
1730790109708,,149,,
1730790109709,,,149,
1730790110694,53,,,,
