Timestamp,Slave 0,Slave 1,Slave 2,
1730800437651,0,,,,
1730800437656,0,,,
1730800437657,,,0,
1730800437664,,0,,
1730800437668,,,149,
1730800437669,53,,,,
1730800437703,,149,,
1730800437743,149,,,
1730800438653,53,,,,
1730800438657,149,,,
1730800438658,,,149,
1730800438671,,149,,
1730800439652,53,,,,
1730800439658,149,,149,
1730800439666,,149,,
1730800440652,53,,,,
1730800440657,149,,,
1730800440659,,,149,
1730800440666,,149,,
1730800441652,53,,,,
1730800441657,149,,,
1730800441658,,,149,
1730800441666,,149,,
1730800442652,53,,,,
1730800442658,149,,149,
1730800442666,,149,,
1730800443652,53,,,,
1730800443657,149,,,
1730800443658,,,149,
1730800443666,,149,,
1730800444653,53,,,,
1730800444658,149,,,
1730800444660,,,149,
1730800444667,,149,,
1730800445652,53,,,,
1730800445657,149,,,
1730800445658,,,149,
1730800445666,,149,,
1730800446652,53,,,,
1730800446657,149,,,
1730800446659,,,149,
1730800446665,,149,,
1730800447654,53,,,,
1730800447657,149,,,
1730800447658,,,149,
1730800447666,,149,,
1730800448652,54,,,,
1730800448657,149,,,
1730800448658,,,149,
1730800448665,,149,,
1730800449652,53,,,,
1730800449657,149,,,
1730800449659,,,149,
1730800449666,,149,,
1730800450652,53,,,,
1730800450657,149,,,
1730800450659,,,149,
1730800450666,,149,,
1730800451652,53,,,,
1730800451657,149,,,
1730800451659,,,149,
1730800451666,,149,,
1730800452653,53,,,,
1730800452660,149,,,
1730800452665,,,149,
1730800452668,,149,,
1730800453653,53,,,,
1730800453657,149,,,
1730800453658,,,149,
1730800453665,,149,,
1730800454652,53,,,,
1730800454657,149,,,
1730800454658,,,149,
1730800454666,,149,,
1730800455652,53,,,,
1730800455657,149,,,
1730800455658,,,149,
1730800455666,,149,,
1730800456652,53,,,,
1730800456656,149,,,
1730800456659,,,149,
1730800456666,,149,,
1730800457652,53,,,,
1730800457657,149,,,
1730800457658,,,149,
1730800457665,,149,,
1730800458652,53,,,,
1730800458657,149,,,
1730800458658,,,149,
1730800458665,,149,,
1730800459652,53,,,,
1730800459656,149,,,
1730800459658,,,149,
1730800459665,,149,,
1730800460652,53,,,,
1730800460657,149,,,
1730800460658,,,149,
1730800460665,,149,,
1730800461652,53,,,,
1730800461657,149,,,
1730800461659,,,149,
1730800461665,,149,,
1730800462652,53,,,,
1730800462656,149,,,
1730800462658,,,149,
1730800462665,,149,,
1730800463652,53,,,,
1730800463656,149,,,
1730800463659,,,149,
1730800463665,,149,,
1730800464652,53,,,,
1730800464657,149,,,
1730800464658,,,149,
1730800464666,,149,,
1730800465652,53,,,,
1730800465656,149,,,
1730800465658,,,149,
1730800465665,,149,,
1730800466652,53,,,,
1730800466657,149,,,
1730800466658,,,149,
1730800466667,,149,,
1730800467652,53,,,,
1730800467656,149,,,
1730800467658,,,149,
1730800467665,,149,,
1730800468652,53,,,,
1730800468657,149,,,
1730800468659,,,149,
1730800468666,,149,,
1730800469652,53,,,,
1730800469657,149,,,
1730800469658,,,149,
1730800469666,,149,,
1730800470652,53,,,,
1730800470657,149,,,
1730800470660,,,149,
1730800470666,,149,,
1730800471652,53,,,,
1730800471657,149,,,
1730800471658,,,149,
1730800471666,,149,,
1730800472652,53,,,,
1730800472657,149,,,
1730800472659,,,149,
1730800472666,,149,,
1730800473652,53,,,,
1730800473657,149,,,
1730800473660,,,149,
1730800473665,,149,,
1730800474651,53,,,,
1730800474656,149,,,
1730800474658,,,149,
1730800474665,,149,,
1730800475651,53,,,,
1730800475657,149,,,
1730800475658,,,149,
1730800475666,,149,,
1730800476651,53,,,,
1730800476657,149,,,
1730800476658,,,149,
1730800476665,,149,,
1730800477651,53,,,,
1730800477657,149,,,
1730800477658,,,149,
1730800477666,,149,,
1730800478652,53,,,,
1730800478657,149,,,
1730800478658,,,149,
1730800478665,,149,,
1730800479652,53,,,,
1730800479657,149,,,
1730800479660,,,149,
1730800479665,,149,,
1730800480652,53,,,,
1730800480656,149,,,
1730800480658,,,149,
1730800480665,,149,,
1730800481651,53,,,,
1730800481656,149,,,
1730800481658,,,149,
1730800481665,,149,,
1730800482651,53,,,,
1730800482657,149,,,
1730800482658,,,149,
1730800482666,,149,,
1730800483651,53,,,,
1730800483657,149,,,
1730800483658,,,149,
1730800483665,,149,,
1730800484652,53,,,,
1730800484657,149,,,
1730800484658,,,149,
1730800484666,,149,,
1730800485651,53,,,,
1730800485656,149,,,
1730800485658,,,149,
1730800485665,,149,,
1730800486652,53,,,,
1730800486656,149,,,
1730800486658,,,149,
1730800486665,,149,,
1730800487652,53,,,,
1730800487656,149,,,
1730800487659,,,149,
1730800487665,,149,,
1730800488652,53,,,,
1730800488656,149,,,
1730800488658,,,149,
1730800488665,,149,,
1730800489651,53,,,,
1730800489656,149,,,
1730800489658,,,149,
1730800489665,,149,,
1730800490651,53,,,,
1730800490656,149,,,
1730800490658,,,149,
1730800490666,,149,,
1730800491651,53,,,,
1730800491656,149,,,
1730800491658,,,149,
1730800491666,,149,,
1730800492652,53,,,,
1730800492657,149,,,
1730800492658,,,149,
1730800492665,,150,,
1730800493651,53,,,,
1730800493656,149,,,
1730800493658,,,149,
1730800493665,,149,,
1730800494651,53,,,,
1730800494656,149,,,
1730800494658,,,149,
1730800494665,,149,,
1730800495651,53,,,,
1730800495656,149,,,
1730800495658,,,149,
1730800495665,,149,,
1730800496652,53,,,,
1730800496657,149,,,
1730800496658,,,149,
