Timestamp,Slave 0,Slave 1,Slave 2,
1730810994133,0,,,,
1730810994140,0,,0,
1730810994143,,0,,
1730810994157,,120,,
1730810994170,6,,,,
1730810994180,,,122,
1730810994191,98,,,
1730810995134,8,,,,
1730810995141,121,,,
1730810995144,,41,148,
1730810996134,8,,,,
1730810996142,39,,,
1730810996144,,71,56,
1730810997134,8,,,,
1730810997142,,,83,
1730810997144,,96,,
1730810997145,60,,,
1730810998134,8,,,,
1730810998141,98,,,
1730810998144,,134,117,
1730810999135,8,,,,
1730810999142,,,145,
1730810999145,,166,,
1730810999149,127,,,
1730811000134,8,,,,
1730811000141,158,,176,
1730811000145,,195,,
1730811001134,8,,,,
1730811001141,193,,208,
1730811001144,,231,,
1730811002134,8,,,,
1730811002141,236,,251,
1730811002144,,278,,
1730811003134,8,,,,
1730811003141,275,,292,
1730811003145,,321,,
1730811004134,8,,,,
1730811004141,329,,,
1730811004142,,,349,
1730811004144,,380,,
1730811005134,8,,,,
1730811005141,401,,415,
1730811005144,,152,,
1730811006134,8,,,,
1730811006141,150,,120,
1730811006144,,240,,
1730811007134,10,,,,
1730811007141,187,,154,
1730811007144,,110,,
1730811008134,10,,,,
1730811008141,230,,197,
1730811008144,,155,,
1730811009138,10,,,,
1730811009143,264,,,
1730811009147,,,234,
1730811009148,,191,,
1730811010134,10,,,,
1730811010141,114,,264,
1730811010144,,225,,
1730811011134,10,,,,
1730811011141,165,,,
1730811011142,,,105,
1730811011144,,277,,
1730811012134,10,,,,
1730811012141,242,,179,
1730811012144,,183,,
1730811013134,10,,,,
1730811013141,328,,262,
1730811013144,,272,,
1730811014134,10,,,,
1730811014141,176,,346,
1730811014144,,359,,
1730811015134,10,,,,
1730811015141,264,,182,
1730811015144,,449,,
1730811016134,10,,,,
1730811016141,355,,271,
1730811016144,,210,,
1730811017134,10,,,,
1730811017141,439,,354,
1730811017144,,297,,
1730811018134,10,,,,
1730811018141,169,,157,
1730811018144,,382,,
1730811019134,10,,,,
1730811019141,258,,244,
1730811019144,,477,,
1730811020134,10,,,,
1730811020141,346,,333,
1730811020144,,238,,
1730811021134,10,,,,
1730811021141,436,,421,
1730811021144,,330,,
1730811022134,10,,,,
1730811022141,164,,510,
1730811022144,,423,,
1730811023134,10,,,,
1730811023141,251,,145,
1730811023144,,515,,
1730811024134,10,,,,
1730811024141,339,,228,
1730811024144,,601,,
1730811025134,10,,,,
1730811025141,421,,309,
1730811025144,,684,,
1730811026134,10,,,,
1730811026141,508,,393,
1730811026144,,774,,
1730811027134,10,,,,
1730811027141,595,,478,
1730811027145,,862,,
1730811028134,10,,,,
1730811028141,197,,563,
1730811028144,,224,,
1730811029134,10,,,,
1730811029141,288,,155,
1730811029146,,317,,
1730811030134,10,,,,
1730811030141,375,,241,
1730811030144,,406,,
1730811031134,12,,,,
1730811031141,464,,328,
1730811031144,,498,,
1730811032134,12,,,,
1730811032141,553,,415,
1730811032144,,590,,
1730811033134,12,,,,
1730811033141,643,,502,
1730811033144,,681,,
1730811034134,12,,,,
1730811034141,731,,589,
1730811034144,,770,,
1730811035134,12,,,,
1730811035141,812,,667,
1730811035144,,266,,
1730811036134,12,,,,
1730811036141,207,,749,
1730811036144,,355,,
1730811037134,12,,,,
1730811037141,296,,835,
1730811037144,,447,,
1730811038134,12,,,,
1730811038141,383,,162,
1730811038144,,537,,
1730811039134,12,,,,
1730811039141,473,,248,
1730811039144,,628,,
1730811040134,12,,,,
1730811040141,562,,337,
1730811040144,,721,,
1730811041134,12,,,,
1730811041141,653,,422,
1730811041144,,811,,
1730811042134,12,,,,
1730811042141,743,,510,
1730811042144,,904,,
1730811043134,12,,,,
1730811043141,,,595,
1730811043142,829,,,
1730811043144,,246,,
1730811044134,12,,,,
1730811044141,916,,,
1730811044142,,,682,
1730811044144,,338,,
1730811045134,12,,,,
1730811045141,245,,,
1730811045142,,,762,
1730811045144,,422,,
1730811046134,12,,,,
1730811046141,335,,,
1730811046142,,,851,
1730811046144,,514,,
1730811047134,12,,,,
1730811047140,423,,,
1730811047142,,,186,
1730811047144,,603,,
1730811048134,12,,,,
1730811048141,509,,,
1730811048142,,,269,
1730811048144,,694,,
1730811049134,12,,,,
1730811049141,596,,353,
1730811049144,,786,,
1730811050134,12,,,,
1730811050141,683,,438,
1730811050144,,873,,
1730811051134,12,,,,
1730811051141,766,,519,
1730811051144,,217,,
1730811052134,12,,,,
1730811052141,855,,608,
1730811052144,,309,,
1730811053134,12,,,,
1730811053141,192,,690,
1730811053144,,398,,
1730811054134,12,,,,
1730811054141,279,,783,
1730811054144,,493,,
1730811055134,12,,,,
1730811055141,367,,869,
1730811055144,,582,,
1730811056134,14,,,,
1730811056141,455,,198,
1730811056144,,671,,
1730811057134,14,,,,
1730811057141,544,,,
1730811057142,,,286,
1730811057144,,764,,
1730811058134,14,,,,
1730811058141,631,,371,
1730811058144,,855,,
1730811059134,14,,,,
1730811059141,720,,460,
1730811059144,,945,,
1730811060134,14,,,,
1730811060141,804,,543,
1730811060144,,286,,
1730811061134,14,,,,
1730811061141,889,,625,
1730811061144,,374,,
1730811062134,14,,,,
1730811062141,228,,713,
1730811062144,,466,,
1730811063134,14,,,,
1730811063141,317,,799,
1730811063144,,555,,
1730811064134,14,,,,
1730811064141,408,,890,
1730811064144,,651,,
1730811065134,14,,,,
1730811065141,497,,223,
1730811065144,,743,,
1730811066134,14,,,,
1730811066141,587,,311,
1730811066144,,837,,
1730811067134,14,,,,
1730811067141,77,,77,
1730811067144,,83,,
1730811068134,14,,,,
1730811068141,173,,171,
1730811068144,,183,,
1730811069134,14,,,,
1730811069141,275,,270,
1730811069144,,292,,
1730811070134,14,,,,
1730811070141,370,,366,
1730811070144,,398,,
