
===================================
Domain Marker;critical-jOPS;2222.0
Domain Marker;max-jOPS;7519.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
96.0;500.0;2200.0;3100.0;3500.0;4200.0;181000.0
193.0;500.0;2400.0;3600.0;4100.0;5100.0;188000.0
289.0;500.0;2700.0;4200.0;4800.0;5900.0;189000.0
386.0;500.0;3000.0;4900.0;5600.0;7400.0;193000.0
482.0;500.0;3200.0;5500.0;6200.0;7700.0;195000.0
578.0;500.0;3500.0;6200.0;7000.0;9500.0;195000.0
675.0;500.0;3700.0;6800.0;7700.0;11200.0;202000.0
771.0;500.0;3900.0;7400.0;8400.0;11400.0;207000.0
868.0;500.0;4300.0;8200.0;9400.0;15700.0;200000.0
964.0;500.0;4300.0;8600.0;10100.0;21000.0;1200000.0
1060.0;500.0;4400.0;9000.0;10300.0;14600.0;175000.0
1157.0;500.0;4500.0;9600.0;11100.0;17400.0;184000.0
1253.0;400.0;4700.0;10100.0;11800.0;18700.0;179000.0
1350.0;400.0;4700.0;10300.0;11900.0;17200.0;144000.0
1446.0;500.0;4700.0;10600.0;12200.0;16700.0;147000.0
1542.0;400.0;4600.0;10600.0;12500.0;18300.0;1200000.0
1639.0;400.0;4600.0;10800.0;12700.0;16500.0;125000.0
1735.0;500.0;4900.0;11000.0;13000.0;19400.0;1100000.0
1832.0;400.0;4800.0;10800.0;12800.0;18000.0;124000.0
1928.0;500.0;4800.0;10700.0;12700.0;17700.0;121000.0
2024.0;500.0;4700.0;11000.0;13500.0;32000.0;1200000.0
2121.0;500.0;4900.0;10800.0;12800.0;23000.0;132000.0
2217.0;500.0;4800.0;10500.0;12500.0;21000.0;1100000.0
2314.0;400.0;4800.0;10700.0;13300.0;24000.0;1200000.0
2410.0;400.0;4900.0;10700.0;13000.0;76000.0;1100000.0
2506.0;500.0;4800.0;10700.0;13100.0;22000.0;1200000.0
2603.0;400.0;4800.0;10400.0;13200.0;105000.0;1100000.0
2699.0;400.0;4900.0;10500.0;13100.0;82000.0;1100000.0
2796.0;400.0;4900.0;11100.0;15600.0;281000.0;1200000.0
2892.0;400.0;5000.0;11200.0;17100.0;484000.0;1100000.0
2988.0;400.0;4900.0;10600.0;13600.0;32000.0;1200000.0
3085.0;400.0;5000.0;10800.0;13800.0;38000.0;1100000.0
3181.0;400.0;5000.0;10500.0;12900.0;25000.0;133000.0
3278.0;500.0;5400.0;13800.0;81000.0;610000.0;1700000.0
