
===================================
Domain Marker;critical-jOPS;2001.0
Domain Marker;max-jOPS;8098.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
96.0;500.0;2100.0;3100.0;3400.0;4100.0;183000.0
193.0;500.0;2400.0;3700.0;4100.0;5100.0;198000.0
289.0;500.0;2700.0;4300.0;4900.0;6200.0;189000.0
386.0;500.0;3000.0;4900.0;5500.0;6800.0;195000.0
482.0;500.0;3200.0;5500.0;6300.0;8000.0;190000.0
578.0;500.0;3400.0;6200.0;7100.0;9300.0;192000.0
675.0;500.0;3700.0;6800.0;7800.0;10400.0;199000.0
771.0;500.0;3800.0;7300.0;8400.0;12300.0;199000.0
868.0;500.0;4100.0;8000.0;9200.0;14000.0;204000.0
964.0;500.0;4200.0;8600.0;10100.0;21000.0;198000.0
1060.0;500.0;3900.0;8900.0;10400.0;16500.0;191000.0
1157.0;500.0;4500.0;9800.0;11500.0;19900.0;191000.0
1253.0;500.0;4300.0;10000.0;11600.0;18649.000000000524;183000.0
1350.0;500.0;4300.0;10200.0;12100.0;17100.0;1200000.0
1446.0;400.0;4500.0;10700.0;12500.0;17400.0;156000.0
1542.0;400.0;4400.0;10700.0;12700.0;19300.0;158000.0
1639.0;400.0;4500.0;10800.0;13000.0;22000.0;1200000.0
1735.0;400.0;3700.0;10000.0;12200.0;17500.0;151000.0
1832.0;400.0;3900.0;10400.0;12800.0;25000.0;1400000.0
1928.0;500.0;4600.0;11400.0;14800.0;310000.0;392000.0
2024.0;500.0;4500.0;10600.0;12900.0;30000.0;1100000.0
2121.0;400.0;4600.0;10800.0;13400.0;23000.0;1200000.0
2217.0;500.0;4400.0;10100.0;12100.0;17400.0;122000.0
2314.0;400.0;4500.0;10100.0;12200.0;18600.0;122000.0
2410.0;400.0;4700.0;10900.0;13800.0;27000.0;1100000.0
2506.0;300.0;4800.0;11500.0;16200.0;350570.000000007;489000.0
2603.0;400.0;4800.0;10800.0;14100.0;184000.0;1100000.0
2699.0;400.0;4800.0;10600.0;13600.0;138000.0;1100000.0
2796.0;500.0;4600.0;10700.0;14200.0;260489.9999999907;1100000.0
2892.0;400.0;4700.0;10300.0;13000.0;27000.0;1100000.0
2988.0;400.0;5000.0;12200.0;25000.0;430000.0;1200000.0
3085.0;500.0;4900.0;10800.0;14900.0;91000.0;1200000.0
3181.0;400.0;4900.0;11100.0;16300.0;30000.0;1100000.0
3278.0;400.0;5000.0;11000.0;15400.0;49000.0;1100000.0
3374.0;400.0;5100.0;11900.0;24000.0;515000.0;1600000.0
3470.0;500.0;5200.0;13700.0;40000.0;316000.0;1100000.0
3567.0;400.0;5100.0;11400.0;21000.0;392000.0;1100000.0
3663.0;400.0;5100.0;11000.0;15200.0;43000.0;1100000.0
3760.0;400.0;5300.0;13300.0;32000.0;436000.0;1200000.0
3856.0;400.0;5300.0;11900.0;22000.0;86000.0;1100000.0
3952.0;400.0;5300.0;11800.0;19200.0;63000.0;143000.0
4049.0;400.0;5600.0;15500.0;57000.0;389000.0;506000.0
4145.0;400.0;5400.0;12400.0;30000.0;429000.0;650000.0
4242.0;400.0;5700.0;14300.0;40000.0;553000.0;1100000.0
4338.0;400.0;5500.0;12800.0;28000.0;358000.0;1200000.0
4434.0;400.0;5800.0;14700.0;37000.0;169000.0;1200000.0
4531.0;400.0;6000.0;28000.0;191000.0;640000.0;1200000.0
4627.0;400.0;5900.0;15200.0;35000.0;465000.0;1100000.0
4724.0;400.0;6200.0;38000.0;170000.0;461000.0;2200000.0
4820.0;400.0;6300.0;30000.0;147000.0;599000.0;1200000.0
4916.0;400.0;6400.0;28000.0;82000.0;519000.0;1100000.0
5013.0;400.0;6500.0;32000.0;130000.0;572000.0;1200000.0
5109.0;400.0;6600.0;40000.0;118000.0;630000.0;1200000.0
5206.0;400.0;6800.0;48000.0;306000.0;790000.0;1200000.0
5302.0;400.0;6900.0;37000.0;168000.0;710000.0;1100000.0
5398.0;400.0;6900.0;33000.0;77000.0;476000.0;1200000.0
5495.0;400.0;7600.0;65000.0;206000.0;730000.0;1200000.0
5591.0;400.0;7600.0;52000.0;132000.0;363000.0;1200000.0
5688.0;400.0;7800.0;59000.0;198000.0;790000.0;1200000.0
5784.0;400.0;8500.0;163000.0;489000.0;680000.0;2200000.0
5880.0;400.0;8500.0;129000.0;297000.0;489000.0;1200000.0
5977.0;400.0;8500.0;78000.0;226000.0;527000.0;1200000.0
6073.0;400.0;8700.0;98000.0;249000.0;544000.0;1200000.0
6170.0;400.0;9300.0;128000.0;327000.0;900000.0;1200000.0
6266.0;400.0;10000.0;187000.0;310000.0;491000.0;1200000.0
6362.0;400.0;10000.0;206000.0;435000.0;750000.0;1200000.0
6459.0;400.0;10500.0;188000.0;454000.0;770000.0;1300000.0
6555.0;400.0;11700.0;311000.0;543000.0;850000.0;1200000.0
6652.0;300.0;13000.0;428000.0;597750.0;850000.0;2800000.0
6748.0;300.0;14200.0;433000.0;630000.0;970000.0;1300000.0
6844.0;400.0;15500.0;387000.0;562000.0;900000.0;1200000.0
6941.0;300.0;15500.0;298000.0;529000.0;780000.0;1800000.0
7037.0;300.0;18600.0;379000.0;505000.0;790000.0;1400000.0
7134.0;300.0;28000.0;478000.0;720000.0;920000.0;1600000.0
7230.0;400.0;30000.0;314000.0;564000.0;810000.0;1400000.0
7326.0;400.0;73000.0;720000.0;850000.0;950000.0;3900000.0
7423.0;400.0;37000.0;392000.0;527000.0;800000.0;1500000.0
7519.0;300.0;86000.0;588000.0;770000.0;900000.0;1700000.0
7616.0;300.0;72000.0;593000.0;740000.0;950000.0;1800000.0
7712.0;300.0;143000.0;700000.0;820000.0;940000.0;1700000.0
7808.0;300.0;213000.0;630000.0;740000.0;930000.0;1800000.0
7905.0;400.0;508000.0;960000.0;1100000.0;1500000.0;3200000.0
8001.0;400.0;470000.0;860000.0;950000.0;1400000.0;2800000.0
8098.0;500.0;486000.0;840000.0;930000.0;1300000.0;2600000.0
8194.0;2000.0;810000.0;1100000.0;1300000.0;1800000.0;2.0E7
8290.0;29000.0;800000.0;1200000.0;1300000.0;1800000.0;2.0E7
8387.0;2600.0;740000.0;1100000.0;1200000.0;1800000.0;2.2E7
8483.0;62000.0;780000.0;1100000.0;1100000.0;1400000.0;3.1E7
