
===================================
Domain Marker;critical-jOPS;2347.0
Domain Marker;max-jOPS;6601.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
80.0;500.0;2200.0;3200.0;3600.0;4300.0;5900.0
161.0;500.0;2500.0;3700.0;4100.0;5000.0;142000.0
241.0;500.0;2800.0;4300.0;4800.0;5900.0;119000.0
322.0;500.0;3100.0;4900.0;5400.0;6700.0;163000.0
402.0;500.0;3300.0;5400.0;6100.0;7400.0;140000.0
483.0;500.0;3400.0;5800.0;6500.0;8200.0;138000.0
563.0;500.0;3700.0;6400.0;7100.0;8700.0;161000.0
644.0;400.0;3900.0;6800.0;7700.0;9300.0;138000.0
724.0;400.0;4000.0;7400.0;8300.0;10300.0;139000.0
805.0;400.0;4300.0;8000.0;9000.0;11200.0;139000.0
885.0;500.0;4400.0;8300.0;9400.0;11700.0;136000.0
966.0;500.0;4300.0;8800.0;10000.0;12900.0;139000.0
1046.0;500.0;4800.0;9400.0;10700.0;14900.0;156000.0
1127.0;300.0;4700.0;9700.0;11000.0;14100.0;149000.0
1207.0;400.0;4700.0;10000.0;11400.0;14800.0;140000.0
1288.0;400.0;4800.0;10400.0;11900.0;15400.0;177000.0
1368.0;500.0;4700.0;10500.0;12100.0;15400.0;175000.0
1449.0;500.0;4600.0;10500.0;12300.0;16200.0;155000.0
1529.0;400.0;4700.0;10800.0;12600.0;16800.0;150000.0
1610.0;500.0;4700.0;10800.0;12700.0;16700.0;149000.0
1690.0;400.0;4500.0;10600.0;12600.0;18500.0;156000.0
1771.0;400.0;4600.0;10700.0;12700.0;21000.0;161000.0
1851.0;400.0;4700.0;10600.0;12500.0;18600.0;146000.0
1932.0;400.0;4600.0;10500.0;12500.0;17900.0;156000.0
2012.0;400.0;4700.0;10600.0;12700.0;27000.0;296000.0
2093.0;400.0;4600.0;10300.0;12300.0;19900.0;159000.0
2173.0;400.0;4700.0;10500.0;12500.0;26000.0;185000.0
2254.0;400.0;4600.0;10500.0;12600.0;30000.0;180000.0
2334.0;300.0;4600.0;10200.0;12600.0;31000.0;193000.0
2415.0;400.0;4900.0;10600.0;12700.0;30000.0;200000.0
2495.0;300.0;4800.0;10600.0;13100.0;39000.0;221000.0
2576.0;400.0;4700.0;10600.0;13200.0;48000.0;315000.0
2656.0;400.0;4800.0;10700.0;13600.0;51000.0;301000.0
2737.0;400.0;4900.0;10600.0;12900.0;36000.0;311000.0
2817.0;500.0;4800.0;10100.0;12300.0;36000.0;243000.0
2898.0;400.0;4900.0;10600.0;13300.0;56000.0;309000.0
2978.0;400.0;4900.0;10300.0;12700.0;34000.0;203000.0
3059.0;400.0;4900.0;10400.0;13200.0;60000.0;247000.0
3139.0;400.0;4900.0;10300.0;13300.0;57299.99999998836;307000.0
3220.0;400.0;5000.0;10500.0;13200.0;43000.0;257000.0
3300.0;400.0;5000.0;10600.0;13900.0;56000.0;241000.0
3381.0;400.0;5100.0;11000.0;14300.0;49989.99999999069;223000.0
3461.0;400.0;5200.0;11000.0;14500.0;59000.0;390000.0
3542.0;400.0;5200.0;10900.0;14400.0;58000.0;297000.0
3622.0;400.0;5300.0;11600.0;22000.0;98450.00000001164;385000.0
3703.0;400.0;5200.0;10800.0;14500.0;57000.0;266000.0
3783.0;400.0;5300.0;11500.0;18200.0;73000.0;382000.0
3864.0;400.0;5400.0;11800.0;22000.0;91000.0;363000.0
3944.0;400.0;5600.0;12400.0;23000.0;90000.0;650000.0
4025.0;400.0;5600.0;12200.0;21000.0;88000.0;381000.0
4105.0;400.0;5500.0;12000.0;19700.0;74000.0;334000.0
4186.0;400.0;5700.0;13500.0;29000.0;97000.0;501000.0
4266.0;400.0;5700.0;13800.0;30000.0;87000.0;630000.0
4347.0;400.0;5800.0;13900.0;29000.0;79000.0;464000.0
4427.0;400.0;5900.0;14900.0;30000.0;106000.0;419000.0
4508.0;400.0;6000.0;14800.0;33000.0;121000.0;454000.0
4588.0;400.0;6200.0;18800.0;41000.0;115000.0;488000.0
4669.0;400.0;6200.0;16700.0;37000.0;104000.0;486000.0
4749.0;400.0;6400.0;19600.0;39000.0;110000.0;591000.0
4830.0;400.0;6500.0;25000.0;51000.0;117000.0;870000.0
4910.0;400.0;6500.0;22000.0;45000.0;123000.0;563000.0
4991.0;400.0;6900.0;35000.0;63000.0;130000.0;1200000.0
5071.0;300.0;7000.0;35000.0;60000.0;116000.0;840000.0
5152.0;400.0;7000.0;33000.0;60000.0;111000.0;620000.0
5232.0;400.0;7200.0;36000.0;64000.0;126000.0;1100000.0
5313.0;300.0;7600.0;42000.0;72000.0;123000.0;1400000.0
5393.0;400.0;7800.0;51000.0;83000.0;154000.0;1400000.0
5474.0;400.0;7900.0;50000.0;80000.0;144000.0;1500000.0
5554.0;400.0;8500.0;67000.0;98000.0;147000.0;2300000.0
5635.0;400.0;8500.0;58000.0;83000.0;148000.0;1600000.0
5715.0;300.0;8900.0;64000.0;92000.0;146000.0;1700000.0
5796.0;400.0;9300.0;60000.0;86000.0;158000.0;1800000.0
5876.0;400.0;9700.0;89000.0;130000.0;191000.0;2800000.0
5957.0;400.0;10600.0;89000.0;131000.0;188000.0;2800000.0
6037.0;400.0;10300.0;89000.0;120000.0;174000.0;2100000.0
6118.0;400.0;11600.0;103000.0;139000.0;239000.0;3200000.0
6198.0;300.0;12900.0;100000.0;137000.0;246000.0;2900000.0
6279.0;400.0;13800.0;130000.0;172000.0;237000.0;3100000.0
6359.0;400.0;14800.0;133000.0;177000.0;253000.0;3000000.0
6440.0;400.0;24000.0;173000.0;232000.0;343000.0;3900000.0
6520.0;400.0;46000.0;245000.0;310000.0;487000.0;6900000.0
6601.0;700.0;367000.0;700000.0;840000.0;1400000.0;1.9E7
6681.0;18200.0;660000.0;1200000.0;1600000.0;4300000.0;4.3E7
6762.0;100000.0;840000.0;1600000.0;1900000.0;2500000.0;2.8E7
6842.0;91000.0;970000.0;2700000.0;4200000.0;8600000.0;4.6E7
6923.0;72000.0;2200000.0;3700000.0;4600000.0;5000000.0;3.8E7
