Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;2287.0
Domain Marker;max-jOPS;6520.0
Domain Marker;Last Success for SLAs;4669.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
80;89.812758585433
161;93.29812486379844
241;92.91566989692859
322;93.21550852589674
402;94.41683538447593
483;95.0189092919479
563;95.13294585923467
644;95.62987532557477
724;95.8633678983732
805;95.44982759401871
885;95.51834684822995
966;96.42281865424074
1046;95.78412289668555
1127;96.0581135041867
1207;96.09685936431791
1288;96.73035832135822
1368;96.67593721109391
1449;97.2437365773137
1529;96.94760854046817
1610;97.17434680578565
1690;97.12233902888339
1771;96.8257048136147
1851;96.71539535367106
1932;96.78125471928062
2012;97.07794771384876
2093;97.04242709176046
2173;97.04635018371796
2254;96.58913467943157
2334;96.93875388342514
2415;97.28609239697475
2495;97.31299370505381
2576;96.82698504463997
2656;97.4071198950898
2737;97.15919131069943
2817;97.26487432403675
2898;97.50746010559065
2978;97.22212598239778
3059;97.59960988226939
3139;97.6953385199221
3220;97.5353823821931
3300;97.66027916599637
3381;97.38529257988469
3461;97.66247058381231
3542;97.5294679309601
3622;97.27192585088045
3703;97.41465461877
3783;97.33713272099847
3864;97.68277529744245
3944;97.66912405363364
4025;97.47248286504991
4105;98.01532923691337
4186;97.82155604711345
4266;97.9275189688308
4347;98.079200165029
4427;98.01426038258495
4508;97.71063666452633
4588;97.42605770288415
4669;97.28265992343437
4749;98.0004937587015
4830;97.76334638771894
4910;97.58367887809621
4991;97.8170592955982
5071;97.89017715664411
5152;97.93826253566544
5232;97.8261911129899
5313;97.98000501336361
5393;97.60082933888276
5474;97.70371658635388
5554;96.90327566871171
5635;97.19076784389327
5715;96.89596302390639
5796;97.03075010696622
5876;96.99198796795235
5957;96.74383132153966
6037;96.30022068179704
6118;95.76931225254425
6198;95.6308074436172
6279;95.60150139388676
6359;94.87288629626153
6440;94.16550816312164
6520;91.1104115107215
6601;36.17895806670334
6681;36.59496773628203
6762;19.232245589901233
6842;13.450960315735095
