
===================================
Domain Marker;critical-jOPS;2180.0
Domain Marker;max-jOPS;7519.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
96.0;300.0;1200.0;3000.0;3400.0;4300.0;12000.0
193.0;500.0;2500.0;4000.0;4500.0;5600.0;186000.0
289.0;500.0;2800.0;4600.0;5200.0;6500.0;111000.0
386.0;400.0;3000.0;5200.0;5900.0;7200.0;165000.0
482.0;500.0;3300.0;5900.0;6600.0;8200.0;159000.0
578.0;500.0;3400.0;6400.0;7300.0;8900.0;159000.0
675.0;500.0;3600.0;6900.0;7800.0;9700.0;168000.0
771.0;500.0;3800.0;7400.0;8500.0;10500.0;159000.0
868.0;500.0;3700.0;7900.0;9000.0;11200.0;158000.0
964.0;500.0;3900.0;8400.0;9500.0;11700.0;167000.0
1060.0;400.0;3800.0;8800.0;10100.0;12743.00000000003;163000.0
1157.0;400.0;4100.0;9400.0;10800.0;13900.0;156000.0
1253.0;400.0;4100.0;9800.0;11400.0;15100.0;167000.0
1350.0;400.0;4500.0;10400.0;12000.0;16000.0;238000.0
1446.0;500.0;4200.0;10400.0;12400.0;19978.99999999936;164000.0
1542.0;400.0;4300.0;10500.0;12300.0;16000.0;159000.0
1639.0;400.0;4100.0;10300.0;12200.0;16500.0;169000.0
1735.0;400.0;4000.0;10100.0;12300.0;23000.0;179000.0
1832.0;400.0;4100.0;10300.0;12300.0;17466.00000000035;163000.0
1928.0;300.0;3900.0;9700.0;11800.0;16700.0;158000.0
2024.0;500.0;4200.0;10300.0;12600.0;39000.0;267000.0
2121.0;400.0;4300.0;10300.0;12600.0;37000.0;196000.0
2217.0;400.0;4300.0;10100.0;12500.0;36000.0;183000.0
2314.0;500.0;4200.0;9800.0;12100.0;27000.0;247000.0
2410.0;400.0;4400.0;10000.0;12200.0;28000.0;184000.0
2506.0;400.0;4400.0;9900.0;12200.0;30000.0;171000.0
2603.0;400.0;4500.0;10100.0;12700.0;47000.0;237000.0
2699.0;400.0;4400.0;9700.0;12300.0;43000.0;205000.0
2796.0;400.0;4600.0;10000.0;12800.0;56000.0;250000.0
2892.0;400.0;4600.0;10100.0;12900.0;60000.0;249000.0
