Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;2537.0
Domain Marker;max-jOPS;7905.0
Domain Marker;Last Success for SLAs;4916.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
96;89.13734936760379
193;92.29111483185766
289;94.11545587099792
386;93.33263918675733
482;94.69963231216053
578;95.10701346390928
675;95.32367495206036
771;95.24937447655238
868;95.4673930068146
964;95.52842248366231
1060;95.72491469100744
1157;96.21601805031226
1253;96.10697795254976
1350;95.95752974808528
1446;96.56261662430789
1542;96.64993869621235
1639;95.88151562278516
1735;96.2290897315971
1832;96.07916474086586
1928;96.78191444325691
2024;96.28946127795324
2121;96.92314681692551
2217;96.11007952868158
2314;96.64742920455309
2410;96.77883057104636
2506;96.55847658538464
2603;96.90632297285761
2699;96.99124472134788
2796;96.96666604448285
2892;97.01707910524799
2988;96.91666891701914
3085;96.852617193678
3181;97.0694808445383
3278;96.90356147845468
3374;97.11370900551275
3470;97.23113498582077
3567;97.26155143037242
3663;96.72364606655029
3760;97.11571051128801
3856;96.93677263435778
3952;97.23773405371622
4049;97.19943470671906
4145;97.30760788527103
4242;96.94645324655946
4338;97.14013561906954
4434;96.70877767048084
4531;97.27783285085194
4627;97.34491535053012
4724;97.79256769857886
4820;96.90421830133296
4916;96.98771308900227
5013;97.03242849715514
5109;96.97005108886538
5206;97.12781793446317
5302;97.3597610192928
5398;96.88824178112856
5495;96.92016556342314
5591;97.38635846652326
5688;96.10736244663903
5784;96.07736108075225
5880;96.33265001969471
5977;95.73753919048934
6073;93.89641677053686
6170;95.46514392232241
6266;94.7499764002766
6362;93.22222181610869
6459;93.76140480359295
6555;91.20120244738108
6652;90.19918056699511
6748;87.35560333687421
6844;86.53938370941877
6941;84.4840429980366
7037;81.18057873481872
7134;81.9479603239831
7230;78.7835230448622
7326;75.43772493562368
7423;74.47041092388643
7519;68.8085229406114
7616;68.69518818979414
7712;51.46985821997389
7808;34.30925087926921
7905;22.570968503044885
8001;20.192880510651634
8098;7.149177800107726
8194;6.359251313463216
8290;12.455995647738654
