"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",8,30,346.025697,18.545995,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",8,30,656.778392,23.912764,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",8,15,719.529766,6.880762,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",8,15,48.405056,1.431448,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",8,15,2326.394048,15.325792,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",8,15,9579.228982,40.488426,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",8,30,1695.698109,927.530528,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",8,15,257.895278,2.440466,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",8,15,62.891342,1.152608,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",8,15,690.664303,2.788174,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,12.988188,0.062914,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",8,15,1000.191092,19.558144,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",8,15,4306.706096,284.838088,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",8,15,58.844910,0.031396,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",8,15,433.418022,0.710052,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",8,15,35.427404,6.763516,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",8,15,374.673639,13.278948,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",8,30,10658.373645,126.386968,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",8,15,142.624581,1.392472,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",8,30,568.620323,12.946166,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",8,30,1232.197306,5.626017,"ops/min"
