"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",8,30,252.057818,11.985321,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",8,30,679.770367,19.586402,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",8,15,704.287448,4.528643,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",8,15,47.400397,0.499480,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",8,15,2307.468057,18.013905,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",8,15,12525.000737,78.184784,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",8,30,677.898240,9.113014,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",8,15,258.060493,2.098592,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",8,15,62.420316,0.308242,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",8,15,629.690179,9.936325,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,12.698279,0.377254,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",8,15,889.274298,16.074382,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",8,15,4429.597635,78.155522,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",8,15,56.894417,0.563189,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",8,15,472.036274,1.273735,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",8,15,32.950314,0.315848,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",8,15,291.764397,21.357465,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",8,30,10464.811245,239.665661,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",8,15,147.016453,2.338334,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",8,30,513.667973,15.447107,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",8,30,1042.739032,7.630057,"ops/min"
