MemTotal:       32755048 kB
MemFree:        27082160 kB
MemAvailable:   31359300 kB
Buffers:           57072 kB
Cached:          4579548 kB
SwapCached:            0 kB
Active:          2752168 kB
Inactive:        2571248 kB
Active(anon):       1628 kB
Inactive(anon):   734124 kB
Active(file):    2750540 kB
Inactive(file):  1837124 kB
Unevictable:       41984 kB
Mlocked:            5540 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1372 kB
Writeback:             0 kB
AnonPages:        726508 kB
Mapped:           254656 kB
Shmem:             44248 kB
KReclaimable:     104620 kB
Slab:             193196 kB
SReclaimable:     104620 kB
SUnreclaim:        88576 kB
KernelStack:        6416 kB
PageTables:        20376 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16377524 kB
Committed_AS:    6674640 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       22844 kB
VmallocChunk:          0 kB
Percpu:             6048 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      164856 kB
DirectMap2M:     4964352 kB
DirectMap1G:    29360128 kB
