Timestamp,Slave 0,Slave 1,Slave 2,
1674569936063,0,,,,
1674569936066,0.013358058838320343,,,,
1674569936069,0,,,
1674569936070,,0,0,
1674569936073,0.11171772318269134,,,
1674569936075,,0.12721071248105104,0.12367357251136937,
1674569937064,0.00501002004008016,,,,
1674569937070,0.3146940822467402,,,
1674569937071,,0.32505020080321284,0.28112449799196787,
1674569938064,0.0,,,,
1674569938070,0.32157157157157157,,,
1674569938071,,0.3375,0.3,
1674569939064,0.00125,,,,
1674569939070,0.34590409590409593,,,
1674569939072,,,0.3309190809190809,
1674569939073,,0.29191616766467066,,
1674569940064,0.0,,,,
1674569940070,0.30655655655655656,,,
1674569940071,,0.23773773773773774,0.32157157157157157,
1674569941064,0.0,,,,
1674569941070,0.27847152847152845,,,
1674569941071,,0.31906906906906907,0.22875,
1674569942064,0.01125,,,,
1674569942070,0.3125,,,
1674569942071,,0.295,,
1674569942073,,,0.27944111776447106,
1674569943064,0.0025,,,,
1674569943070,0.285,,,
1674569943071,,0.32375,,
1674569943072,,,0.3228228228228228,
1674569944064,0.0,,,,
1674569944070,0.23648648648648649,,,
1674569944071,,0.30625,0.2877877877877878,
1674569945064,0.00125,,,,
1674569945070,0.32,,,
1674569945071,,0.235,0.25875,
1674569946064,0.0,,,,
1674569946070,0.29,,,
1674569946071,,0.2525,0.25625,
1674569947064,0.00125,,,,
1674569947070,0.2647352647352647,,,
1674569947071,,0.27625,0.2475,
1674569948064,0.0,,,,
1674569948070,0.2727727727727728,,,
1674569948071,,0.26875,0.255,
1674569949064,0.00125,,,,
1674569949070,0.2625,,,
1674569949071,,0.2575,0.2525,
1674569950064,0.0,,,,
1674569950070,0.26625,,,
1674569950071,,0.29,0.22875,
1674569951064,0.0,,,,
1674569951070,0.26723276723276723,,,
1674569951071,,,0.25375,
1674569951072,,0.2682135728542914,,
1674569952064,0.0012512512512512512,,,,
1674569952070,0.2675,,,
1674569952071,,0.26427855711422843,0.255,
1674569953064,0.0012487512487512488,,,,
1674569953070,0.2652652652652653,,,
