Timestamp,Slave 0,Slave 1,Slave 2,
1674575620509,0,,,,
1674575620516,0,0,0,
1674575620525,61,,,,
1674575620530,,157,,
1674575620533,,,157,
1674575620535,157,,,
1674575621510,61,,,,
1674575621518,157,157,,
1674575621520,,,157,
1674575622514,61,,,,
1674575622517,157,,,
1674575622518,,157,,
1674575622558,,,157,
1674575623511,61,,,,
1674575623517,157,,,
1674575623519,,157,157,
1674575624511,61,,,,
1674575624517,157,157,,
1674575624520,,,157,
1674575625511,61,,,,
1674575625517,157,,,
1674575625518,,157,,
1674575625520,,,157,
1674575626510,61,,,,
1674575626517,157,,,
1674575626518,,157,,
1674575626519,,,157,
1674575627512,61,,,,
1674575627518,157,157,,
1674575627519,,,157,
1674575628510,61,,,,
1674575628517,157,157,,
1674575628518,,,157,
1674575629510,61,,,,
1674575629517,157,157,,
1674575629519,,,157,
1674575630514,61,,,,
1674575630518,,157,,
1674575630520,157,,,
1674575630526,,,157,
1674575631510,61,,,,
1674575631517,157,157,157,
1674575632510,61,,,,
1674575632517,157,157,,
1674575632518,,,157,
1674575633510,61,,,,
1674575633517,157,157,,
1674575633518,,,157,
1674575634510,61,,,,
1674575634517,157,157,157,
1674575635512,61,,,,
1674575635519,157,157,,
1674575635520,,,157,
1674575636510,61,,,,
1674575636517,157,157,,
1674575636518,,,157,
1674575637510,61,,,,
1674575637517,157,157,,
1674575637518,,,157,
1674575638510,61,,,,
1674575638517,157,157,157,
1674575639510,61,,,,
1674575639517,157,157,,
1674575639518,,,157,
1674575640513,61,,,,
1674575640517,157,157,,
1674575640518,,,157,
1674575641510,61,,,,
1674575641517,157,157,,
1674575641518,,,157,
1674575642510,61,,,,
1674575642517,157,,,
1674575642518,,157,157,
1674575643510,61,,,,
1674575643517,157,157,,
1674575643518,,,157,
1674575644510,61,,,,
1674575644517,157,157,157,
1674575645510,61,,,,
1674575645517,157,157,,
1674575645518,,,157,
1674575646510,61,,,,
1674575646517,157,157,,
1674575646518,,,157,
1674575647510,61,,,,
1674575647517,157,157,,
1674575647518,,,157,
1674575648516,61,,,,
1674575648517,157,,,
1674575648518,,157,157,
1674575649510,61,,,,
1674575649517,157,157,,
1674575649518,,,157,
1674575650510,61,,,,
1674575650517,157,157,,
1674575650518,,,157,
1674575651510,61,,,,
1674575651517,157,157,157,
1674575652510,61,,,,
1674575652517,157,157,157,
1674575653510,61,,,,
1674575653517,157,157,157,
1674575654510,61,,,,
1674575654517,157,157,157,
1674575655510,61,,,,
1674575655517,157,157,157,
1674575656510,61,,,,
1674575656517,157,157,157,
1674575657510,61,,,,
1674575657517,,157,,
1674575657518,157,,,
1674575657527,,,157,
1674575658510,61,,,,
1674575658517,157,157,157,
1674575659510,61,,,,
1674575659517,157,157,157,
1674575660510,61,,,,
1674575660517,157,157,157,
1674575661510,61,,,,
1674575661517,157,157,157,
1674575662510,61,,,,
1674575662517,157,157,157,
1674575663510,61,,,,
1674575663517,157,157,157,
1674575664510,61,,,,
1674575664517,157,157,157,
1674575665510,61,,,,
1674575665517,157,157,157,
1674575666510,61,,,,
1674575666517,157,157,157,
1674575667510,61,,,,
1674575667517,157,157,157,
1674575668510,61,,,,
1674575668517,157,157,,
1674575668518,,,157,
1674575669510,61,,,,
1674575669517,157,157,,
1674575669519,,,157,
1674575670510,61,,,,
1674575670517,157,157,157,
1674575671510,61,,,,
1674575671517,,157,157,
1674575671518,157,,,
1674575672510,61,,,,
1674575672517,157,157,,
1674575672518,,,157,
1674575673510,61,,,,
1674575673517,157,157,157,
1674575674510,61,,,,
1674575674517,157,157,157,
1674575675510,61,,,,
1674575675517,157,157,157,
1674575676510,61,,,,
1674575676517,157,157,,
1674575676518,,,157,
1674575677510,61,,,,
1674575677517,157,157,157,
1674575678510,61,,,,
1674575678517,157,157,157,
1674575679510,61,,,,
1674575679517,157,157,157,
1674575680510,61,,,,
1674575680517,157,157,157,
1674575681510,61,,,,
1674575681517,157,157,157,
1674575682510,61,,,,
1674575682517,157,157,157,
1674575683510,61,,,,
1674575683517,157,157,157,
1674575684510,61,,,,
1674575684517,157,157,157,
1674575685510,61,,,,
1674575685517,157,157,157,
1674575686510,61,,,,
1674575686517,157,157,157,
1674575687510,61,,,,
1674575687517,157,,157,
1674575687518,,157,,
1674575688510,61,,,,
1674575688517,157,157,157,
1674575689510,61,,,,
1674575689517,157,157,157,
1674575690510,61,,,,
1674575690517,157,157,157,
1674575691510,61,,,,
1674575691517,157,157,157,
1674575692510,61,,,,
1674575692517,157,157,157,
1674575693510,61,,,,
1674575693517,157,157,157,
1674575694510,61,,,,
1674575694517,157,157,157,
1674575695510,61,,,,
1674575695517,157,157,157,
1674575696510,61,,,,
1674575696517,157,157,157,
1674575697510,61,,,,
1674575697517,157,157,157,
1674575698510,61,,,,
1674575698516,,157,,
1674575698517,157,,157,
1674575699510,61,,,,
1674575699517,157,157,157,
1674575700510,61,,,,
1674575700517,157,157,157,
1674575701510,61,,,,
1674575701517,157,157,157,
1674575702510,61,,,,
1674575702517,157,157,157,
1674575703510,61,,,,
1674575703517,157,157,157,
1674575704510,61,,,,
1674575704517,157,157,157,
1674575705510,61,,,,
1674575705517,157,157,157,
1674575706510,61,,,,
1674575706516,157,,,
1674575706517,,157,157,
1674575707510,61,,,,
1674575707517,157,157,157,
1674575708510,61,,,,
1674575708517,157,157,157,
1674575709510,61,,,,
1674575709517,157,157,157,
1674575710510,61,,,,
1674575710517,157,157,157,
1674575711510,61,,,,
1674575711517,157,157,157,
1674575712510,61,,,,
1674575712517,157,157,,
1674575712518,,,157,
1674575713510,61,,,,
1674575713517,157,157,,
1674575713518,,,157,
1674575714510,61,,,,
1674575714517,157,157,157,
1674575715510,61,,,,
1674575715517,157,157,157,
1674575716510,61,,,,
1674575716517,157,157,157,
1674575717510,61,,,,
1674575717517,157,157,,
1674575717518,,,157,
1674575718510,61,,,,
1674575718517,157,157,157,
1674575719510,61,,,,
1674575719517,157,157,157,
1674575720510,61,,,,
1674575720517,157,157,157,
1674575721510,61,,,,
1674575721517,157,157,157,
1674575722510,61,,,,
1674575722517,157,157,157,
1674575723510,61,,,,
1674575723517,157,157,157,
1674575724510,61,,,,
1674575724517,157,157,157,
1674575725510,61,,,,
