Timestamp,Slave 0,Slave 1,Slave 2,
1674601126586,0,,,,
1674601126591,0.019562630169592383,,,,
1674601126593,0,,,
1674601126594,,0,0,
1674601126598,0.1416267718013705,,,
1674601126601,,,0.1365516593024349,
1674601126603,,0.1371134505122662,,
1674601127587,0.015060240963855422,,,,
1674601127594,0.3376004016064257,,,
1674601127595,,0.29485887096774194,,
1674601127596,,,0.29994979919678716,
1674601128587,0.00125,,,,
1674601128594,0.3125,,0.3532064128256513,
1674601128595,,0.3075,,
1674601129587,0.00125,,,,
1674601129594,0.36625,,0.3175,
1674601129597,,0.29191616766467066,,
1674601130587,0.0,,,,
1674601130594,0.3275,,,
1674601130595,,0.3344188376753507,0.30594405594405594,
1674601131587,0.00125,,,,
1674601131594,0.315,,0.3415915915915916,
1674601131596,,0.31718281718281716,,
1674601132587,0.00125,,,,
1674601132594,0.3075,,0.33875,
1674601132596,,0.32125,,
1674601133587,0.0,,,,
1674601133594,0.345,,0.2775,
1674601133595,,0.27152152152152154,,
1674601134588,0.00375,,,,
1674601134594,0.35125,,0.24,
1674601134599,,0.23032868525896413,,
1674601135587,0.00125,,,,
1674601135593,0.34375,,,
1674601135594,,,0.32375,
1674601135595,,0.29994979919678716,,
1674601136587,0.00125,,,,
1674601136593,0.2975,,,
1674601136594,,,0.33625,
1674601136595,,0.3,,
1674601137587,0.00125,,,,
1674601137594,0.31625,,,
1674601137595,,0.2675,0.2647352647352647,
1674601138587,0.0,,,,
1674601138594,0.245,,0.30405405405405406,
1674601138595,,0.265,,
1674601139587,0.0012512512512512512,,,,
1674601139595,,0.28625,,
1674601139599,,,0.2801294820717131,
1674601139614,0.24363369245837413,,,
1674601140587,0.0,,,,
1674601140593,0.24642492339121552,,,
1674601140594,,,0.23092369477911648,
1674601140595,,0.305,,
1674601141587,0.0025,,,,
1674601141594,0.27625,,0.26,
1674601141595,,0.24625,,
1674601142587,0.00125,,,,
1674601142594,0.28125,,0.255,
1674601142595,,0.25625,,
1674601143587,0.0012512512512512512,,,,
1674601143594,0.26,,0.27,
1674601143595,,0.2675,,
1674601144587,0.0,,,,
1674601144594,0.2825,,,
1674601144595,,0.25625,,
1674601144597,,,0.259222333000997,
1674601145587,0.0,,,,
1674601145594,0.25375,,0.2795887662988967,
1674601145595,,0.2675,,
1674601146587,0.00125,,,,
1674601146593,0.26125,,,
1674601146594,,,0.275,
1674601146595,,0.26375,,
1674601147587,0.0,,,,
1674601147594,0.28125,,0.265,
1674601147595,,0.25125,,
1674601148587,0.0012487512487512488,,,,
1674601148593,0.27125,,,
1674601148594,,,0.25875,
1674601148595,,0.2725,,
1674601149587,0.0,,,,
1674601149593,0.2675,,,
1674601149594,,,0.27625,
1674601149595,,0.25875,,
1674601150587,0.0012512512512512512,,,,
1674601150593,0.26125,,,
1674601150594,,,0.26375,
1674601150595,,0.27125,,
1674601151587,0.0,,,,
1674601151593,0.27625,,,
1674601151594,,,0.26125,
1674601151595,,0.26625,,
1674601152587,0.0012512512512512512,,,,
1674601152593,0.26,,,
1674601152594,,,0.26125,
1674601152595,,0.27875,,
1674601153587,0.0,,,,
1674601153593,0.26,,,
1674601153594,,,0.2825,
1674601153595,,0.2575,,
1674601154587,0.0012487512487512488,,,,
1674601154593,0.2675,,,
1674601154594,,,0.27125,
1674601154595,,0.26625,,
1674601155587,0.0,,,,
1674601155593,0.28125,,,
1674601155594,,,0.26375,
1674601155595,,0.26125,,
1674601156587,0.0012487512487512488,,,,
1674601156593,0.2575,,,
1674601156594,,,0.28,
1674601156595,,0.2725,,
1674601157587,0.0,,,,
1674601157593,0.27125,,,
1674601157594,,,0.26875,
