Timestamp,Slave 0,Slave 1,Slave 2,
1707687751116,119684,,,,
1707687751118,326160,,,
1707687751125,,,357132,
1707687751157,,365364,,
1707687752099,363700,,,
1707687752110,119752,,,,
1707687752115,,,386236,
1707687752118,,403916,,
1707687753107,120012,,,,
1707687753115,414084,,,
1707687753123,,,434316,
1707687753126,,460868,,
1707687754112,116456,,,,
1707687754115,,487008,,
1707687754119,469584,,443744,
1707687755104,470596,,,
1707687755114,,,451236,
1707687755117,116548,,517112,,
1707687756099,,558244,,
1707687756108,475092,,,
1707687756111,116812,,,,
1707687756118,,,462184,
1707687757098,526620,,,
1707687757099,,,569940,
1707687757101,116812,,,,
1707687757103,,658336,,
1707687758093,116812,,,,
1707687758096,,861516,,
1707687758098,604808,,,
1707687758101,,,631160,
1707687759110,117980,,,,
1707687759118,,,643396,
1707687759121,,878704,,
1707687759123,636604,,,
1707687760101,648536,,,
1707687760107,,,681116,
1707687760109,118028,,882596,,
1707687761091,118080,,,,
1707687761095,713908,,,
1707687761097,,,776132,
1707687761098,,891276,,
1707687762088,118344,,,,
1707687762093,717520,,903996,
1707687762097,,931568,,
1707687763093,118344,,,,
1707687763102,,,1066032,
1707687763103,751852,,,
1707687763106,,951296,,
1707687764089,118344,,,,
1707687764092,752376,,,
1707687764095,,,1252252,
1707687764096,,951556,,
1707687765094,118608,,,,
1707687765096,,,1256088,
1707687765098,833692,,,
1707687765103,,941572,,
1707687766093,118708,,,,
1707687766097,997364,,,
1707687766099,,,1257524,
1707687766101,,942696,,
1707687767088,118972,,,,
1707687767095,997428,943168,1309868,
1707687768089,118972,,,,
1707687768092,,951420,,
1707687768095,1000684,,1310392,
1707687769088,118972,,,,
1707687769093,1090740,951684,,
1707687769096,,,1329744,
1707687770087,118972,,,,
1707687770096,1205316,998676,,
1707687770099,,,1303332,
1707687771092,119328,,,,
1707687771097,1206512,,,
1707687771099,,,1309964,
1707687771103,,998800,,
1707687772094,119328,,,1311020,
1707687772099,1206512,998800,,
1707687773092,119328,,,,
1707687773095,,,1311900,
1707687773100,,1034440,,
1707687773107,1208888,,,
1707687774088,119592,,,,
1707687774094,,1221484,1311900,
1707687774098,1291592,,,
1707687775088,119652,,,,
1707687775094,,1278772,,
1707687775095,1291600,,,
1707687775097,,,1312232,
1707687776091,119652,,,,
1707687776095,1291600,,,
1707687776097,,1278772,1312760,
1707687777087,119916,,,,
1707687777097,,,1321424,
1707687777099,1292128,,,
1707687777105,,1278772,,
1707687778089,119916,,,,
1707687778095,,1289860,,
1707687778099,,,1321540,
1707687778103,1305856,,,
1707687779086,119916,,,,
1707687779095,1306000,,1321540,
1707687779096,,1289944,,
1707687780087,120180,,,,
1707687780093,,,1330516,
1707687780096,,1290060,,
1707687780097,1306000,,,
1707687781089,120288,,,,
1707687781093,1306000,,,
1707687781094,,,1330588,
1707687781097,,1290060,,
1707687782088,120288,,,,
1707687782094,1312928,,,
1707687782095,,,1330588,
1707687782100,,1298772,,
1707687783092,120552,,1298772,,
1707687783093,1312928,,1330588,
1707687784089,120552,,,,
1707687784095,1313016,,,
1707687784096,,,1337804,
1707687784097,,1298836,,
1707687785087,120552,,,,
1707687785096,1321464,,1337804,
1707687785097,,1298836,,
1707687786086,120552,,,,
1707687786094,,1304976,,
1707687786095,1321464,,1337804,
1707687787087,120912,,,,
1707687787094,1321464,,,
1707687787096,,1304976,,
1707687787100,,,1337804,
1707687788087,120912,,,,
1707687788094,,1304976,,
1707687788095,1321464,,,
1707687788096,,,1345988,
1707687789086,120912,,,,
1707687789094,1328152,,,
1707687789095,,1304976,,
1707687789096,,,1346064,
1707687790091,121176,,,,
1707687790096,,,1348060,
1707687790099,1328152,1312208,,
1707687791090,121176,,,,
1707687791091,,1312208,,
1707687791095,1328152,,,
1707687791100,,,1348324,
1707687792087,121176,,,,
1707687792097,,,1356212,
1707687792098,,1312208,,
1707687792100,1328152,,,
1707687793087,121440,,,,
1707687793093,,,1356272,
1707687793095,1334488,,,
1707687793098,,1312208,,
1707687794091,121440,,,,
1707687794094,1334488,,,
1707687794095,,1318808,,
1707687794096,,,1356272,
1707687795089,121528,,,,
1707687795094,,1318808,,
1707687795095,,,1364192,
1707687795100,1334488,,,
1707687796089,121792,,,,
1707687796093,1334488,1318808,,
1707687796094,,,1364192,
1707687797089,121792,,,,
1707687797094,,,1364192,
1707687797096,1341352,,,
1707687797099,,1318808,,
1707687798089,121792,,,,
1707687798096,,1324880,1364192,
1707687798097,1341352,,,
1707687799088,122056,,,,
1707687799093,,1324880,,
1707687799095,1341352,,1371848,
1707687800087,122056,,,,
1707687800094,1341352,,,
1707687800096,,1324880,1371848,
1707687801088,122056,,,,
1707687801096,,1324880,1371848,
1707687801097,1348480,,,
1707687802091,122152,,,,
1707687802100,1348576,1331828,,
1707687802101,,,1371904,
1707687803089,122440,,,,
1707687803094,1348576,,,
1707687803097,,1331828,,
1707687803099,,,1379560,
1707687804088,122440,,,,
1707687804095,1348576,,,
1707687804096,,1331828,,
1707687804097,,,1379560,
1707687805088,122440,,,,
1707687805095,,,1379560,
1707687805096,1355176,1331828,,
1707687806088,122772,,,,
1707687806096,1355176,,,
1707687806097,,1338428,,
1707687806098,,,1379560,
1707687807087,122772,,,,
1707687807094,1355176,,,
1707687807097,,1338428,1386688,
1707687808091,122772,,,,
1707687808093,1362040,,,
1707687808094,,1338428,,
1707687808097,,,1386688,
1707687809087,123036,,,,
1707687809096,1361936,1344236,,
1707687809097,,,1386688,
1707687810087,123036,,,,
1707687810094,1361936,,,
1707687810095,,,1395136,
1707687810098,,1345232,,
1707687811087,123036,,,,
1707687811097,1361936,1345232,,
1707687811100,,,1396436,
1707687812090,123300,,,,
1707687812095,1368800,,,
1707687812099,,1346128,1396668,
1707687813088,123300,,,,
1707687813094,1369084,,1397028,
1707687813101,,1352992,,
1707687814087,123300,,,,
1707687814096,1369304,,,
1707687814098,,1353112,1404652,
1707687815092,123564,,,,
1707687815093,1369304,,,
1707687815094,,1353236,,
1707687815099,,,1404932,
1707687816090,123564,,,,
1707687816094,,,1404932,
1707687816095,1376168,1353236,,
1707687817089,123644,,,,
1707687817094,,,1404932,
1707687817097,1376364,1359532,,
1707687818087,123644,,,,
1707687818097,1376700,1359688,,
1707687818098,,,1412588,
1707687819093,124780,,,,
1707687819095,1384120,,,
1707687819099,,1368700,1418352,
1707687820096,124780,,,,
1707687820101,,1368736,,
1707687820103,,,1418488,
1707687820104,1384132,,,
1707687821100,133988,,,,
1707687821102,1387176,,,
1707687821107,,1371936,,
1707687821110,,,1421212,
1707687822086,134252,,,,
1707687822093,1387836,,,
1707687822094,,,1421600,
1707687822096,,1377572,,
1707687823088,134568,,,,
1707687823095,1407140,1394204,,
1707687823096,,,1425032,
1707687824087,134568,,,,
1707687824096,1407204,,,
1707687824097,,1394204,1425032,
1707687825088,134832,,,,
1707687825095,1407204,,,
1707687825098,,,1425032,
1707687825100,,1394204,,
1707687826089,134832,,,,
1707687826099,,,1425032,
1707687826102,1407204,,,
1707687826103,,1390052,,
1707687827087,134832,,,,
1707687827095,1407204,1390052,1425032,
1707687828087,135180,,,,
1707687828096,1407204,1390164,1425032,
1707687829087,135180,,,,
1707687829095,,1390228,1425032,
1707687829097,1407204,,,
1707687830091,135180,,,,
1707687830092,1407280,,,
1707687830093,,1390228,,
1707687830100,,,1425112,
1707687831088,135444,,,,
1707687831094,1407280,,1425112,
1707687831095,,1390228,,
1707687832087,135444,,,,
1707687832094,1407280,,,
1707687832095,,1390228,,
1707687832099,,,1425112,
1707687833090,135444,,,,
1707687833097,,1390228,,
1707687833098,1407280,,1425112,
1707687834089,135444,,,,
1707687834092,1407280,,,
1707687834094,,1390228,,
1707687834095,,,1425112,
1707687835087,135708,,,,
1707687835092,,,1425112,
1707687835094,1407808,,,
1707687835096,,1390228,,
1707687836093,135788,,,,
1707687836095,,1390312,1425184,
1707687836101,1407884,,,
1707687837089,135788,,,,
1707687837093,1407884,,,
1707687837095,,,1425184,
1707687837096,,1390312,,
1707687838086,136052,,,,
1707687838095,1407884,,,
1707687838096,,,1425184,
1707687838097,,1390312,,
1707687839090,136052,,,,
1707687839093,1407884,,,
1707687839096,,,1425184,
1707687839098,,1390576,,
1707687840088,136052,,,,
1707687840092,,1390576,,
1707687840096,1407884,,1425184,
1707687841088,136316,,,,
1707687841095,1407884,,,
1707687841098,,,1425184,
1707687841102,,1390576,,
1707687842092,142388,,1390576,,
1707687842093,,,1425184,
1707687842096,1407952,,,
1707687843089,142388,,,,
1707687843096,,1390576,,
1707687843099,,,1425184,
1707687843100,1407952,,,
1707687844091,142652,,,,
1707687844093,1407952,1390576,1425184,
1707687845086,142652,,,,
1707687845094,,,1425332,
1707687845095,,1390576,,
1707687845098,1407952,,,
1707687846087,142916,,,,
1707687846093,1407952,,,
1707687846094,,,1425332,
1707687846096,,1390576,,
1707687847088,143180,,,,
1707687847094,1407952,1390576,,
1707687847098,,,1425332,
1707687848088,143180,,,,
1707687848094,1407952,1390576,,
1707687848101,,,1425332,
1707687849088,143180,,,,
1707687849095,1407952,1390576,,
1707687849096,,,1426388,
1707687850087,143180,,,,
1707687850094,1409800,,,
1707687850096,,,1426388,
1707687850098,,1392688,,
1707687851088,143444,,,,
1707687851093,,1392688,,
1707687851094,1409800,,,
1707687851096,,,1426388,
1707687852088,143524,,,,
1707687852095,1409800,,1426464,
1707687852096,,1392688,,
1707687853093,143524,,,,
1707687853094,1409800,,1428312,
1707687853097,,1392688,,
1707687854094,143788,,,,
1707687854095,,,1428312,
1707687854096,,1393216,,
1707687854104,1410064,,,
1707687855088,143788,,,,
1707687855095,1410152,,,
1707687855096,,,1428312,
1707687855101,,1393308,,
1707687856087,143788,,,,
1707687856096,1410152,1393308,,
1707687856099,,,1428312,
1707687857087,144052,,,,
1707687857096,1410152,,,
1707687857099,,1393308,1428576,
1707687858087,144052,,,,
1707687858095,,1393836,1428576,
1707687858096,1410152,,,
1707687859087,144052,,,,
1707687859095,,1393836,,
1707687859096,1410152,,,
1707687859103,,,1428576,
1707687860087,144316,,,,
1707687860096,1410152,,,
