Timestamp,Slave 0,Slave 1,Slave 2,
1674587790882,0,,,,
1674587790890,0,0,0,
1674587790896,1.4860607501634667E-5,,,,
1674587790904,0.002817695125387433,,,
1674587790905,,0.00199343339587242,,
1674587790906,,,0.0018053080746506611,
1674587791884,0.0,,,,
1674587791892,0.0034159919028340082,0.0,,
1674587791895,,,0.0,
1674587792883,0.0,,,,
1674587792891,0.0,,0.0,
1674587792892,,0.0,,
1674587793884,0.0,,,,
1674587793891,0.0,,0.0,
1674587793892,,0.0,,
1674587794884,0.0,,,,
1674587794891,0.0,,0.0,
1674587794892,,0.0,,
1674587795884,0.0,,,,
1674587795891,,,0.0,
1674587795892,0.0,,,
1674587795896,,0.0,,
1674587796883,0.0,,,,
1674587796891,0.0015015015015015015,,0.0,
1674587796892,,0.0,,
1674587797884,0.0,,,,
1674587797891,,,0.0,
1674587797892,0.0,,,
1674587797893,,0.0,,
1674587798883,0.0,,,,
1674587798891,,0.0,0.0,
1674587798893,0.0,,,
1674587799883,0.0,,,,
1674587799891,0.0,0.0,0.0,
1674587800883,0.0,,,,
1674587800891,0.0,,0.002625,
1674587800892,,0.002375,,
1674587801883,0.0,,,,
1674587801891,0.0,0.0,0.0,
1674587802883,0.0,,,,
1674587802891,0.00225,,0.00225,
1674587802892,,0.0,,
1674587803883,0.0,,,,
1674587803891,0.0,,8.75E-4,
1674587803892,,0.00225,,
1674587804883,0.0,,,,
1674587804890,,,0.0,
1674587804891,0.0,0.00125,,
1674587805885,0.0,,,,
1674587805892,0.0023726273726273725,,,
1674587805893,,0.0,0.001122754491017964,
1674587806884,0.0,,,,
1674587806891,0.0,,0.0,
1674587806892,,0.00125250501002004,,
1674587807883,0.0,,,,
1674587807891,0.0015,,0.0015,
1674587807893,,0.0,,
1674587808883,0.0,,,,
1674587808891,0.0,,0.0,
1674587808892,,0.001628256513026052,,
1674587809883,0.0,,,,
1674587809891,0.0,0.0,0.0,
1674587810883,0.0,,,,
1674587810890,,,0.0,
1674587810891,0.0,0.001875,,
1674587811883,0.0,,,,
1674587811891,0.001875,0.0,0.00175,
1674587812883,0.0,,,,
1674587812890,,,0.0,
1674587812891,0.0,0.0,,
1674587813883,0.0,,,,
1674587813890,,,0.0,
1674587813891,0.0,0.0,,
1674587814883,0.0,,,,
1674587814890,,,0.0,
1674587814891,0.0,0.002,,
1674587815883,0.0,,,,
1674587815890,,,0.002125,
1674587815891,0.002125,0.0,,
1674587816883,0.0,,,,
1674587816890,,,0.0,
