Timestamp,Slave 0,Slave 1,Slave 2,
1674617912758,336020,,,
1674617912774,,,327872,
1674617912778,107296,,,,
1674617912824,,324544,,
1674617913747,107384,,,,
1674617913751,384860,373808,,
1674617913755,,,379964,
1674617914746,107404,,,,
1674617914762,,,385508,
1674617914767,442956,,,
1674617914771,,394276,,
1674617915750,107408,,,,
1674617915753,461236,399256,,
1674617915754,,,401828,
1674617916752,459048,,,
1674617916755,107408,,,,
1674617916760,,,439684,
1674617916768,,424468,,
1674617917738,107416,,,,
1674617917754,,459800,,
1674617917756,,,482336,
1674617917757,466404,,,
1674617918730,107416,,,,
1674617918747,554568,,,
1674617918748,,,587632,
1674617918753,,565016,,
1674617919734,107532,,,,
1674617919737,725184,,,
1674617919740,,738468,,
1674617919741,,,767936,
1674617920750,845344,,,
1674617920751,,,909804,
1674617920759,107996,,,,
1674617920799,,892392,,
1674617921770,,899652,,
1674617921771,108088,,,,
1674617921772,862720,,,
1674617921782,,,916212,
1674617922734,108232,,,,
1674617922737,,921192,,
1674617922739,861308,,,
1674617922754,,,926692,
1674617923731,108264,,,,
1674617923738,,,980428,
1674617923739,,973068,,
1674617923744,913176,,,
1674617924727,108264,,,,
1674617924736,913584,,,
1674617924738,,,982148,
1674617924739,,973624,,
1674617925729,108264,,,,
1674617925736,,,982412,
1674617925743,914156,973888,,
1674617926736,108276,914156,,,
1674617926738,,,983464,
1674617926743,,973968,,
1674617927733,108584,,,,
1674617927740,,969064,992516,
1674617927744,908544,,,
1674617928730,108612,,,,
1674617928739,908544,,992516,
1674617928741,,969072,,
1674617929734,113836,,,,
1674617929736,917780,,1002540,
1674617929738,,973032,,
1674617930728,113836,,,,
1674617930737,1064800,987012,,
1674617930739,,,1002540,
1674617931729,113900,,,,
1674617931735,1064800,,,
1674617931740,,987076,1009772,
1674617932728,113900,,,,
1674617932737,1064800,987340,1158392,
1674617933730,113932,,,,
1674617933734,1066120,,,
1674617933736,,1162636,,
1674617933738,,,1158392,
1674617934728,113932,,,,
1674617934736,1122088,,1158392,
1674617934737,,1162636,,
1674617935729,113932,,,,
1674617935736,,,1158920,
1674617935737,1122088,,,
1674617935738,,1162636,,
1674617936729,113932,,,,
1674617936737,1122088,1163740,1295396,
1674617937728,114016,,,,
1674617937736,1268608,,1295396,
1674617937737,,1265684,,
1674617938734,114016,,,,
1674617938736,1269660,,,
1674617938738,,1265684,,
1674617938741,,,1295396,
1674617939728,114016,,,,
1674617939736,1269740,1265684,1295396,
1674617940728,114016,,,,
1674617940736,1269816,,1308596,
1674617940739,,1265684,,
1674617941728,114104,,,,
1674617941734,,1278884,,
1674617941736,1280912,,,
1674617941737,,,1308596,
1674617942728,114104,,,,
1674617942738,1280912,1278884,1308596,
1674617943729,114104,,,,
1674617943736,1280912,,1308596,
1674617943737,,1278884,,
1674617944729,114104,,,,
1674617944737,1280912,1278884,1317572,
1674617945727,114104,,,,
1674617945737,,,1317572,
1674617945738,1289096,1286804,,
1674617946730,114104,,,,
1674617946736,,,1317572,
1674617946737,,1286804,,
1674617946739,1289096,,,
1674617947732,114196,,,,
1674617947737,1289096,1286804,1325756,
1674617948729,114196,,,,
1674617948737,1289096,1294768,1325756,
1674617949727,114196,,,,
1674617949735,1296488,,,
1674617949736,,1294768,,
1674617949737,,,1325756,
1674617950729,114196,,,,
1674617950736,1296488,,1325756,
1674617950738,,1294768,,
1674617951728,114196,,,,
1674617951736,1296488,,1333844,
1674617951737,,1294772,,
1674617952729,114196,,,,
1674617952736,1296488,,1333844,
1674617952741,,1302428,,
