Timestamp,Slave 0,Slave 1,Slave 2,
1707706542143,0,,,,
1707706542148,0,,0,
1707706542149,,0,,
1707706542168,53,,,,
1707706542182,,,149,
1707706542191,149,,,
1707706542206,,149,,
1707706543146,53,,,,
1707706543150,149,,,
1707706543151,,,149,
1707706543153,,149,,
1707706544145,53,,,,
1707706544150,149,149,149,
1707706545146,53,,,,
1707706545150,149,,149,
1707706545151,,149,,
1707706546146,53,,,,
1707706546150,,,149,
1707706546151,,149,,
1707706546152,149,,,
1707706547146,53,,,,
1707706547150,149,,149,
1707706547151,,149,,
1707706548145,53,,,,
1707706548150,,149,149,
1707706548152,149,,,
1707706549147,53,,,,
1707706549151,149,,149,
1707706549155,,149,,
1707706550145,53,,,,
1707706550150,149,149,149,
1707706551146,53,,,,
1707706551150,149,149,149,
1707706552146,53,,,,
1707706552150,149,149,149,
1707706553145,53,,,,
1707706553149,,,149,
1707706553151,149,149,,
1707706554145,53,,,,
1707706554150,,149,149,
1707706554202,149,,,
1707706555145,53,,,,
1707706555149,,,149,
1707706555150,149,149,,
1707706556145,53,,,,
1707706556149,,,149,
1707706556150,149,149,,
1707706557148,53,,,,
1707706557152,149,149,,
1707706557153,,,149,
1707706558146,53,,,,
1707706558150,149,149,149,
1707706559145,53,,,,
1707706559149,149,,,
1707706559150,,,149,
1707706559151,,149,,
1707706560145,53,,,,
1707706560150,149,149,149,
1707706561145,53,,,,
1707706561150,149,149,149,
1707706562145,53,,,,
1707706562150,149,149,,
1707706562152,,,149,
1707706563147,53,,,,
1707706563150,149,149,149,
1707706564145,53,,,,
1707706564149,,,149,
1707706564150,149,,,
1707706564151,,149,,
1707706565145,53,,,,
1707706565150,149,149,149,
1707706566145,53,,,,
1707706566149,,,149,
1707706566150,149,,,
1707706566151,,149,,
1707706567145,53,,,,
1707706567149,,,149,
1707706567150,,149,,
1707706567151,149,,,
1707706568145,53,,,,
1707706568149,,,149,
1707706568150,149,149,,
1707706569145,53,,,,
1707706569150,149,149,149,
1707706570145,53,,,,
1707706570149,149,,149,
1707706570150,,149,,
1707706571145,53,,,,
1707706571149,,,149,
1707706571150,149,149,,
1707706572145,53,,,,
1707706572149,,,149,
1707706572150,149,149,,
1707706573145,53,,,,
1707706573150,149,149,149,
1707706574145,53,,,,
1707706574149,,,149,
1707706574150,149,,,
1707706574151,,149,,
1707706575145,53,,,,
1707706575149,,,149,
1707706575150,149,149,,
1707706576145,53,,,,
1707706576149,149,,149,
1707706576150,,149,,
1707706577145,53,,,,
1707706577149,150,,149,
1707706577150,,149,,
1707706578145,53,,,,
1707706578149,,,149,
1707706578150,149,149,,
1707706579145,53,,,,
1707706579149,149,,149,
1707706579150,,149,,
1707706580145,53,,,,
1707706580149,149,,149,
1707706580150,,149,,
1707706581145,53,,,,
1707706581149,,,149,
1707706581150,149,149,,
1707706582145,53,,,,
1707706582149,149,,149,
1707706582150,,149,,
1707706583145,53,,,,
1707706583149,149,,149,
1707706583150,,149,,
1707706584144,53,,,,
1707706584149,,,149,
1707706584150,149,149,,
1707706585145,53,,,,
1707706585149,149,,,
1707706585150,,149,149,
1707706586145,53,,,,
1707706586149,,,149,
1707706586150,149,149,,
1707706587145,53,,,,
1707706587149,149,,149,
1707706587151,,149,,
1707706588145,53,,,,
1707706588149,,,149,
1707706588150,149,149,,
1707706589145,53,,,,
1707706589149,149,,,
1707706589150,,149,149,
1707706590145,53,,,,
1707706590149,,,149,
1707706590150,149,149,,
1707706591145,53,,,,
1707706591149,149,,149,
1707706591150,,149,,
1707706592145,53,,,,
1707706592149,149,,149,
1707706592150,,149,,
