MemTotal:       32755048 kB
MemFree:        22809680 kB
MemAvailable:   30986404 kB
Buffers:          268128 kB
Cached:          8194920 kB
SwapCached:            0 kB
Active:          6563988 kB
Inactive:        2892516 kB
Active(anon):       1708 kB
Inactive(anon):  1041060 kB
Active(file):    6562280 kB
Inactive(file):  1851456 kB
Unevictable:       41984 kB
Mlocked:            5540 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3000 kB
Writeback:             0 kB
AnonPages:        972224 kB
Mapped:           285360 kB
Shmem:             44312 kB
KReclaimable:     226100 kB
Slab:             326920 kB
SReclaimable:     226100 kB
SUnreclaim:       100820 kB
KernelStack:        6496 kB
PageTables:        25072 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16377524 kB
Committed_AS:    7003164 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       23500 kB
VmallocChunk:          0 kB
Percpu:             6816 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      164856 kB
DirectMap2M:     4964352 kB
DirectMap1G:    29360128 kB
