Timestamp,Slave 0,Slave 1,Slave 2,
1707720219945,0,,,,
1707720219951,0,,,
1707720219952,,0,0,
1707720219961,2.2264442201508045E-5,,,,
1707720219971,0.0020314821693907877,,0.0023576140481278455,
1707720219985,,0.002446887466369793,,
1707720220947,0.0,,,,
1707720220953,,0.0,0.0,
1707720220959,0.0,,,
1707720221947,0.001625,,,,
1707720221952,0.0,,,
1707720221953,,0.003,0.0012512512512512512,
1707720222947,0.0,,,,
1707720222953,0.0036213786213786215,0.0,0.0,
1707720223947,0.0,,,,
1707720223953,0.0,0.0,0.0,
1707720224947,0.0,,,,
1707720224953,0.0,0.0,,
1707720224955,,,0.0,
1707720225946,0.0,,,,
1707720225953,0.0,0.0,0.0,
1707720226947,0.0,,,,
1707720226953,0.0,,0.0,
1707720226956,,0.0,,
1707720227946,0.0,,,,
1707720227952,0.0,,0.0,
1707720227953,,0.0,,
1707720228946,0.0,,,,
1707720228953,0.0,0.005375,0.0,
1707720229946,0.0,,,,
1707720229952,0.0,,,
1707720229953,,0.0,0.005375,
1707720230947,0.0,,,,
1707720230953,0.004120879120879121,0.0,0.0,
1707720231946,0.0,,,,
1707720231953,0.0025,0.0024975024975024975,0.0025,
1707720232948,0.0,,,,
1707720232953,7.507507507507507E-4,7.5E-4,0.001125,
1707720233946,0.0,,,,
1707720233952,0.0,,,
1707720233953,,0.001,0.0,
1707720234946,0.0,,,,
1707720234952,0.001,,,
1707720234953,,0.0,0.001125,
1707720235946,0.0,,,,
1707720235952,0.0,,,
1707720235953,,0.001125,0.0,
1707720236946,0.0,,,,
1707720236952,0.00125,,,
1707720236953,,,0.00125,
1707720236954,,0.0,,
1707720237946,0.0,,,,
1707720237952,0.0,,,
1707720237953,,,0.0,
1707720237954,,0.0,,
1707720238946,0.0,,,,
1707720238952,0.0,,,
1707720238953,,0.00125250501002004,0.0,
1707720239946,0.0,,,,
1707720239952,0.001625,,0.001625,
1707720239953,,0.0,,
1707720240946,0.0,,,,
1707720240952,0.0,0.0,,
1707720240953,,,0.0,
1707720241946,0.0,,,,
1707720241952,0.0,,,
1707720241953,,0.0,0.0,
1707720242946,0.0,,,,
1707720242952,0.0,,0.0,
1707720242953,,0.00175,,
1707720243946,0.0,,,,
1707720243952,0.001625,0.0,,
1707720243953,,,0.00175,
1707720244946,0.0,,,,
1707720244952,0.0,,0.0,
1707720244953,,0.0,,
1707720245946,0.0,,,,
1707720245952,0.0,0.0,0.0,
1707720246946,0.0,,,,
1707720246952,0.0,,,
1707720246953,,0.001875,0.0,
1707720247946,0.0,,,,
1707720247952,0.001875,,,
1707720247953,,0.0,,
1707720247955,,,0.001996007984031936,
1707720248946,0.0,,,,
1707720248952,0.0,,,
1707720248953,,0.0,0.0,
1707720249946,0.0,,,,
1707720249952,0.0,0.0,0.0,
1707720250946,0.0,,,,
1707720250952,0.0,0.001875,0.0,
1707720251946,0.0,,,,
1707720251952,0.002,,,
1707720251953,,0.0,0.002,
1707720252946,0.0,,,,
1707720252952,0.0,0.0,0.0,
1707720253946,0.0,,,,
1707720253952,0.0,0.0,,
1707720253954,,,0.0,
1707720254946,0.0,,,,
1707720254952,0.0,0.001875,,
1707720254953,,,0.0,
1707720255946,0.0,,,,
1707720255952,0.001875,0.0,0.002,
1707720256946,0.0,,,,
1707720256952,0.0,,0.0,
1707720256953,,0.0,,
1707720257946,0.0,,,,
1707720257952,0.0,,0.0,
1707720257953,,0.0,,
1707720258946,0.0,,,,
1707720258952,0.0,0.001875,,
1707720258971,,,0.0022102161100196463,
1707720259946,0.0,,,,
1707720259952,0.001875,0.0,,
1707720259953,,,0.0,
1707720260946,0.0,,,,
1707720260952,0.0,0.0,0.0,
1707720261947,0.0,,,,
1707720261953,0.0,0.0,0.0,
1707720262946,0.0,,,,
1707720262952,0.0,,0.002002002002002002,
1707720262953,,0.0017517517517517517,,
1707720263946,0.0,,,,
1707720263952,0.001875,0.0,0.0,
1707720264946,0.0,,,,
1707720264952,0.0,,0.0,
1707720264953,,0.0,,
1707720265946,0.0,,,,
1707720265952,0.0,,0.0,
1707720265953,,0.0,,
1707720266945,0.0,,,,
1707720266952,0.002,,,
1707720266953,,0.001875,0.002,
1707720267946,0.0,,,,
1707720267952,0.0,0.0,0.0,
