Timestamp,Slave 0,Slave 1,Slave 2,
1733157727172,111912,,,,
1733157727174,319984,,,
1733157727181,,314540,329332,
1733157728108,112220,,,,
1733157728121,,,359672,
1733157728126,359392,,,
1733157728133,,359044,,
1733157729123,112220,,,,
1733157729132,418520,395564,,
1733157729137,,,399224,
1733157730135,112220,,,,
1733157730138,,,398644,
1733157730139,,408232,,
1733157730153,445620,,,
1733157731127,112220,,,,
1733157731133,,,436944,
1733157731139,,459644,,
1733157731153,451644,,,
1733157732132,112220,,,,
1733157732139,,482848,,
1733157732144,462736,,478520,
1733157733131,112220,,,,
1733157733135,,,544900,
1733157733145,526560,,,
1733157733146,,544132,,
1733157734107,112324,,,,
1733157734118,,,632296,
1733157734119,612856,630728,,
1733157735150,117336,,,,
1733157735161,779380,,,
1733157735165,,,788364,
1733157735239,,804736,,
1733157736125,837020,,,
1733157736135,,852684,,
1733157736163,117428,,,,
1733157736205,,,840648,
1733157737126,117504,,,,
1733157737138,912904,,885376,
1733157737142,,987504,,
1733157738117,117592,,,,
1733157738123,,988012,,
1733157738127,921352,,1043892,
1733157739109,117768,,,,
1733157739114,,988668,,
1733157739119,982116,,,
1733157739122,,,1058256,
1733157740106,117856,,,,
1733157740114,991256,1043056,1113768,
1733157741112,117972,,,,
1733157741120,996608,,,
1733157741126,,1049636,,
1733157741128,,,1114056,
1733157742107,118108,,,,
1733157742112,,1039628,1101528,
1733157742114,998844,,,
1733157743105,118108,,,,
1733157743113,,,1121776,
1733157743114,999032,,,
1733157743117,,1047792,,
1733157744106,118108,,,,
1733157744115,,,1121904,
1733157744116,1007284,1047792,,
1733157745106,118108,,,,
1733157745113,,,1123224,
1733157745114,1007284,1056116,,
1733157746108,118108,,,,
1733157746111,1013988,,,
1733157746112,,,1126736,
1733157746115,,1056200,,
1733157747107,118192,,,,
1733157747113,1028508,,1126752,
1733157747120,,1058852,,
1733157748106,118192,,,,
1733157748112,,,1126752,
1733157748113,1028576,,,
1733157748119,,1086636,,
1733157749116,118192,1028576,,,
1733157749118,,1086636,,
1733157749119,,,1128944,
1733157750106,118192,,,,
1733157750110,,,1129208,
1733157750111,1203976,,,
1733157750112,,1087164,,
1733157751106,118192,,,,
1733157751116,1275060,,1129304,
1733157751120,,1147916,,
1733157752105,118292,,,,
1733157752114,1275324,1277936,1129304,
1733157753105,118292,,,,
1733157753113,1275324,,,
1733157753114,,1277936,1215928,
1733157754105,118292,,,,
1733157754115,,1277936,,
1733157754116,1289312,,1281448,
1733157755108,118344,,,,
1733157755112,1289384,1279784,1281448,
1733157756108,118372,,,,
1733157756114,1289464,1286196,,
1733157756119,,,1281528,
1733157757105,118372,,,,
1733157757111,,1286268,1292160,
1733157757113,1289464,,,
1733157758106,118372,,,,
1733157758112,,1286268,1292160,
1733157758115,1297908,,,
1733157759107,118372,,,,
1733157759113,1297992,1286268,1292160,
1733157760106,118372,,,,
1733157760110,,,1292160,
1733157760113,1297992,,,
1733157760115,,1296564,,
1733157761106,118372,,,,
1733157761113,,1296616,1299896,
1733157761114,1297992,,,
1733157762105,118452,,,,
1733157762111,,1296616,1299896,
1733157762117,1307232,,,
1733157763115,118452,1307232,1303744,1299956,
1733157764108,118452,,,,
1733157764112,,,1299956,
1733157764114,1307232,,,
1733157764119,,1303820,,
1733157765105,118452,,,,
1733157765113,,,1307940,
1733157765114,1307308,1303820,,
1733157766105,118452,,,,
1733157766113,1314956,1303820,1307940,
1733157767106,118452,,,,
1733157767112,1314980,1310952,1307940,
1733157768106,118452,,,,
1733157768112,,1311004,1307940,
1733157768113,1314980,,,
1733157769107,118464,,,,
1733157769111,,,1315144,
1733157769113,1314992,,,
1733157769116,,1311024,,
1733157770105,118464,,,,
1733157770112,1322648,,,
1733157770113,,1311036,,
1733157770114,,,1315144,
1733157771105,118548,,,,
1733157771113,1322648,1317928,1315144,
1733157772105,118548,,,,
1733157772113,1322648,,,
1733157772117,,,1315172,
1733157772128,,1317928,,
1733157773105,118548,,,,
1733157773111,,1317928,,
1733157773112,1322648,,1322032,
1733157774106,118548,,,,
1733157774113,1330100,,,
1733157774114,,1318096,1322032,
1733157775105,118548,,,,
1733157775112,,,1322032,
1733157775113,,1324424,,
1733157775116,1330100,,,
1733157776107,118548,,,,
1733157776113,1330100,,,
1733157776114,,1324424,1322032,
1733157777105,118548,,,,
1733157777112,1330100,1324424,1329420,
1733157778105,118636,,,,
1733157778114,1338284,1324424,1329508,
1733157779106,118636,,,,
1733157779112,1338284,1331552,,
1733157779116,,,1329508,
1733157780112,118636,1338284,,1329508,
1733157780115,,1331552,,
1733157781106,118636,,,,
1733157781114,1338356,,1336636,
1733157781115,,1331624,,
1733157782105,118636,,,,
1733157782113,1345484,1331624,1336688,
1733157783105,118636,,,,
1733157783110,1345484,,,
1733157783113,,1338488,1336688,
1733157784105,118740,,,,
1733157784114,1345484,,1336688,
1733157784126,,1338488,,
1733157785106,118740,,,,
1733157785112,1353404,1338488,1343816,
1733157786105,118740,,,,
