Timestamp,Slave 0,Slave 1,Slave 2,
1733163469205,0,,,,
1733163469211,,0,0,
1733163469213,0,,,
1733163469231,149,,,
1733163469233,,149,,
1733163469237,53,,,,
1733163469241,,,149,
1733163470209,53,,,,
1733163470214,,149,,
1733163470215,149,,,
1733163470216,,,149,
1733163471208,53,,,,
1733163471213,,,149,
1733163471214,149,149,,
1733163472208,53,,,,
1733163472213,,149,149,
1733163472214,149,,,
1733163473210,53,,,,
1733163473213,,149,,
1733163473214,149,,149,
1733163474208,53,,,,
1733163474213,,149,149,
1733163474215,149,,,
1733163475208,53,,,,
1733163475213,,149,149,
1733163475214,149,,,
1733163476208,53,,,,
1733163476213,,149,149,
1733163476214,149,,,
1733163477209,53,,,,
1733163477212,,,149,
1733163477214,149,,,
1733163477215,,149,,
1733163478207,53,,,,
1733163478212,,,149,
1733163478213,,149,,
1733163478214,149,,,
1733163479208,53,,,,
1733163479212,,,149,
1733163479213,,149,,
1733163479214,149,,,
1733163480208,53,,,,
1733163480212,,,149,
1733163480215,149,149,,
1733163481207,53,,,,
1733163481213,,149,,
1733163481214,149,,,
1733163481216,,,149,
1733163482207,53,,,,
1733163482212,,,149,
1733163482213,,149,,
1733163482215,149,,,
1733163483207,53,,,,
1733163483212,,,149,
1733163483213,,149,,
1733163483214,149,,,
1733163484207,53,,,,
1733163484212,,,149,
1733163484213,,149,,
1733163484214,149,,,
1733163485207,53,,,,
1733163485212,,,149,
1733163485213,,149,,
1733163485214,149,,,
1733163486207,53,,,,
1733163486212,,,149,
1733163486213,,149,,
1733163486214,149,,,
1733163487207,53,,,,
1733163487212,,,149,
1733163487213,,149,,
1733163487214,149,,,
1733163488207,53,,,,
1733163488212,,,149,
1733163488213,,149,,
1733163488214,149,,,
1733163489207,53,,,,
1733163489212,,,149,
1733163489213,,149,,
1733163489214,149,,,
1733163490207,53,,,,
1733163490212,,,149,
1733163490213,,149,,
1733163490214,149,,,
1733163491207,53,,,,
1733163491212,,,149,
1733163491213,,149,,
1733163491214,149,,,
1733163492207,53,,,,
1733163492212,,,149,
1733163492214,149,,,
1733163492215,,149,,
1733163493207,53,,,,
1733163493212,,,149,
1733163493213,,149,,
1733163493214,149,,,
1733163494207,53,,,,
1733163494212,,,149,
1733163494213,,149,,
1733163494214,149,,,
1733163495207,53,,,,
1733163495212,,,149,
1733163495213,,149,,
1733163495214,149,,,
1733163496207,53,,,,
1733163496212,,,149,
1733163496213,,149,,
1733163496215,149,,,
1733163497207,53,,,,
1733163497212,,,149,
1733163497213,,149,,
1733163497214,149,,,
1733163498207,53,,,,
1733163498212,,,149,
1733163498213,,149,,
1733163498214,149,,,
1733163499207,53,,,,
1733163499212,,,149,
1733163499213,,149,,
1733163499214,149,,,
1733163500207,53,,,,
1733163500212,,,149,
1733163500213,,149,,
1733163500214,149,,,
1733163501207,53,,,,
1733163501212,,,149,
1733163501213,,149,,
1733163501214,149,,,
1733163502207,53,,,,
1733163502212,,149,149,
1733163502214,149,,,
1733163503207,53,,,,
1733163503212,,,149,
1733163503213,,149,,
1733163503214,149,,,
1733163504207,53,,,,
1733163504212,,,149,
1733163504213,,149,,
1733163504214,149,,,
1733163505207,53,,,,
1733163505212,,,149,
1733163505213,,149,,
1733163505214,149,,,
1733163506207,53,,,,
1733163506213,,149,,
1733163506214,149,,149,
1733163507207,53,,,,
1733163507212,,,149,
1733163507213,,149,,
1733163507214,149,,,
1733163508207,53,,,,
1733163508212,,,149,
1733163508213,,149,,
1733163508214,149,,,
1733163509207,53,,,,
1733163509212,,,149,
1733163509213,,149,,
1733163509214,149,,,
1733163510207,53,,,,
1733163510212,,,149,
1733163510213,,149,,
1733163510214,149,,,
1733163511208,53,,,,
1733163511213,,149,149,
1733163511216,149,,,
1733163512207,53,,,,
1733163512212,,149,149,
1733163512214,149,,,
1733163513207,53,,,,
1733163513212,,,149,
1733163513213,,149,,
1733163513214,149,,,
1733163514207,53,,,,
1733163514212,,149,149,
1733163514214,149,,,
1733163515207,53,,,,
1733163515212,,149,149,
1733163515214,149,,,
1733163516207,53,,,,
1733163516212,,149,149,
1733163516214,149,,,
1733163517207,53,,,,
1733163517212,,,149,
1733163517213,,149,,
1733163517214,149,,,
1733163518207,53,,,,
1733163518212,,149,149,
1733163518214,149,,,
1733163519207,53,,,,
1733163519212,,149,149,
1733163519214,149,,,
1733163520207,53,,,,
1733163520212,,149,150,
1733163520213,149,,,
1733163521207,53,,,,
1733163521212,,,149,
1733163521214,149,149,,
1733163522206,53,,,,
1733163522212,,,149,
1733163522213,,149,,
1733163522214,149,,,
1733163523207,53,,,,
1733163523212,,149,149,
1733163523214,149,,,
1733163524207,53,,,,
1733163524212,,,149,
1733163524213,149,149,,
1733163525207,53,,,,
1733163525212,,149,149,
1733163525214,149,,,
1733163526206,53,,,,
1733163526212,,149,149,
1733163526214,149,,,
1733163527207,53,,,,
1733163527212,,149,149,
1733163527213,149,,,
1733163528207,53,,,,
1733163528212,,149,149,
1733163528213,149,,,
1733163529207,53,,,,
1733163529212,,149,149,
1733163529214,149,,,
1733163530206,53,,,,
1733163530212,,149,149,
1733163530214,149,,,
1733163531206,53,,,,
1733163531212,,,149,
1733163531213,149,,,
1733163531214,,149,,
1733163532208,53,,,,
1733163532213,,149,149,
1733163532215,149,,,
1733163533207,53,,,,
1733163533212,,149,149,
1733163533213,149,,,
1733163534207,53,,,,
1733163534211,,,149,
1733163534213,149,149,,
1733163535206,53,,,,
1733163535212,,149,149,
1733163535213,149,,,
1733163536207,53,,,,
1733163536212,,149,149,
1733163536213,149,,,
1733163537206,53,,,,
1733163537212,,149,149,
1733163537213,149,,,
1733163538207,53,,,,
1733163538212,,,149,
1733163538213,,149,,
1733163538214,149,,,
1733163539207,53,,,,
1733163539212,,149,149,
1733163539214,149,,,
1733163540207,53,,,,
1733163540212,,,149,
1733163540213,149,149,,
1733163541206,53,,,,
1733163541211,,,149,
1733163541212,,149,,
1733163541213,149,,,
1733163542207,53,,,,
1733163542211,,,149,
1733163542213,149,149,,
1733163543206,53,,,,
1733163543212,,149,149,
1733163543213,149,,,
1733163544207,53,,,,
1733163544212,,,149,
1733163544213,149,149,,
1733163545213,,,149,
1733163545214,,149,,
1733163545215,53,,,,
1733163545225,149,,,
1733163546206,53,,,,
1733163546212,,149,149,
1733163546213,149,,,
1733163547206,53,,,,
1733163547212,,149,149,
1733163547213,149,,,
1733163548206,53,,,,
1733163548212,,149,149,
1733163548214,149,,,
1733163549208,53,,,,
1733163549212,,149,149,
1733163549213,149,,,
1733163550206,53,,,,
1733163550212,,149,149,
1733163550213,149,,,
1733163551206,53,,,,
1733163551212,,149,149,
1733163551213,149,,,
1733163552206,53,,,,
1733163552212,,149,149,
1733163552214,149,,,
1733163553206,53,,,,
1733163553211,,,149,
1733163553212,,149,,
1733163553213,149,,,
1733163554207,53,,,,
1733163554212,,149,149,
1733163554213,149,,,
1733163555206,53,,,,
1733163555212,,149,149,
1733163555213,149,,,
1733163556206,53,,,,
1733163556212,,149,149,
1733163556213,149,,,
1733163557206,53,,,,
1733163557212,,149,149,
1733163557214,149,,,
1733163558206,53,,,,
1733163558212,,149,149,
1733163558213,149,,,
1733163559206,53,,,,
1733163559212,,149,149,
1733163559214,149,,,
1733163560206,53,,,,
1733163560212,,149,149,
1733163560213,149,,,
1733163561206,53,,,,
1733163561212,,149,149,
1733163561214,149,,,
1733163562206,53,,,,
1733163562212,,149,149,
1733163562213,149,,,
1733163563206,53,,,,
1733163563212,,,149,
1733163563213,149,149,,
1733163564206,53,,,,
1733163564212,,149,149,
1733163564213,149,,,
1733163565207,53,,,,
1733163565212,,149,149,
1733163565215,149,,,
1733163566206,53,,,,
1733163566212,,149,149,
1733163566214,149,,,
1733163567206,53,,,,
1733163567211,,,149,
1733163567212,,149,,
1733163567213,149,,,
1733163568207,53,,,,
1733163568212,,149,149,
1733163568214,149,,,
1733163569206,53,,,,
1733163569212,,149,149,
1733163569213,149,,,
1733163570206,53,,,,
1733163570212,,149,149,
1733163570213,149,,,
1733163571206,53,,,,
1733163571212,,149,149,
1733163571214,149,,,
1733163572206,53,,,,
1733163572211,,,149,
1733163572212,,149,,
1733163572213,149,,,
1733163573206,53,,,,
1733163573212,,149,149,
1733163573214,149,,,
1733163574206,53,,,,
1733163574212,,149,149,
1733163574213,149,,,
1733163575206,53,,,,
1733163575212,,149,149,
1733163575213,149,,,
1733163576206,53,,,,
1733163576212,,149,149,
1733163576213,149,,,
1733163577206,53,,,,
1733163577211,,,149,
1733163577212,,149,,
1733163577213,149,,,
1733163578206,53,,,,
1733163578211,,,149,
1733163578212,,149,,
1733163578213,149,,,
1733163579206,53,,,,
1733163579212,,149,149,
1733163579213,149,,,
1733163580206,53,,,,
1733163580212,,149,149,
1733163580213,149,,,
1733163581206,53,,,,
1733163581212,,149,149,
1733163581213,149,,,
1733163582206,53,,,,
1733163582212,,149,149,
1733163582213,149,,,
1733163583206,53,,,,
1733163583212,,149,149,
1733163583213,149,,,
1733163584206,53,,,,
1733163584212,,149,149,
1733163584213,149,,,
1733163585206,53,,,,
1733163585211,,,149,
1733163585212,,149,,
1733163585213,149,,,
1733163586206,53,,,,
1733163586212,,149,149,
1733163586213,149,,,
1733163587206,53,,,,
1733163587211,,,149,
1733163587212,,149,,
1733163587213,149,,,
1733163588206,53,,,,
1733163588212,,149,149,
1733163588213,149,,,
1733163589206,53,,,,
1733163589212,,149,149,
1733163589213,149,,,
1733163590206,53,,,,
1733163590212,,149,149,
1733163590213,149,,,
1733163591206,53,,,,
1733163591211,,,149,
1733163591212,,149,,
1733163591213,149,,,
1733163592206,53,,,,
1733163592212,,149,149,
1733163592214,149,,,
1733163593206,53,,,,
1733163593212,,149,149,
1733163593213,149,,,
1733163594206,53,,,,
1733163594211,,,149,
1733163594212,,149,,
1733163594213,149,,,
1733163595206,53,,,,
1733163595212,,149,149,
1733163595213,149,,,
1733163596209,53,,,,
1733163596214,,149,149,
