
===================================
Domain Marker;critical-jOPS;2199.0
Domain Marker;max-jOPS;11208.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;400.0;1500.0;1900.0;2100.0;2722.9999999999563;120000.0
277.0;400.0;1800.0;2500.0;2800.0;3400.0;121000.0
415.0;400.0;2000.0;3100.0;3400.0;4100.0;128000.0
553.0;500.0;2300.0;3600.0;4000.0;4900.0;128000.0
692.0;400.0;2500.0;4100.0;4600.0;5700.0;129000.0
830.0;400.0;2800.0;4700.0;5200.0;6400.0;131000.0
969.0;400.0;2900.0;5100.0;5800.0;7500.0;131000.0
1107.0;500.0;3100.0;5700.0;6400.0;10100.0;118000.0
1245.0;400.0;3100.0;6000.0;6900.0;9000.0;131000.0
1384.0;400.0;3300.0;6600.0;7500.0;10100.0;134000.0
1522.0;400.0;3300.0;6900.0;8000.0;10900.0;138000.0
1660.0;400.0;3400.0;7300.0;8500.0;12200.0;1100000.0
1799.0;400.0;3400.0;7300.0;8600.0;12500.0;127000.0
1937.0;400.0;3400.0;7300.0;8600.0;11500.0;117000.0
2076.0;400.0;3400.0;7300.0;8700.0;11800.0;980000.0
2214.0;400.0;3600.0;7800.0;9400.0;58000.0;1200000.0
2352.0;400.0;3600.0;7600.0;9200.0;80000.0;970000.0
2491.0;400.0;3600.0;7500.0;9000.0;70000.0;950000.0
2629.0;400.0;3600.0;7500.0;9100.0;131000.0;970000.0
2767.0;400.0;3600.0;7400.0;9000.0;53000.0;950000.0
2906.0;400.0;3700.0;7500.0;9400.0;189000.0;950000.0
3044.0;400.0;3600.0;7400.0;9200.0;85000.0;950000.0
3183.0;400.0;3700.0;7300.0;9000.0;17300.0;1000000.0
3321.0;400.0;3700.0;8100.0;11864.999999999418;215000.0;950000.0
3459.0;400.0;3800.0;7700.0;10100.0;296000.0;412000.0
3598.0;300.0;3800.0;8000.0;10800.0;253000.0;1100000.0
3736.0;400.0;3800.0;8000.0;12700.0;190000.0;1200000.0
3874.0;400.0;3800.0;7700.0;10200.0;226000.0;980000.0
4013.0;400.0;4000.0;9200.0;139000.0;539000.0;1500000.0
4151.0;400.0;3800.0;7600.0;9900.0;113000.0;940000.0
4289.0;400.0;3900.0;8100.0;12500.0;224000.0;950000.0
4428.0;400.0;4000.0;7900.0;10900.0;187000.0;990000.0
4566.0;400.0;4100.0;8700.0;21000.0;312000.0;970000.0
4705.0;400.0;4100.0;9100.0;30000.0;306000.0;1100000.0
4843.0;400.0;4200.0;8900.0;23000.0;307000.0;950000.0
4981.0;400.0;4100.0;8300.0;14600.0;482000.0;700000.0
5120.0;300.0;4200.0;8800.0;18400.0;275000.0;980000.0
5258.0;300.0;4300.0;9700.0;45000.0;473000.0;970000.0
5396.0;300.0;4400.0;9800.0;24000.0;159000.0;960000.0
5535.0;300.0;4400.0;10300.0;40000.0;359000.0;1100000.0
5673.0;400.0;4600.0;50000.0;466000.0;583000.0;2400000.0
5812.0;400.0;4600.0;12300.0;68000.0;486000.0;1100000.0
5950.0;300.0;4700.0;13000.0;66000.0;440000.0;1100000.0
6088.0;400.0;4800.0;14500.0;72000.0;710000.0;970000.0
6227.0;300.0;4900.0;16700.0;64000.0;514000.0;980000.0
6365.0;400.0;5100.0;25000.0;267000.0;650000.0;1100000.0
6503.0;300.0;5000.0;14300.0;38000.0;507000.0;960000.0
6642.0;300.0;5300.0;27000.0;134000.0;461000.0;1100000.0
6780.0;300.0;5300.0;17400.0;59000.0;180000.0;970000.0
6918.0;400.0;5900.0;241000.0;630000.0;830000.0;2400000.0
7057.0;400.0;5600.0;27000.0;103000.0;307000.0;1000000.0
7195.0;300.0;5900.0;41000.0;203000.0;700000.0;990000.0
7334.0;400.0;6100.0;60000.0;394000.0;690000.0;980000.0
7472.0;300.0;6400.0;121000.0;449000.0;830000.0;1100000.0
7610.0;300.0;6500.0;39000.0;155000.0;523000.0;1100000.0
7749.0;300.0;6800.0;150000.0;435000.0;810000.0;1200000.0
7887.0;300.0;7700.0;271000.0;556000.0;770000.0;2600000.0
8025.0;400.0;7300.0;168000.0;386000.0;760000.0;1300000.0
8164.0;300.0;7300.0;191000.0;449000.0;850000.0;1100000.0
8302.0;300.0;8100.0;225000.0;404000.0;650000.0;1100000.0
8441.0;300.0;8400.0;224000.0;415000.0;670000.0;1100000.0
8579.0;300.0;8700.0;260000.0;435000.0;820000.0;1100000.0
8717.0;300.0;9300.0;348000.0;630000.0;940000.0;1200000.0
8856.0;300.0;9300.0;218000.0;434000.0;710000.0;1200000.0
8994.0;300.0;10600.0;268000.0;432000.0;571000.0;1500000.0
9132.0;300.0;11700.0;289000.0;521000.0;870000.0;1200000.0
9271.0;300.0;16300.0;730000.0;970000.0;1200000.0;3000000.0
9409.0;400.0;14100.0;392000.0;508000.0;760000.0;1400000.0
9548.0;300.0;16800.0;435000.0;620000.0;960000.0;1300000.0
9686.0;400.0;21000.0;413000.0;565000.0;810000.0;1900000.0
9824.0;400.0;36000.0;568000.0;710000.0;880000.0;1600000.0
9963.0;400.0;88000.0;740000.0;890000.0;1100000.0;4900000.0
10101.0;300.0;43000.0;599000.0;760000.0;860000.0;1600000.0
10239.0;300.0;74000.0;610000.0;760000.0;1100000.0;2100000.0
10378.0;300.0;87000.0;583000.0;710000.0;885600.0000005588;1700000.0
10516.0;400.0;371000.0;940000.0;1100000.0;1300000.0;2900000.0
10654.0;400.0;256000.0;720000.0;860000.0;1100000.0;2000000.0
10793.0;400.0;354000.0;760000.0;870000.0;1100000.0;2300000.0
10931.0;500.0;500000.0;880000.0;970000.0;1200000.0;2400000.0
11070.0;6500.0;840000.0;1200000.0;1500000.0;2500000.0;1.3E7
11208.0;13800.0;950000.0;1400000.0;1700000.0;3100000.0;3.9E7
11346.0;11200.0;870000.0;1400000.0;1800000.0;4000000.0;5.4E7
11485.0;8400.0;860000.0;1200000.0;1600000.0;3100000.0;5.9E7
11623.0;27000.0;900000.0;1300000.0;1800000.0;2800000.0;6.0E7
11761.0;60000.0;830000.0;1700000.0;2500000.0;3000000.0;6.0E7
