"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",4,30,271.227449,8.433675,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",4,30,475.406530,17.124722,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",4,15,546.847423,28.641121,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",4,15,47.022784,0.893305,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",4,15,1932.895077,33.097132,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",4,15,7087.802884,321.160011,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",4,30,494.245047,13.732703,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",4,15,205.495784,2.366143,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",4,15,59.632156,0.945360,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",4,15,450.878621,9.458313,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,11.593988,0.123329,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",4,15,922.764474,22.782132,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",4,15,3134.041714,55.708850,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",4,15,45.738130,2.284301,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",4,15,219.741781,0.759740,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",4,15,33.078780,4.153937,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",4,15,340.123354,15.790912,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",4,30,8715.484002,331.251752,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",4,15,119.868545,2.224415,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",4,30,426.258971,20.491579,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",4,30,1067.889365,29.893088,"ops/min"
