"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",4,30,213.097671,5.320072,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",4,30,467.568148,17.764657,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",4,15,546.953230,6.932515,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",4,15,41.314653,0.145456,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",4,15,2016.412592,28.606781,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",4,15,8771.506406,224.612221,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",4,30,462.360638,26.784629,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",4,15,200.624586,2.794062,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",4,15,59.154837,1.122041,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",4,15,457.165742,10.807285,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,11.389729,0.126233,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",4,15,912.943320,21.480558,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",4,15,3123.359488,16.867942,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",4,15,50.510602,0.189949,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",4,15,238.365768,5.480287,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",4,15,31.961759,0.331502,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",4,15,332.424543,6.040929,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",4,30,8326.432815,317.253453,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",4,15,119.859467,2.670682,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",4,30,409.304632,20.173145,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",4,30,934.046426,18.098723,"ops/min"
